Id	SubIds[0]	SubIds[1]	SubIds[2]	SubIds[3]	SubIds[4]	SubIds[5]	SubIds[6]	SubIds[7]	SubIds[8]	SubIds[9]	SubIds[10]	SubIds[11]	SubIds[12]	SubIds[13]	SubIds[14]	SubIds[15]	SubIds[16]	SubIds[17]	SubIds[18]	SubIds[19]	SubIds[20]	SubIds[21]	SubIds[22]	SubIds[23]	SubIds[24]	SubIds[25]	SubIds[26]	SubIds[27]	SubIds[28]	SubIds[29]	SubIds[30]	SubIds[31]	SubIds[32]	SubIds[33]	SubIds[34]	SubIds[35]	SubIds[36]	SubIds[37]	SubIds[38]	SubIds[39]	SubIds[40]	SubIds[41]	SubIds[42]	SubIds[43]	SubIds[44]	SubIds[45]	SubIds[46]	SubIds[47]	SubIds[48]	SubIds[49]	SubIds[50]	SubIds[51]	SubIds[52]	SubIds[53]	SubIds[54]	SubIds[55]
100013	1000000	1000131	1000131																																																					
100014	1000000	1000141	1000141																																																					
100015	1000000	1000151	1000152																																																					
100016	1000000	1000161																																																						
100017	1000170	1000171	1000171																																																					
100018	1000170	1000181	1000181																																																					
100019	1000170	1000191	1000191																																																					
100020	1000170	1000201	1000201																																																					
100021	1000170	1000211																																																						
100022	1000170	1000221	1000222																																																					
100023	1000170	1000231	1000231																																																					
100024	1000170	1000241	1000241																																																					
100025	1000170	1000251	1000251																																																					
100026	1000170	1000261	1000261																																																					
100027	1000170	1000271																																																						
100028	1000170	1000281																																																						
100029	1000170	1000291	1000291																																																					
100030	1000170	1000301	1000301																																																					
100031	1000170	1000311																																																						
100032	1000170	1000321																																																						
100033	1000170	1000331	1000331																																																					
100034	1000170	1000341	1000342																																																					
100035	1000170	1000351	1000352																																																					
100036	1000170	1000361	1000362																																																					
100037	1000170	1000371																																																						
100038	1000170	1000381	1000381																																																					
100039	1000170	1000391	1000391																																																					
100040	1000170	1000401	1000401																																																					
100041	1000170	1000411	1000411																																																					
100042	1000170	1000421																																																						
100043	1000170	1000431																																																						
100044	1000170	1000441	1000441																																																					
100045	1000170	1000451	1000452																																																					
100046	1000170	1000461																																																						
100047	1000170	1000471	1000471																																																					
100048	1000170	1000481	1000481																																																					
100049	1000170	1000491	1000491																																																					
100050	1000170	1000501	1000501																																																					
100051	1000170	1000511																																																						
100052	1000170	1000521																																																						
100053	1000170	1000531	1000531																																																					
100054	1000170	1000541	1000541																																																					
100055	1000170	1000551	1000551																																																					
100056	1000170	1000561	1000561																																																					
100057	1000170	1000571																																																						
100058	1000170	1000581																																																						
100059	1000170	1000591	1000591																																																					
100060	1000170	1000601	1000601																																																					
100061	1000170	1000611	1000611																																																					
100062	1000170	1000621	1000622																																																					
100063	1000170	1000631	1000631																																																					
100064	1000170	1000641																																																						
100065	1000170	1000651																																																						
100066	1000170	1000661	1000661																																																					
100067	1000170	1000671	1000671																																																					
100068	1000170	1000681	1000681																																																					
100069	1000170	1000691	1000691																																																					
100070	1000170	1000701																																																						
100071	1000170	1000711																																																						
100072	1000170	1000721	1000721																																																					
100073	1000170	1000731	1000732																																																					
100074	1000170	1000741																																																						
100075	1000170	1000751	1000751																																																					
100076	1000170	1000761	1000761																																																					
100077	1000170	1000771	1000771																																																					
100078	1000170	1000781	1000781																																																					
100079	1000170	1000791																																																						
100080	1000170	1000801																																																						
100081	1000170	1000811	1000811																																																					
100082	1000170	1000821	1000821																																																					
100083	1000170	1000831	1000831																																																					
100084	1000170	1000841	1000841																																																					
100085	1000170	1000851																																																						
100086	1000170	1000861																																																						
100087	1000170	1000871	1000871																																																					
100088	1000170	1000881	1000881																																																					
100089	1000170	1000891	1000891																																																					
100090	1000170	1000901	1000902																																																					
100091	1000170	1000911	1000911																																																					
100092	1000170	1000921																																																						
100093	1000170	1000931																																																						
100094	1000170	1000941	1000941																																																					
100095	1000170	1000951	1000951																																																					
100096	1000170	1000961	1000961																																																					
100097	1000170	1000971	1000971																																																					
100098	1000170	1000981																																																						
100099	1000170	1000991	1000991																																																					
100100	1000170	1001001	1001001																																																					
100101	1000170	1001011	1001012																																																					
100102	1000170	1001021	1001021																																																					
100103	1000170	1001031	1001031																																																					
100104	1000170	1001041	1001041																																																					
100105	1000170	1001051	1001051																																																					
100106	1000170	1001061																																																						
100107	1000170	1001071																																																						
100108	1000170	1001081	1001081																																																					
100109	1000170	1001091	1001091																																																					
100110	1000170	1001101	1001101																																																					
100111	1000170	1001111	1001111																																																					
100112	1000170	1001121																																																						
100113	1000170	1001131																																																						
100114	1000170	1001141	1001141																																																					
100115	1000170	1001151	1001151																																																					
