Id	SendName	Title	Content	ValidTime	RewardIds[1]	RewardIds[2]	RewardIds[3]	RewardIds[4]	RewardIds[5]	RewardIds[6]	RewardIds[7]	RewardIds[8]	RewardIds[9]	RewardIds[10]	RewardIds[11]	RewardIds[12]	RewardIds[13]	RewardIds[14]	RewardIds[15]	RewardIds[16]	RewardIds[17]	RewardIds[18]	RewardIds[19]	RewardIds[20]	RewardIds[21]	RewardIds[22]
5002	空中庭園司令部	1月2日「おみくじ」補填②	指揮官様<br><br>1月2日に発生した不具合のため「新年の運だめし」の「おみくじ」を引くことができなかった指揮官様を対象に、補填を実施いたします。下記の補填アイテムをお受取りください。<br>黒パス×30枚<br>血清セットS×１個<br>1月2日に「おみくじ」を引くことができなかった結果、受取ることができなかった「新年ミッション」ボーナス（「新年贈物」を除く※）<br><br>※「新年贈物」は利用期限切れのため今回の補填対応では配布せず、代わりに先日の「1月2日「おみくじ」補填」で新年贈物×1個を配布いたしました。<br><br>本不具合内容及び補填対応の詳細は、公式サイト＞お知らせ＞不具合＞「おみくじ」不具合のお詫びと対応 をご参照ください。<br><br>本不具合でご迷惑をおかけしたこと、並びに補填対応が遅くなりましたことをお詫び申し上げます。<br><br>2020年12月23日（水）メンテナンス後、新たに追加された宿舎任務「完全に把握」について、メンテナンス前に宿舎の全ての任務をクリアした場合、12月23日の「完全に把握」報酬を獲得できない不具合が確認されておりました。<br>上記の不具合のお詫びとして下記の補填アイテムをお受取りください。補填が遅くなりましたことをお詫び申し上げます。<br>今後、このようなことのないよう、スタッフ一同、再発防止に努めてまいります。	2592000																						
11000	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 99% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	500000	500001																				
11001	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 95% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	500010	500011																				
11002	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 90% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	500020	500021																				
11003	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 70% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	500030	500031																				
11004	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 5% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	500040	500041																				
12000	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 99% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	510000	510001																				
12001	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 95% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	510010	510011																				
12002	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 90% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	510020	510021																				
12003	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 70% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	510030	510031																				
12004	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 5% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	510040	510041																				
13000	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 99% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	520000	520001																				
13001	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 95% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	520010	520011																				
13002	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 90% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	520020	520021																				
13003	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 70% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	520030	520031																				
13004	E-02 'Babylonia' Command	Pain Cage Ranking Reward	You scored higher than 5% in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	520040	520041																				
14000	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 20000 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	530000	530001																				
14001	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 40000 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	530010	530011																				
14002	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 80000 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	530020	530021																				
14003	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 120000 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	530030	530031																				
14004	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 180000 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	530040	530041																				
15000	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 27500 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	540000	540001																				
15001	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 55000 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	540010	540011																				
15002	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 110000 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	540020	540021																				
15003	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 192500 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	540030	540031																				
15004	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 275000 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	540040	540041																				
16000	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 35000 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	550000	550001																				
16001	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 70000 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	550010	550011																				
16002	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 140000 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	550020	550021																				
16003	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 245000 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	550030	550031																				
16004	E-02 'Babylonia' Command	Pain Cage Progress Reward	You earned 315000 Progress in this Phantom Pain Cage event. Every battle brings us closer to Eden's return! Here is your reward.	604800	550040	550041																				
20000	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200000	200001	200002																			
20001	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200010	200011	200012																			
20002	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200020	200021	200022																			
20003	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200030	200031	200032																			
20004	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200040	200041	200042																			
20005	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200050	200051	200052																			
20006	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200060	200061	200062																			
20007	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200070	200071	200072																			
20008	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200080	200081	200082																			
20009	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200090	200091	200092																			
20010	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200100	200101	200102																			
20011	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200110	200111	200112																			
20012	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200120	200121	200122																			
20013	E-02 'Babylonia' Quartermaster	Lemegeton Reward	Here is your reward for this Lemegeton event. Every battle brings us closer to Eden's return!	604800	200130	200131	200132																			
30000	E-02 'Babylonia' Command	Bronze Feather Reward	You have received a reward for your achievement as a Bronze Feather Hunter!	604800	30000																					
30001	E-02 'Babylonia' Command	Silver Feather Reward	You have received a reward for your achievement as a Silver Feather Hunter!	604800	30001																					
30002	E-02 'Babylonia' Command	Gold Feather Hunter	You have received a reward for your achievement as a Gold Feather Hunter!	604800	30002																					
30003	E-02 'Babylonia' Command	Raven Feather Hunter	You have received a reward for your achievement as a Raven Feather Hunter!	604800	30003																					
50001	Test Center	Ranking Reward	No.1 Reward	604800																						
50002	Test Center	Ranking Reward	No.2 Reward	604800																						
50003	Test Center	Ranking Reward	No.3 Reward	604800																						
50004	Test Center	Ranking Reward	Top 5 Reward	604800																						
50005	Test Center	Ranking Reward	Top 10 Reward	604800																						
50006	Test Center	Ranking Reward	Top 0.1% Reward	604800																						
50007	Test Center	Ranking Reward	Top 1% Reward	604800																						
50008	Test Center	Ranking Reward	Top 10% Reward	604800																						
50009	Test Center	Ranking Reward	Participation Reward	604800																						
90000	E-02 'Babylonia' Quartermaster	1 per day for 5 days	Here are your Novice Supply Pack rewards. You will receive one reward per day over 5 days.	2592000	900000	900001	900002	900003																		
90001	E-02 'Babylonia' Quartermaster	1 per day for 10 days	Here are your A-Rank Construct Coating Black Card Supply Pack rewards. You will receive one reward per day over 10 days.	2592000	900010																					
90002	E-02 'Babylonia' Quartermaster	1 per day for 10 days	Here are your Daily Coating Ticket Supply Pack rewards. You will receive one reward per day over 10 days.	2592000	900020																					
90003	E-02 'Babylonia' Quartermaster	1 per day for 7 days	Here are your Weapon Material Supply Pack rewards. You will receive one reward per day over 7 days.	2592000	900030	900031	900032																			
90004	E-02 'Babylonia' Quartermaster	1 per day for 7 days	Here are your Memory Material Supply Pack rewards. You will receive one reward per day over 7 days.	2592000	900040	900041	900042																			
90005	E-02 'Babylonia' Quartermaster	1 per day for 10 days	Here are your Construct 10x R&D Pack rewards. You will receive one reward per day over 10 days.	2592000	900050																					
100001	Lucia	Gift from Lucia	Open it and there is a standard rectangular chocolate bar. Just by looking at it, you have a feeling that it will taste exceptionally wonderful.<br>A list of broken cooking utensils in the Babylonia public kitchen is attached to the bottom of the package.	604800	202	201	200																			
100002	Liv	Gift from Liv	Open it and there are some chocolates made in different adorable shapes, such as heart, cotton, cat's claw, etc. Each of them is too cute to eat.	604800	202	201	200																			
100003	Lee	Gift from Lee	Open it and there are exquisite, neatly arranged chocolates, all in the same shape. A vague mark "lee" is stamped on the bottom of each chocolate.	604800	202	201	200																			
100004	Kamui	Gift from Kamui	Open it and there is a big chunk of chocolate in a slightly irregular shape. A smiley face that frosted on it makes you feel this chocolate will be unbearably sweet.	604800	202	201	200																			
100005	Nanami	Gift from Nanami	Open it and there is a round chocolate ball. Everything seems fine except for its smell that is totally different from normal chocolates. What ingredients did Nanami add to it?	604800	202	201	200																			
100006	Watanabe	Gift from Watanabe	Open it and there is an exquisite handmade chocolate. Its layer seems to have been damaged slightly because of careless transportation, but its taste remains the same.	604800	202	201	200																			
100007	Karenina	Gift from Karenina	Open it and there are chocolate balls that look normal but, in fact, contain a large amount of popping candies. It tastes spicy, winey and sour and gives an unforgettable mouthfeel.	604800	202	201	200																			
100008	α	Gift from α	Open it and there are handmade chocolates in slightly rough shape. Because fresh cream is hard to find on the ground, it has been replaced by coconut milk to bring out a totally new flavor.	604800	202	201	200																			
100009	Ayla	Gift from Ayla	Open it and there is an exquisite chocolate with a thick red velvet layer, looking like a work of art. Its mouthfeel is wonderful as well.	604800	202	201	200																			
100010	Bianca	Gift from Bianca	Open it and there are neatly arranged white chocolates placed on a butter paper. They seem very delicious just by the looks of them.	604800	202	201	200																			
13000010				2592000	13000011																					
13000020				2592000	13000011	13000011	13000011																			
13000030				2592000	13000011	13000011																				
13000040				2592000	13000011																					
13000050	空中庭園補給センター	1日1セット×7日間	敬愛なる指揮官殿。ご購入された週間カードAの商品をお届けいたします。パックの商品は7日間に渡って届きます。どうぞお受取りください。	2592000	13000050	13000051	13000052																			
13000060	空中庭園補給センター	1日1セット×7日間	敬愛なる指揮官殿。ご購入された週間カードBの商品をお届けいたします。パックの商品は7日間に渡って届きます。どうぞお受取りください。	2592000	13000060	13000061	13000062																			
13000070	空中庭園補給センター	1日1セット×10日間	敬愛なる指揮官殿。ご購入された初心者武器開発パックの商品をお届けいたします。パックの商品は10日間に渡って届きます。どうぞお受取りください。	2592000	13000070																					
13000080	空中庭園補給センター	1日1セット×5日間	敬愛なる指揮官殿。ご購入された初心者5日パスの商品をお届けいたします。パックの商品は5日間に渡って届きます。どうぞお受取りください。	2592000	13000080	13000081	13000082	13000083																		
13000090	空中庭園補給センター	1日1セット×3日間	敬愛なる指揮官殿。ご購入された3日パスの商品をお届けいたします。パックの商品は3日間に渡って届きます。どうぞお受取りください。	2592000	13000090	13000091	13000092																			
13000100	E-02 'Babylonia' Quartermaster	1 per day for 30 days	Dear Commandant, here are your Monthly Pass B (Serum) Supply rewards. You will receive one reward per day over 30 days.	2592000	13000100	13000101																				
13000110	E-02 'Babylonia' Quartermaster	1 per day for 5 days	Here are your New Year Weapon 5-day Pack rewards. You will receive one reward per day over 5 days.	2592000	13000110																					
13000120	空中庭園補給センター	1日1セット×5日間	敬愛なる指揮官殿。ご購入されたバレンタイン5日パスの商品をお届けいたします。パックの商品は5日間に渡って届きます。どうぞお受取りください。	2592000	13000120	13000121	13000122																			
11	E-02 'Babylonia' Quartermaster	Recharge Pack	Dear Commandant, here are your Close-beta Bundle rewards. Please claim them in time. Thanks for supporting us!	604800	110	111	112	113																		
14000000	E-02 'Babylonia' Command	Rewards Re-issue	Dear Commandant,Here are the reward that you forgot to claim in "Energy Recovery Operation" event. Please claim it.	604800																						
14000001	E-02 'Babylonia' Quartermaster	1 per day for 5 days	Here are your Release Value Pack rewards. You will receive one reward per day over 5 days.	2592000	900000	900001	900002	900003	14000001																	
14000002	E-02 'Babylonia' Quartermaster	1 per day for 7 days	Here are your Target Weapon R&D Pack rewards. You will receive one reward per day over 7 days.	2592000	140000020	140000021	140000022																			
14000003	E-02 'Babylonia' Quartermaster	1 per day for 7 days	Dear Commandant, here are your [Fallen] Serum Weekly Pass rewards. You will receive one reward per day over 7 days.	2592000	140000030	140000031	140000032	140000033																		
14000004	PGR Team	Questionnaire Rewards	Dear Commandant,<br><br>Thank you for filling the Official Launch Questionnaire. Hereby we send you the participation rewards - Black Cards *150, which are attached to this mail. We apologize for the delay in rewards due to specific reasons and hope you can understand.<br>Again, Thanks for your support and love for Punishing: Gray Raven!	604800																						
