Id	SignId	Pre	Round	Day	IsGrandPrix	RewardType	RewardId	DropId	ShowRewardId
11000016	1100003	7	1	7	1	1	2120026		2120026
1400000	1300001	1	1	1	0	1	5000057		5000057
1400001	1300001	2	1	2	0	1	5000058		5000058
1400002	1300001	3	1	3	0	1	5000059		5000059
1400003	1300001	4	1	4	0	1	5000060		5000060
1400004	1300001	5	1	5	0	1	5000061		5000061
1400005	1300001	6	1	6	0	1	5000062		5000062
1400006	1300001	7	1	7	1	1	5000063		5000063
1300020	1300020	1	1	1	0	1	5000150		5000150
1300021	1300020	2	1	2	0	1	5000151		5000151
1300022	1300020	3	1	3	1	1	5000152		5000152
1300023	1300020	4	1	4	0	1	5000153		5000153
1300024	1300020	5	1	5	0	1	5000154		5000154
1300025	1300020	6	1	6	1	1	5000155		5000155
1300026	1300020	7	1	7	1	1	5000156		5000156
1300027	1300030	1	1	1	1	1	5000240		5000240
1300028	1300030	2	1	2	0	1	5000241		5000241
1300029	1300030	3	1	3	0	1	5000242		5000242
1300030	1300030	4	1	4	1	1	5000243		5000243
1300031	1300030	5	1	5	1	1	5000244		5000244
1300040	1300040	1	1	1	0	1	5000280		5000280
1300041	1300040	2	1	2	1	1	5000281		5000281
1300042	1300040	3	1	3	0	1	5000282		5000282
1300043	1300040	4	1	4	1	1	5000283		5000283
1300044	1300040	5	1	5	1	1	5000284		5000284
