Id	CharacterID	Pic	Title	Description	NextTrialID
29	1031003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Lifu01.png	Goddess Connection System	Enhances the weapon. Increases hit and damage of Basic Attacks.	30
30	1031003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Lifu02.png	Recommended Combo	Ping a Blue Orb to attract enemies. Increase attacking frequency by pinging Yellow Orbs and Basic Attack combos for a higher chance to trigger "Passive: Light Penalty".	31
31	1031003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Lifu03.png	Recommended Combo	Performs any 3-Ping to increase stacks of passive skills and recovers HP.	29
32	1071003		Thermal System	Gathers thermal energy by a 3-Ping or Signature Move. Becomes Enhanced when thermal energy reaches 50%.	33
33	1071003		Thermal System	Ping a Blue Orb to call for an aircraft which gains thermal energy from each attack.	32
34	1011003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Li01.png	Recommended Combo	Performs any 3-Ping + Red Orb combo to release an enhanced Red Orb.	34
35	1051003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Qishi01.png	Core Passive +1	For a period of time after performing a Signature Move, Movement Speed will be increased and Basic Attacks will deal Fire DMG and reduce Fire Resistance of the target.	35
36	1021003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luxiyaaerfa01.png	Crimson Abyss - Blade Will	Any 3-Ping after a Blue Orb 3-Ping to enter Blade Will state. Signal Orbs will be converted into Special Orbs which unleashes sword waves when pinged.	36
37	1091002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Aila01.png	Core Passive +1	Ping a Blue Orb after any 3-Ping to release Vector Cube. Draws in enemies when storing power, reduces their DMG dealt, and receives a shield for 7s. Deals DMG to a large area after storing power.	37
38	1081003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Dubian01.png	Core Passive +1	Ping a Red Orb after any 3-Ping to release Cosmic Wave. Enters a stat-enhanced state after using the skill, adding Dark DMG to Basic Attack.	38
