Id	GroupID	Name	RecommendLevel	Order	Type	ConditionId[1]	ConditionId[2]	ShowPass	Ico	TrialID	TrialStatus	SingStageId	MultStageId	SingleDescription	MultDescription	DetailBackGroundIco
11	5	3-10 A Twisted Hobby	60	1007	1	30506	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian8.png			10030602		No Stamina cost\nFight with overclocked monsters\nThe operation has started again. Gray Raven will distract the enemy so Strike Hawk can infiltrate the Estate.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian008.png
12	5	3-11 Loyalty	60	1008	1	30507	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian9.png			10030603		No Stamina cost\nFight with overclocked monsters\nTo attract as much firepower as possible, Gray Raven decided to enter the Estate building.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian009.png
13	5	3-12 A New Seed	60	1009	1	30508	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian10.png			10030604		No Stamina cost\nFight with overclocked monsters\nFor some unknown reason, Gray Raven lost contact with Strike Hawk. The priority now is to get out of this place.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian010.png
14	6	4-1 Night Escape	65	1010	1	30509	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian11.png			10040401		No Stamina cost\nFight with overclocked monsters\nStrike Hawk suffered a heavy loss, so Kamui was reassigned to Gray Raven, whose last task here is to establish a safe zone.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian011.png
15	6	4-2 Elimination	65	1011	1	30510	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian12.png			10040402		No Stamina cost\nFight with overclocked monsters\nCover Lee so he could set up the Iso-Device outside the Estate and hence establish a safe route between the base and the portal.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian012.png
16	6	4-3 Broken Chain	65	1012	1	30511	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian13.png			10040403		No Stamina cost\nFight with overclocked monsters\nA siren suddenly went off in the Estate. Check it out and ensure the portal is safe.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian013.png
17	6	4-4 Zack	65	1013	1	30512	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian14.png			10040404		No Stamina cost\nFight with overclocked monsters\nTurned out it was some Corrupted that triggered the safety robots. Destroy the Corrupted and the robots.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian014.png
18	6	4-5 Raging Sand	65	1014	1	30513	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian15.png			10040501		No Stamina cost\nFight with overclocked monsters\nThe portal was tampered by Roland and failed to send you to the designated location. After some discussion, you decided to walk there.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian015.png
19	6	4-6 Panic Dive	65	1015	1	30514	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian16.png			10040502		No Stamina cost\nFight with overclocked monsters\nKamui seemed to have this desert's information. Gray Raven headed toward the desert base for supplies and Construct maintenance.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian016.png
20	6	4-7 Forsaken	65	1016	1	30515	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian17.png			10040503		No Stamina cost\nFight with overclocked monsters\nThe desert base was under attack of the Corrupted. Defeat them to protect the base.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian017.png
21	6	4-8 Reinforcement	65	1017	1	30516	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian18.png			10040504		No Stamina cost\nFight with overclocked monsters\nGray Raven was met with some uninvited guests who called themselves the "Forsaken", and was attacked by one of the male Constructs.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian018.png
22	6	4-9 None Shall Pass	65	1018	1	30517	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian19.png			10040601		No Stamina cost\nFight with overclocked monsters\nThe "Forsaken" Constructs seemed to know Lucia and Kamui. Gray Raven set off once again to seize the base and find out the truth.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian019.png
23	6	4-10 Silent Night	65	1019	1	30518	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian20.png			10040602		No Stamina cost\nFight with overclocked monsters\nThe mysterious Construct who clearly disliked humans appeared again. He was upset by Gray Raven as they were taking orders from you. A battle is imminent.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian020.png
24	6	4-11 Noises	65	1020	1	30519	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian21.png			10040603		No Stamina cost\nFight with overclocked monsters\nThe male Construct took advantage of the Corrupted's habits and got them to attack Gray Raven. Lucia seemed to have recalled something during the battle though...?		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian021.png
25	6	4-12 Battle in Temple	65	1021	1	30520	30499	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenzhuxian22.png			10040604		No Stamina cost\nFight with overclocked monsters\nThe enemy Construct's name was Watanabe. But before Lucia could recall more, a type of enemy named "Guardian" started to attack...		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenzhuxian022.png
26	8	Camu	60	1022	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenxiu1.png			30030101		No Stamina cost\nDifficulty: 5000		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenxiu001.png
27	9	Riot	60	1023	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubendianqiu1.png			30030102		No Stamina cost\nDifficulty: 5000		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubendianqiu001.png
28	8	Nightmare Camu	80	1024	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenxiu2.png			30030103		No Stamina cost\nDifficulty: 6500		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenxiu002.png
29	9	Nightmare Riot	80	1025	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubendianqiu2.png			30030104		No Stamina cost\nDifficulty: 6500		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubendianqiu002.png
30	8	Terror Camu	80	1026	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenxiu3.png			30030105		No Stamina cost\nDifficulty: 8000		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenxiu003.png
31	9	Terror Riot	80	1027	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubendianqiu3.png			30030106		No Stamina cost\nDifficulty: 8000		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubendianqiu003.png
32	12	Sister	60	1028	2	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenxiunv1.png				30030201		No Stamina cost\nDifficulty: 5000	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenxiunv001.png
33	13	Osiris	60	1029	2	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubengoutou1.png				30030202		No Stamina cost\nDifficulty: 5000	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubengoutou001.png
34	12	Nightmare Sister	80	1030	2	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenxiunv2.png				30030203		No Stamina cost\nDifficulty: 6500	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenxiunv002.png
35	13	Nightmare Osiris	80	1031	2	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubengoutou2.png				30030204		No Stamina cost\nDifficulty: 6500	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubengoutou002.png
36	12	Terror Sister	80	1032	2	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenxiunv3.png				30030205		No Stamina cost\nDifficulty: 8000	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenxiunv003.png
37	13	Terror Osiris	80	1033	2	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubengoutou3.png				30030206		No Stamina cost\nDifficulty: 8000	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubengoutou003.png
38	3	Nightmare Rescue - 1	80	1000	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenguanka1.png			30030601		No Stamina cost\nDifficulty: 6500		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenguanka001.png
39	3	Nightmare Rescue - 2	80	1001	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenguanka2.png			30030602		No Stamina cost\nDifficulty: 6500		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenguanka002.png
40	3	Nightmare Rescue - 3	80	1002	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenguanka3.png			30030603		No Stamina cost\nDifficulty: 6500		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenguanka003.png
41	3	Nightmare Rescue - 4	80	1003	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenguanka4.png			30030604		No Stamina cost\nDifficulty: 6500		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenguanka004.png
42	3	Nightmare Rescue - 5	80	1004	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenguanka5.png			30030605		No Stamina cost\nDifficulty: 6500		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenguanka005.png
43	10	Rosetta	60	1030	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenrenma1.png			30030211		No Stamina cost\nDifficulty: 5000		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenrenma1.png
44	10	Nightmare Rosetta	80	1031	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenrenma2.png			30030212		No Stamina cost\nDifficulty: 6500		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenrenma2.png
45	10	Terror Rosetta	80	1032	1	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenrenma3.png			30030213		No Stamina cost\nDifficulty: 8000		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenrenma3.png
46	14	Rosetta	60	1040	2	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenrenma1.png				30030207		No Stamina cost\nDifficulty: 5000	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenrenma1.png
47	14	Nightmare Rosetta	80	1041	2	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenrenma2.png				30030208		No Stamina cost\nDifficulty: 6500	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenrenma2.png
48	14	Terror Rosetta	80	1042	2	30499		1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenrenma3.png				30030209		No Stamina cost\nDifficulty: 8000	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenrenma3.png
49	15	Motorcycle Racing	1	103	2				Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenmotor1.png	1	2		30030902		No Stamina cost\nCo-op racing mode	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenmotor001.png
50	1	Dummy - Transcendant	52	102	3	84700201			Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenmuzhaung1.png	1	2	30030304	30030404	No Stamina cost.\nEnemies will not attack\nEnemies will always revive after death.\nYou are advised to use the Transcendant.	No Stamina cost.\nEnemies will not attack.\nEnemies will always revive after death.\nOnly Transcendants can be deployed.	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenmuzhuang001.png
51	1	Combat - Transcendant	52	103	3	84700201			Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenduizhan1.png	2	2	30030305	30030405	No Stamina cost.\nEnemies will be revived infinitely.\nYou are advised to use the Transcendant.	No Stamina cost.\nMonsters will always revive after death.\nOnly Transcendants can be deployed.	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenduizhan001.png
52	16	Theme Park Photos	1	103	1				Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenphoto1.png	1	2	30031401		You can take pictures of wonderful moments in the park.		Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenphoto1.png
