Id	StageId	Difficulty	DifficultyDesc	RecommendAbility	AdditionDest	FinishDropId	FirstRewardId	FlopRewardId	MonsterLevel[1]	MonsterLevel[2]	MonsterLevel[3]	MonsterLevel[4]
31	20000301	1	Easy	2200	Normal rewards	201101		1	30	30	30	1
32	20000301	2	Elite	2400	Better rewards	201102		2	59	59	59	2
33	20000301	3	Nightmare	2600	Significantly better rewards	201103		3	76	76	76	3
34	20000302	1	Easy	2800	Normal rewards	201104		4	92	92	92	1
35	20000302	2	Elite	3200	Better rewards	201105		5	121	121	121	2
36	20000302	3	Nightmare	3600	Significantly better rewards	201106		6	149	149	149	3
37	20000303	1	Easy	4000	Normal rewards	201107		7	156	156	156	1
38	20000303	2	Elite	4400	Better rewards	201108		8	185	185	185	2
39	20000303	3	Nightmare	4800	Significantly better rewards	201109		9	213	213	213	3
40	20000304	1	Easy	5200	Normal rewards	201110		10	241	241	241	1
41	20000304	2	Elite	5600	Better rewards	201111		11	269	269	269	2
42	20000304	3	Nightmare	6000	Significantly better rewards	201112		12	296	296	296	3
43	20000401	1	Easy	2200	Normal rewards	201101		1	30	30	30	1
44	20000401	2	Elite	2400	Better rewards	201102		2	59	59	59	2
45	20000401	3	Nightmare	2600	Significantly better rewards	201103		3	76	76	76	3
46	20000402	1	Easy	2800	Normal rewards	201104		4	92	92	92	1
47	20000402	2	Elite	3200	Better rewards	201105		5	121	121	121	2
48	20000402	3	Nightmare	3600	Significantly better rewards	201106		6	149	149	149	3
49	20000403	1	Easy	4000	Normal rewards	201107		7	156	156	156	1
50	20000403	2	Elite	4400	Better rewards	201108		8	185	185	185	2
51	20000403	3	Nightmare	4800	Significantly better rewards	201109		9	213	213	213	3
52	20000404	1	Easy	5200	Normal rewards	201110		10	241	241	241	1
53	20000404	2	Elite	5600	Better rewards	201111		11	269	269	269	2
54	20000404	3	Nightmare	6000	Significantly better rewards	201112		12	296	296	296	3
55	20000405	1	Easy	6000	Normal rewards	201140		10	334	334	334	1
56	20000405	2	Elite	6250	Better rewards	201141		11	438	438	438	2
57	20000405	3	Nightmare	6500	Significantly better rewards	201142		12	619	619	619	3
58	20010001	1	Easy	4200	Normal rewards	140000		13	155	155	155	1
59	20010011	1	Easy	4200	Normal rewards	140000		13	185	185	185	1
60	20010101	1	Easy	4200	Normal rewards	140000		13	145	145	145	1
61	20010002	1	Easy	4200	Normal rewards	140000		13	285	285	285	1
62	20010012	1	Easy	4200	Normal rewards	140000		13	185	185	185	1
63	20010103	1	Easy	4200	Normal rewards	140000		13	185	185	185	1
64	20010003	1	Easy	4200	Normal rewards	140000		13	115	115	115	1
65	20010013	1	Easy	4200	Normal rewards	140000		13	185	185	185	1
66	20010102	1	Easy	4200	Normal rewards	140000		13	185	185	185	1
67	20010004	1	Easy	4200	Normal rewards	140000		13	135	135	135	1
68	20010014	1	Easy	4200	Normal rewards	140000		13	185	185	185	1
69	20010104	1	Easy	4200	Normal rewards	140000		13	185	185	185	1
70	20010005	1	Easy	5000	Normal rewards	140003		14	184	184	184	1
71	20010015	1	Easy	5000	Normal rewards	140003		14	220	220	220	1
72	20010105	1	Easy	5000	Normal rewards	140003		14	172	172	172	1
73	20010006	1	Easy	5000	Normal rewards	140003		14	339	339	339	1
74	20010016	1	Easy	5000	Normal rewards	140003		14	220	220	220	1
75	20010107	1	Easy	5000	Normal rewards	140003		14	220	220	220	1
76	20010007	1	Easy	5000	Normal rewards	140003		14	136	136	136	1
77	20010017	1	Easy	5000	Normal rewards	140003		14	220	220	220	1
78	20010106	1	Easy	5000	Normal rewards	140003		14	220	220	220	1
79	20010008	1	Easy	5000	Normal rewards	140003		14	160	160	160	1
80	20010018	1	Easy	5000	Normal rewards	140003		14	220	220	220	1
81	20010108	1	Easy	5000	Normal rewards	140003		14	220	220	220	1
82	20010001	2	Elite	4900	Better rewards	140001		13	202	202	202	2
83	20010011	2	Elite	4900	Better rewards	140001		13	258	258	258	2
84	20010101	2	Elite	4900	Better rewards	140001		13	197	197	197	2
85	20010002	2	Elite	4900	Better rewards	140001		13	365	365	365	2
86	20010012	2	Elite	4900	Better rewards	140001		13	258	258	258	2
87	20010103	2	Elite	4900	Better rewards	140001		13	217	217	217	2
88	20010003	2	Elite	4900	Better rewards	140001		13	161	161	161	2
89	20010013	2	Elite	4900	Better rewards	140001		13	258	258	258	2
90	20010102	2	Elite	4900	Better rewards	140001		13	341	258	258	2
91	20010004	2	Elite	4900	Better rewards	140001		13	202	202	202	2
92	20010014	2	Elite	4900	Better rewards	140001		13	258	258	258	2
93	20010104	2	Elite	4900	Better rewards	140001		13	341	258	258	2
94	20010005	2	Elite	6000	Better rewards	140004		14	247	247	247	2
95	20010015	2	Elite	6000	Better rewards	140004		14	315	315	315	2
96	20010105	2	Elite	6000	Better rewards	140004		14	241	241	241	2
97	20010006	2	Elite	6000	Better rewards	140004		14	446	446	446	2
98	20010016	2	Elite	6000	Better rewards	140004		14	315	315	315	2
99	20010107	2	Elite	6000	Better rewards	140004		14	265	265	265	2
100	20010007	2	Elite	6000	Better rewards	140004		14	197	197	197	2
101	20010017	2	Elite	6000	Better rewards	140004		14	315	315	315	2
102	20010106	2	Elite	6000	Better rewards	140004		14	417	315	315	2
103	20010008	2	Elite	6000	Better rewards	140004		14	247	247	247	2
104	20010018	2	Elite	6000	Better rewards	140004		14	315	315	315	2
105	20010108	2	Elite	6000	Better rewards	140004		14	417	315	315	2
106	20010001	3	Nightmare	5700	Significantly better rewards	140002		13	249	249	249	3
107	20010011	3	Nightmare	5700	Significantly better rewards	140002		13	332	332	332	3
108	20010101	3	Nightmare	5700	Significantly better rewards	140002		13	249	249	249	3
109	20010002	3	Nightmare	5700	Significantly better rewards	140002		13	445	445	445	3
110	20010012	3	Nightmare	5700	Significantly better rewards	140002		13	332	332	332	3
111	20010103	3	Nightmare	5700	Significantly better rewards	140002		13	249	249	249	3
112	20010003	3	Nightmare	5700	Significantly better rewards	140002		13	208	208	208	3
113	20010013	3	Nightmare	5700	Significantly better rewards	140002		13	332	332	332	3
114	20010102	3	Nightmare	5700	Significantly better rewards	140002		13	497	332	332	3
115	20010004	3	Nightmare	5700	Significantly better rewards	140002		13	270	270	270	3
116	20010014	3	Nightmare	5700	Significantly better rewards	140002		13	332	332	332	3
117	20010104	3	Nightmare	5700	Significantly better rewards	140002		13	497	332	332	3
118	20010005	3	Nightmare	7000	Significantly better rewards	140005		14	305	305	305	3
119	20010015	3	Nightmare	7000	Significantly better rewards	140005		14	407	407	407	3
120	20010105	3	Nightmare	7000	Significantly better rewards	140005		14	305	305	305	3
121	20010006	3	Nightmare	7000	Significantly better rewards	140005		14	546	546	546	3
122	20010016	3	Nightmare	7000	Significantly better rewards	140005		14	407	407	407	3
123	20010107	3	Nightmare	7000	Significantly better rewards	140005		14	305	305	305	3
124	20010007	3	Nightmare	7000	Significantly better rewards	140005		14	255	255	255	3
125	20010017	3	Nightmare	7000	Significantly better rewards	140005		14	407	407	407	3
126	20010106	3	Nightmare	7000	Significantly better rewards	140005		14	610	407	407	3
127	20010008	3	Nightmare	7000	Significantly better rewards	140005		14	331	331	331	3
128	20010018	3	Nightmare	7000	Significantly better rewards	140005		14	407	407	407	3
129	20010108	3	Nightmare	7000	Significantly better rewards	140005		14	610	407	407	3
