Id	StageId	MaxLevel	RecommendationLevel	FinishRewardShow	FirstRewardShow	FinishDropId	FirstRewardId	MonsterLevel[1]	MonsterLevel[2]	MonsterLevel[3]
4117	21010702	69	58					222	253	149
4118	21010703	69	61					279	279	164
4119	21010704	69	64					325	289	169
4120	21010705	69	67					374	299	175
4121	21010701	120	70					232	309	181
4122	21010702	120	73					320	365	214
4123	21010703	120	76					377	377	220
4124	21010704	120	79					483	429	251
4125	21010705	120	80					562	449	263
4126	21010901	54	40					93	124	73
4127	21010902	54	43					132	151	89
4128	21010903	54	46					162	162	95
4129	21010904	54	49					190	169	99
4130	21010905	54	52					219	176	103
4131	21010901	69	55					164	219	128
4132	21010902	69	58					222	253	149
4133	21010903	69	61					279	279	164
4134	21010904	69	64					325	289	169
4135	21010905	69	67					374	299	175
4136	21010901	120	70					232	309	181
4137	21010902	120	73					320	365	214
4138	21010903	120	76					377	377	220
4139	21010904	120	79					483	429	251
4140	21010905	120	80					562	449	263
4141	21010401	54	40					93	124	73
4142	21010402	54	43					132	151	89
4143	21010403	54	46					162	162	95
4144	21010404	54	49					190	169	99
4145	21010405	54	52					219	176	103
4146	21010401	69	55					164	219	128
4147	21010402	69	58					222	253	149
4148	21010403	69	61					279	279	164
4149	21010404	69	64					325	289	169
4150	21010405	69	67					374	299	175
4151	21010401	120	70					232	309	181
4152	21010402	120	73					320	365	214
4153	21010403	120	76					377	377	220
4154	21010404	120	79					483	429	251
4155	21010405	120	80					562	449	263
4156	21010801	54	40					93	124	73
4157	21010802	54	43					132	151	89
4158	21010803	54	46					162	162	95
4159	21010804	54	49					190	169	99
4160	21010805	54	52					219	176	103
4161	21010801	69	55					164	219	128
4162	21010802	69	58					222	253	149
4163	21010803	69	61					279	279	164
4164	21010804	69	64					325	289	169
4165	21010805	69	67					374	299	175
4166	21010801	120	70					232	309	181
4167	21010802	120	73					320	365	214
4168	21010803	120	76					377	377	220
4169	21010804	120	79					483	429	251
4170	21010805	120	80					562	449	263
4171	13010101	25	25	130101010		130101		69	37	30
4172	13010101	30	30	130101010		130101		85	46	36
4173	13010101	35	35	130101010		130101		103	56	44
4174	13010101	40	40	130101010		130101		122	66	52
4175	13010101	45	45	130101010		130101		135	73	57
4176	13010101	50	50	130101010		130101		150	81	64
4177	13010101	55	55	130101010		130101		188	102	80
4178	13010101	60	60	130101010		130101		224	121	95
4179	13010101	65	65	130101010		130101		248	134	105
4180	13010101	70	70	130101010		130101		273	147	115
4181	13010101	75	75	130101010		130101		299	162	126
4182	13010101	120	80	130101010		130101		325	176	137
4183	13010102	25	25	130101020		130102		69	37	30
4184	13010102	30	30	130101020		130102		85	46	36
4185	13010102	35	35	130101020		130102		103	56	44
4186	13010102	40	40	130101020		130102		122	66	52
4187	13010102	45	45	130101020		130102		135	73	57
4188	13010102	50	50	130101020		130102		150	81	64
4189	13010102	55	55	130101020		130102		188	102	80
4190	13010102	60	60	130101020		130102		224	121	95
4191	13010102	65	65	130101020		130102		248	134	105
4192	13010102	70	70	130101020		130102		273	147	115
4193	13010102	75	75	130101020		130102		299	162	126
4194	13010102	120	80	130101020		130102		325	176	137
4195	13010103	25	25	130101030		130103		69	37	30
4196	13010103	30	30	130101030		130103		85	46	36
4197	13010103	35	35	130101030		130103		103	56	44
4198	13010103	40	40	130101030		130103		122	66	52
4199	13010103	45	45	130101030		130103		135	73	57
4200	13010103	50	50	130101030		130103		150	81	64
4201	13010103	55	55	130101030		130103		188	102	80
4202	13010103	60	60	130101030		130103		224	121	95
4203	13010103	65	65	130101030		130103		248	134	105
4204	13010103	70	70	130101030		130103		273	147	115
4205	13010103	75	75	130101030		130103		299	162	126
4206	13010103	120	80	130101030		130103		325	176	137
4207	13010201	25	25	130102010		130201		69	37	30
4208	13010201	30	30	130102010		130201		85	46	36
4209	13010201	35	35	130102010		130201		103	56	44
4210	13010201	40	40	130102010		130201		122	66	52
4211	13010201	45	45	130102010		130201		135	73	57
4212	13010201	50	50	130102010		130201		150	81	64
4213	13010201	55	55	130102010		130201		188	102	80
4214	13010201	60	60	130102010		130201		224	121	95
4215	13010201	65	65	130102010		130201		248	134	105
4216	13010201	70	70	130102010		130201		273	147	115
4217	13010201	75	75	130102010		130201		299	162	126
4218	13010201	120	80	130102010		130201		325	176	137
4219	13010202	25	25	130102020		130202		69	37	30
4220	13010202	30	30	130102020		130202		85	46	36
4221	13010202	35	35	130102020		130202		103	56	44
4222	13010202	40	40	130102020		130202		122	66	52
4223	13010202	45	45	130102020		130202		135	73	57
4224	13010202	50	50	130102020		130202		150	81	64
4225	13010202	55	55	130102020		130202		188	102	80
4226	13010202	60	60	130102020		130202		224	121	95
4227	13010202	65	65	130102020		130202		248	134	105
4228	13010202	70	70	130102020		130202		273	147	115
4229	13010202	75	75	130102020		130202		299	162	126
4230	13010202	120	80	130102020		130202		325	176	137
4231	13010203	25	25	130102030		130203		69	37	30
4232	13010203	30	30	130102030		130203		85	46	36
4233	13010203	35	35	130102030		130203		103	56	44
4234	13010203	40	40	130102030		130203		122	66	52
4235	13010203	45	45	130102030		130203		135	73	57
4236	13010203	50	50	130102030		130203		150	81	64
4237	13010203	55	55	130102030		130203		188	102	80
4238	13010203	60	60	130102030		130203		224	121	95
4239	13010203	65	65	130102030		130203		248	134	105
4240	13010203	70	70	130102030		130203		273	147	115
4241	13010203	75	75	130102030		130203		299	162	126
4242	13010203	120	80	130102030		130203		325	176	137
4243	13010301	25	25	130103010		130301		69	37	30
4244	13010301	30	30	130103010		130301		85	46	36
4245	13010301	35	35	130103010		130301		103	56	44
4246	13010301	40	40	130103010		130301		122	66	52
4247	13010301	45	45	130103010		130301		135	73	57
4248	13010301	50	50	130103010		130301		150	81	64
4249	13010301	55	55	130103010		130301		188	102	80
4250	13010301	60	60	130103010		130301		224	121	95
4251	13010301	65	65	130103010		130301		248	134	105
4252	13010301	70	70	130103010		130301		273	147	115
4253	13010301	75	75	130103010		130301		299	162	126
4254	13010301	120	80	130103010		130301		325	176	137
4255	13010302	25	25	130103020		130302		69	37	30
4256	13010302	30	30	130103020		130302		85	46	36
4257	13010302	35	35	130103020		130302		103	56	44
4258	13010302	40	40	130103020		130302		122	66	52
4259	13010302	45	45	130103020		130302		135	73	57
4260	13010302	50	50	130103020		130302		150	81	64
4261	13010302	55	55	130103020		130302		188	102	80
4262	13010302	60	60	130103020		130302		224	121	95
4263	13010302	65	65	130103020		130302		248	134	105
4264	13010302	70	70	130103020		130302		273	147	115
4265	13010302	75	75	130103020		130302		299	162	126
4266	13010302	120	80	130103020		130302		325	176	137
4267	13010303	25	25	130103030		130303		69	37	30
4268	13010303	30	30	130103030		130303		85	46	36
4269	13010303	35	35	130103030		130303		103	56	44
4270	13010303	40	40	130103030		130303		122	66	52
4271	13010303	45	45	130103030		130303		135	73	57
4272	13010303	50	50	130103030		130303		150	81	64
4273	13010303	55	55	130103030		130303		188	102	80
4274	13010303	60	60	130103030		130303		224	121	95
4275	13010303	65	65	130103030		130303		248	134	105
4276	13010303	70	70	130103030		130303		273	147	115
4277	13010303	75	75	130103030		130303		299	162	126
4278	13010303	120	80	130103030		130303		325	176	137
4279	13010401	25	25	130104010		130401		69	37	30
4280	13010401	30	30	130104010		130401		85	46	36
4281	13010401	35	35	130104010		130401		103	56	44
4282	13010401	40	40	130104010		130401		122	66	52
4283	13010401	45	45	130104010		130401		135	73	57
4284	13010401	50	50	130104010		130401		150	81	64
4285	13010401	55	55	130104010		130401		188	102	80
4286	13010401	60	60	130104010		130401		224	121	95
4287	13010401	65	65	130104010		130401		248	134	105
4288	13010401	70	70	130104010		130401		273	147	115
4289	13010401	75	75	130104010		130401		299	162	126
4290	13010401	120	80	130104010		130401		325	176	137
4291	13010402	25	25	130104020		130402		69	37	30
4292	13010402	30	30	130104020		130402		85	46	36
4293	13010402	35	35	130104020		130402		103	56	44
4294	13010402	40	40	130104020		130402		122	66	52
4295	13010402	45	45	130104020		130402		135	73	57
4296	13010402	50	50	130104020		130402		150	81	64
4297	13010402	55	55	130104020		130402		188	102	80
4298	13010402	60	60	130104020		130402		224	121	95
4299	13010402	65	65	130104020		130402		248	134	105
4300	13010402	70	70	130104020		130402		273	147	115
4301	13010402	75	75	130104020		130402		299	162	126
4302	13010402	120	80	130104020		130402		325	176	137
4303	13010403	25	25	130104030		130403		69	37	30
4304	13010403	30	30	130104030		130403		85	46	36
4305	13010403	35	35	130104030		130403		103	56	44
4306	13010403	40	40	130104030		130403		122	66	52
4307	13010403	45	45	130104030		130403		135	73	57
4308	13010403	50	50	130104030		130403		150	81	64
4309	13010403	55	55	130104030		130403		188	102	80
4310	13010403	60	60	130104030		130403		224	121	95
4311	13010403	65	65	130104030		130403		248	134	105
4312	13010403	70	70	130104030		130403		273	147	115
4313	13010403	75	75	130104030		130403		299	162	126
4314	13010403	120	80	130104030		130403		325	176	137
4315	13010501	25	25	130105010		130501		69	37	30
4316	13010501	30	30	130105010		130501		85	46	36
4317	13010501	35	35	130105010		130501		103	56	44
4318	13010501	40	40	130105010		130501		122	66	52
4319	13010501	45	45	130105010		130501		135	73	57
4320	13010501	50	50	130105010		130501		150	81	64
4321	13010501	55	55	130105010		130501		188	102	80
4322	13010501	60	60	130105010		130501		224	121	95
4323	13010501	65	65	130105010		130501		248	134	105
4324	13010501	70	70	130105010		130501		273	147	115
4325	13010501	75	75	130105010		130501		299	162	126
4326	13010501	120	80	130105010		130501		325	176	137
4327	13010502	25	25	130105020		130502		69	37	30
4328	13010502	30	30	130105020		130502		85	46	36
4329	13010502	35	35	130105020		130502		103	56	44
4330	13010502	40	40	130105020		130502		122	66	52
4331	13010502	45	45	130105020		130502		135	73	57
4332	13010502	50	50	130105020		130502		150	81	64
4333	13010502	55	55	130105020		130502		188	102	80
4334	13010502	60	60	130105020		130502		224	121	95
4335	13010502	65	65	130105020		130502		248	134	105
4336	13010502	70	70	130105020		130502		273	147	115
4337	13010502	75	75	130105020		130502		299	162	126
4338	13010502	120	80	130105020		130502		325	176	137
4339	13010503	25	25	130105030		130503		69	37	30
4340	13010503	30	30	130105030		130503		85	46	36
4341	13010503	35	35	130105030		130503		103	56	44
4342	13010503	40	40	130105030		130503		122	66	52
4343	13010503	45	45	130105030		130503		135	73	57
4344	13010503	50	50	130105030		130503		150	81	64
4345	13010503	55	55	130105030		130503		188	102	80
4346	13010503	60	60	130105030		130503		224	121	95
4347	13010503	65	65	130105030		130503		248	134	105
4348	13010503	70	70	130105030		130503		273	147	115
4349	13010503	75	75	130105030		130503		299	162	126
4350	13010503	120	80	130105030		130503		325	176	137
4351	13010601	25	25	130106010		130601		69	37	30
4352	13010601	30	30	130106010		130601		85	46	36
4353	13010601	35	35	130106010		130601		103	56	44
4354	13010601	40	40	130106010		130601		122	66	52
4355	13010601	45	45	130106010		130601		135	73	57
4356	13010601	50	50	130106010		130601		150	81	64
4357	13010601	55	55	130106010		130601		188	102	80
4358	13010601	60	60	130106010		130601		224	121	95
4359	13010601	65	65	130106010		130601		248	134	105
4360	13010601	70	70	130106010		130601		273	147	115
4361	13010601	75	75	130106010		130601		299	162	126
4362	13010601	120	80	130106010		130601		325	176	137
4363	13010602	25	25	130106020		130602		69	37	30
4364	13010602	30	30	130106020		130602		85	46	36
4365	13010602	35	35	130106020		130602		103	56	44
4366	13010602	40	40	130106020		130602		122	66	52
4367	13010602	45	45	130106020		130602		135	73	57
4368	13010602	50	50	130106020		130602		150	81	64
4369	13010602	55	55	130106020		130602		188	102	80
4370	13010602	60	60	130106020		130602		224	121	95
4371	13010602	65	65	130106020		130602		248	134	105
4372	13010602	70	70	130106020		130602		273	147	115
4373	13010602	75	75	130106020		130602		299	162	126
4374	13010602	120	80	130106020		130602		325	176	137
4375	13010603	25	25	130106030		130603		69	37	30
4376	13010603	30	30	130106030		130603		85	46	36
4377	13010603	35	35	130106030		130603		103	56	44
4378	13010603	40	40	130106030		130603		122	66	52
4379	13010603	45	45	130106030		130603		135	73	57
4380	13010603	50	50	130106030		130603		150	81	64
4381	13010603	55	55	130106030		130603		188	102	80
4382	13010603	60	60	130106030		130603		224	121	95
4383	13010603	65	65	130106030		130603		248	134	105
4384	13010603	70	70	130106030		130603		273	147	115
4385	13010603	75	75	130106030		130603		299	162	126
4386	13010603	120	80	130106030		130603		325	176	137
4387	13010701	25	25	130107010		130701		69	37	30
4388	13010701	30	30	130107010		130701		85	46	36
4389	13010701	35	35	130107010		130701		103	56	44
4390	13010701	40	40	130107010		130701		122	66	52
4391	13010701	45	45	130107010		130701		135	73	57
4392	13010701	50	50	130107010		130701		150	81	64
4393	13010701	55	55	130107010		130701		188	102	80
4394	13010701	60	60	130107010		130701		224	121	95
4395	13010701	65	65	130107010		130701		248	134	105
4396	13010701	70	70	130107010		130701		273	147	115
4397	13010701	75	75	130107010		130701		299	162	126
4398	13010701	120	80	130107010		130701		325	176	137
4399	13010702	25	25	130107020		130702		69	37	30
4400	13010702	30	30	130107020		130702		85	46	36
4401	13010702	35	35	130107020		130702		103	56	44
4402	13010702	40	40	130107020		130702		122	66	52
4403	13010702	45	45	130107020		130702		135	73	57
4404	13010702	50	50	130107020		130702		150	81	64
4405	13010702	55	55	130107020		130702		188	102	80
4406	13010702	60	60	130107020		130702		224	121	95
4407	13010702	65	65	130107020		130702		248	134	105
4408	13010702	70	70	130107020		130702		273	147	115
4409	13010702	75	75	130107020		130702		299	162	126
4410	13010702	120	80	130107020		130702		325	176	137
4411	13010703	25	25	130107030		130703		69	37	30
4412	13010703	30	30	130107030		130703		85	46	36
4413	13010703	35	35	130107030		130703		103	56	44
4414	13010703	40	40	130107030		130703		122	66	52
4415	13010703	45	45	130107030		130703		135	73	57
4416	13010703	50	50	130107030		130703		150	81	64
4417	13010703	55	55	130107030		130703		188	102	80
4418	13010703	60	60	130107030		130703		224	121	95
4419	13010703	65	65	130107030		130703		248	134	105
4420	13010703	70	70	130107030		130703		273	147	115
4421	13010703	75	75	130107030		130703		299	162	126
4422	13010703	120	80	130107030		130703		325	176	137
4423	13010801	25	25	130108010		130801		69	37	30
4424	13010801	30	30	130108010		130801		85	46	36
4425	13010801	35	35	130108010		130801		103	56	44
4426	13010801	40	40	130108010		130801		122	66	52
4427	13010801	45	45	130108010		130801		135	73	57
4428	13010801	50	50	130108010		130801		150	81	64
4429	13010801	55	55	130108010		130801		188	102	80
4430	13010801	60	60	130108010		130801		224	121	95
4431	13010801	65	65	130108010		130801		248	134	105
4432	13010801	70	70	130108010		130801		273	147	115
4433	13010801	75	75	130108010		130801		299	162	126
4434	13010801	120	80	130108010		130801		325	176	137
4435	13010802	25	25	130108020		130802		69	37	30
4436	13010802	30	30	130108020		130802		85	46	36
4437	13010802	35	35	130108020		130802		103	56	44
4438	13010802	40	40	130108020		130802		122	66	52
4439	13010802	45	45	130108020		130802		135	73	57
4440	13010802	50	50	130108020		130802		150	81	64
4441	13010802	55	55	130108020		130802		188	102	80
4442	13010802	60	60	130108020		130802		224	121	95
4443	13010802	65	65	130108020		130802		248	134	105
4444	13010802	70	70	130108020		130802		273	147	115
4445	13010802	75	75	130108020		130802		299	162	126
4446	13010802	120	80	130108020		130802		325	176	137
4447	13010803	25	25	130108030		130803		69	37	30
4448	13010803	30	30	130108030		130803		85	46	36
4449	13010803	35	35	130108030		130803		103	56	44
4450	13010803	40	40	130108030		130803		122	66	52
4451	13010803	45	45	130108030		130803		135	73	57
4452	13010803	50	50	130108030		130803		150	81	64
4453	13010803	55	55	130108030		130803		188	102	80
4454	13010803	60	60	130108030		130803		224	121	95
4455	13010803	65	65	130108030		130803		248	134	105
4456	13010803	70	70	130108030		130803		273	147	115
4457	13010803	75	75	130108030		130803		299	162	126
4458	13010803	120	80	130108030		130803		325	176	137
4459	13011201	25	25	130109010		130901		69	37	30
4460	13011201	30	30	130109010		130901		85	46	36
4461	13011201	35	35	130109010		130901		103	56	44
4462	13011201	40	40	130109010		130901		122	66	52
4463	13011201	45	45	130109010		130901		135	73	57
4464	13011201	50	50	130109010		130901		150	81	64
4465	13011201	55	55	130109010		130901		188	102	80
4466	13011201	60	60	130109010		130901		224	121	95
4467	13011201	65	65	130109010		130901		248	134	105
4468	13011201	70	70	130109010		130901		273	147	115
4469	13011201	75	75	130109010		130901		299	162	126
4470	13011201	120	80	130109010		130901		325	176	137
4471	13011401	25	25	130110010		131001		69	37	30
4472	13011401	30	30	130110010		131001		85	46	36
4473	13011401	35	35	130110010		131001		103	56	44
4474	13011401	40	40	130110010		131001		122	66	52
4475	13011401	45	45	130110010		131001		135	73	57
4476	13011401	50	50	130110010		131001		150	81	64
4477	13011401	55	55	130110010		131001		188	102	80
4478	13011401	60	60	130110010		131001		224	121	95
4479	13011401	65	65	130110010		131001		248	134	105
4480	13011401	70	70	130110010		131001		273	147	115
4481	13011401	75	75	130110010		131001		299	162	126
4482	13011401	120	80	130110010		131001		325	176	137
4483	13011501	25	25	130111010		131101		69	37	30
4484	13011501	30	30	130111010		131101		85	46	36
4485	13011501	35	35	130111010		131101		103	56	44
4486	13011501	40	40	130111010		131101		122	66	52
4487	13011501	45	45	130111010		131101		135	73	57
4488	13011501	50	50	130111010		131101		150	81	64
4489	13011501	55	55	130111010		131101		188	102	80
4490	13011501	60	60	130111010		131101		224	121	95
4491	13011501	65	65	130111010		131101		248	134	105
4492	13011501	70	70	130111010		131101		273	147	115
4493	13011501	75	75	130111010		131101		299	162	126
4494	13011501	120	80	130111010		131101		325	176	137
4495	30000101	54	40					72	52	41
4496	30000102	54	45					128	62	49
4497	30000103	54	50					202	73	57
4498	30000104	54	50					288	77	61
4499	30000105	54	50					380	79	62
4500	30000106	54	50					380	79	62
4501	30000101	79	55					133	81	64
4502	30000102	79	60					237	101	80
4503	30000103	79	65					349	117	91
4504	30000104	79	65					483	128	100
4505	30000105	79	65					604	132	103
4506	30000106	79	65					604	132	103
4507	30000101	120	80					198	129	101
4508	30000102	120	80					326	141	110
4509	30000103	120	80					512	165	129
4510	30000104	120	80					740	190	148
4511	30000105	120	80					919	195	152
4512	30000106	120	80					919	195	152
4513	30000201	54	40					72	52	41
4514	30000202	54	45					128	62	49
4515	30000203	54	50					202	73	57
4516	30000204	54	50					288	77	61
4517	30000205	54	50					380	79	62
4518	30000206	54	50					380	79	62
4519	30000201	79	55					133	81	64
4520	30000202	79	60					237	101	80
4521	30000203	79	65					349	117	91
4522	30000204	79	65					483	128	100
4523	30000205	79	65					604	132	103
4524	30000206	79	65					604	132	103
4525	30000201	120	80					198	129	101
4526	30000202	120	80					326	141	110
4527	30000203	120	80					512	165	129
4528	30000204	120	80					740	190	148
4529	30000205	120	80					919	195	152
4530	30000206	120	80					919	195	152
4531	30000301	54	40					72	52	41
4532	30000302	54	45					128	62	49
4533	30000303	54	50					202	73	57
4534	30000304	54	50					288	77	61
4535	30000305	54	50					380	79	62
4536	30000306	54	50					380	79	62
4537	30000301	79	55					133	81	64
4538	30000302	79	60					237	101	80
4539	30000303	79	65					349	117	91
4540	30000304	79	65					483	128	100
4541	30000305	79	65					604	132	103
4542	30000306	79	65					604	132	103
4543	30000301	120	80					198	129	101
4544	30000302	120	80					326	141	110
4545	30000303	120	80					512	165	129
4546	30000304	120	80					740	190	148
4547	30000305	120	80					919	195	152
4548	30000306	120	80					919	195	152
4549	30000401	54	40					72	52	41
4550	30000402	54	45					128	62	49
4551	30000403	54	50					202	73	57
4552	30000404	54	50					288	77	61
4553	30000405	54	50					380	79	62
4554	30000406	54	50					380	79	62
4555	30000401	79	55					133	81	64
4556	30000402	79	60					237	101	80
4557	30000403	79	65					349	117	91
4558	30000404	79	65					483	128	100
4559	30000405	79	65					604	132	103
4560	30000406	79	65					604	132	103
4561	30000401	120	80					198	129	101
4562	30000402	120	80					326	141	110
4563	30000403	120	80					512	165	129
4564	30000404	120	80					740	190	148
4565	30000405	120	80					919	195	152
4566	30000406	120	80					919	195	152
4567	30000501	54	40					72	52	41
4568	30000502	54	45					128	62	49
4569	30000503	54	50					202	73	57
4570	30000504	54	50					288	77	61
4571	30000505	54	50					380	79	62
4572	30000506	54	50					380	79	62
4573	30000501	79	55					133	81	64
4574	30000502	79	60					237	101	80
4575	30000503	79	65					349	117	91
4576	30000504	79	65					483	128	100
4577	30000505	79	65					604	132	103
4578	30000506	79	65					604	132	103
4579	30000501	120	80					198	129	101
4580	30000502	120	80					326	141	110
4581	30000503	120	80					512	165	129
4582	30000504	120	80					740	190	148
4583	30000505	120	80					919	195	152
4584	30000506	120	80					919	195	152
4585	30000601	54	40					72	52	41
4586	30000602	54	45					128	62	49
4587	30000603	54	50					202	73	57
4588	30000604	54	50					288	77	61
4589	30000605	54	50					380	79	62
4590	30000606	54	50					380	79	62
4591	30000601	79	55					133	81	64
4592	30000602	79	60					237	101	80
4593	30000603	79	65					349	117	91
4594	30000604	79	65					483	128	100
4595	30000605	79	65					604	132	103
4596	30000606	79	65					604	132	103
4597	30000601	120	80					198	129	101
4598	30000602	120	80					326	141	110
4599	30000603	120	80					512	165	129
4600	30000604	120	80					740	190	148
4601	30000605	120	80					919	195	152
4602	30000606	120	80					919	195	152
4603	30000701	54	40					72	52	41
4604	30000702	54	45					128	62	49
4605	30000703	54	50					202	73	57
4606	30000704	54	50					288	77	61
4607	30000705	54	50					380	79	62
4608	30000706	54	50					380	79	62
4609	30000701	79	55					133	81	64
4610	30000702	79	60					237	101	80
4611	30000703	79	65					349	117	91
4612	30000704	79	65					483	128	100
4613	30000705	79	65					604	132	103
4614	30000706	79	65					604	132	103
4615	30000701	120	80					198	129	101
4616	30000702	120	80					326	141	110
4617	30000703	120	80					512	165	129
4618	30000704	120	80					740	190	148
4619	30000705	120	80					919	195	152
4620	30000706	120	80					919	195	152
4621	30000801	54	40					72	52	41
4622	30000802	54	45					128	62	49
4623	30000803	54	50					202	73	57
4624	30000804	54	50					288	77	61
4625	30000805	54	50					380	79	62
4626	30000806	54	50					380	79	62
4627	30000801	79	55					133	81	64
4628	30000802	79	60					237	101	80
4629	30000803	79	65					349	117	91
4630	30000804	79	65					483	128	100
4631	30000805	79	65					604	132	103
4632	30000806	79	65					604	132	103
4633	30000801	120	80					198	129	101
4634	30000802	120	80					326	141	110
4635	30000803	120	80					512	165	129
4636	30000804	120	80					740	190	148
4637	30000805	120	80					919	195	152
4638	30000806	120	80					919	195	152
4639	30000901	54	40					72	52	41
4640	30000902	54	45					128	62	49
4641	30000903	54	50					202	73	57
4642	30000904	54	50					288	77	61
4643	30000905	54	50					380	79	62
4644	30000906	79	55					133	81	64
4645	30000907	79	60					237	101	80
4646	30000908	79	65					349	117	91
4647	30000909	79	65					483	128	100
4648	30000910	79	65					604	132	103
4649	30000911	120	80					198	129	101
4650	30000912	120	80					326	141	110
4651	30000913	120	80					512	165	129
4652	30000914	120	80					740	190	148
4653	30000915	120	80					919	195	152
4654	30000916	120	80					919	195	152
4655	30000917	120	80					919	195	152
4656	30000918	120	80					919	195	152
4657	30001001	54	40					72	52	41
4658	30001002	54	45					128	62	49
4659	30001003	54	50					202	73	57
4660	30001004	54	50					288	77	61
4661	30001005	54	50					380	79	62
4662	30001006	54	50					380	79	62
4663	30001001	79	55					133	81	64
4664	30001002	79	60					237	101	80
4665	30001003	79	65					349	117	91
4666	30001004	79	65					483	128	100
4667	30001005	79	65					604	132	103
4668	30001006	79	65					604	132	103
4669	30001001	120	80					198	129	101
4670	30001002	120	80					326	141	110
4671	30001003	120	80					512	165	129
4672	30001004	120	80					740	190	148
4673	30001005	120	80					919	195	152
4674	30001006	120	80					919	195	152
4675	30060101	28	28					6	21	14
4676	30060102	28	28					7	25	16
4677	30060103	28	28					8	29	19
4678	30060201	28	28					6	21	14
4679	30060202	28	28					7	25	16
4680	30060203	28	28					8	29	19
4681	30060301	28	28					6	21	14
4682	30060302	28	28					7	25	16
4683	30060303	28	28					8	29	19
4684	30060401	28	28					6	21	14
4685	30060402	28	28					7	25	16
4686	30060403	28	28					8	29	19
4687	30060501	28	28					6	21	14
4688	30060502	28	28					7	25	16
4689	30060503	28	28					8	29	19
4690	30060601	28	28					6	21	14
4691	30060602	28	28					7	25	16
4692	30060603	28	28					8	29	19
4693	30060701	28	28					6	21	14
4694	30060702	28	28					7	25	16
4695	30060703	28	28					8	29	19
4696	30060801	28	28					6	21	14
4697	30060802	28	28					7	25	16
4698	30060803	28	28					8	29	19
4699	30060901	28	28					6	21	14
4700	30060902	28	28					7	25	16
4701	30060903	28	28					8	29	19
4702	30061001	28	28					6	21	14
4703	30061002	28	28					7	25	16
4704	30061003	28	28					8	29	19
4705	30061101	28	28					6	21	14
4706	30061102	28	28					7	25	16
4707	30061103	28	28					8	29	19
4708	30061201	28	28					6	21	14
4709	30061202	28	28					7	25	16
4710	30061203	28	28					8	29	19
4711	30061301	28	28					6	21	14
4712	30061302	28	28					7	25	16
4713	30061303	28	28					8	29	19
4714	30060101	30	30					9	36	23
