Id	BossLoseHp[1]	BossLoseHpScore[1]	BossTotalHp[1]	LeftTime[1]	LeftTimeScore[1]	CharLeftHp[1]	CharLeftHpSocre[1]	BossLoseHp[2]	BossLoseHpScore[2]	BossTotalHp[2]	LeftTime[2]	LeftTimeScore[2]	CharLeftHp[2]	CharLeftHpSocre[2]	BossLoseHp[3]	BossLoseHpScore[3]	BossTotalHp[3]	LeftTime[3]	LeftTimeScore[3]	CharLeftHp[3]	CharLeftHpSocre[3]
30000805	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240
30000806	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15
30000907	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30
30000908	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60
30000909	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120
30000910	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240
30000911	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15
30000912	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30
30000913	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60
30000914	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120
30000915	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240
30000916	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240
30000917	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240
30000918	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240
30001001	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15
30001002	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30
30001003	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60
30001004	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120
30001005	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240
30001006	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240
30001201	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15
30001202	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30
30001203	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60
30001204	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120
30001205	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240
30001206	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240
