Id	PoolId	Weight	Type	Params[1]	Params[2]	Params[3]	Description	Name	Icon
134	20014	100	201	50			<color=#34AFF9><size=20>Require maintenance parts</size></color>\n→All team members restore 50% HP.		
135	20014	100	301	-50			\n→Lose 50% of your Aberrant Cubes		
136	20014	100	401	1			<color=#34AFF9><size=20>Require Energy compensation</size></color>\n→Obtain 1 Action Point		
137	20014	100	301	-50			\n→Lose 50% of your Aberrant Cubes		
138	20014	100	101	3			<color=#34AFF9><size=20>Require equipment</size></color>\n→Obtain a high-grade Add-On Unit		
139	20014	100	301	-50			\n→Lose 50% of your Aberrant Cubes		
140	20015	100	502	99			<color=#34AFF9><size=20>Cleanse All</size></color>\n→Remove all negative effects		
141	20015	100	301	-50			\n→Lose 50% of your Aberrant Cubes		
142	20015	100	502	1			<color=#34AFF9><size=20>Quick Cleanse</size></color>\n→Randomly remove 1 negative effect		
143	20015	100	301	-20			\n→Lose 20% of your Aberrant Cubes		
144	20016	100	502	99			<color=#34AFF9><size=20>Cleanse All</size></color>\n→Remove all negative effects		
145	20016	100	201	-50			\n→All team members lose 50% HP		
146	20016	100	502	1			<color=#34AFF9><size=20>Quick Cleanse</size></color>\n→Randomly remove 1 negative effect		
147	20016	100	202	-30			\n→A random team member loses 30% HP		
148	20017	100	101	1			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a low-grade Add-On Unit		
149	20017	100	201	-20			\n→All team members lose 20% HP		
150	20017	100	101	1			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain a low-grade Add-On Unit		
151	20017	100	302	-45			\n→Lose 45 Aberrant Cubes		
152	20017	100	101	1			<color=#34AFF9><size=20>Recklessly open</size></color>\n→Obtain a low-grade Add-On Unit		
153	20017	100	401	-1			\n→Lose 1 Action Point		
154	20018	100	101	2			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a mid-grade Add-On Unit		
155	20018	100	201	-30			\n→All team members lose 30% HP		
156	20018	100	101	2			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain a mid-grade Add-On Unit		
157	20018	100	302	-60			\n→Lose 60 Aberrant Cubes		
158	20018	100	101	2			<color=#34AFF9><size=20>Dismantle circumspectly</size></color>\n→Obtain a mid-grade Add-On Unit		
159	20018	100	401	-1			\n→Lose 1 Action Point		
160	20019	100	101	3			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a high-grade Add-On Unit		
161	20019	100	201	-50			\n→All team members lose 50% HP		
162	20019	100	101	3			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain a high-grade Add-On Unit		
163	20019	100	302	-75			\n→Lose 75 Aberrant Cubes		
164	20019	100	101	3			<color=#34AFF9><size=20>Recklessly open</size></color>\n→Obtain a high-grade Add-On Unit		
165	20019	100	401	-1			\n→Lose 1 Action Point		
166	20020	100	301	20			<color=#34AFF9><size=20>Open</size></color>\n→Gain 20% of your Aberrant Cubes		
167	20020	100	302	45			<color=#34AFF9><size=20>Open</size></color>\n→Obtain 45 Aberrant Cubes		
168	20020	100	303	40	60		<color=#34AFF9><size=20>Open</size></color>\n→Obtain 40-60 Aberrant Cubes		
169	20021	100	301	30			<color=#34AFF9><size=20>Open</size></color>\n→Gain 30% of your Aberrant Cubes		
170	20021	100	302	60			<color=#34AFF9><size=20>Open</size></color>\n→Obtain 60 Aberrant Cubes		
171	20021	100	303	50	75		<color=#34AFF9><size=20>Open</size></color>\n→Obtain 50-70 Aberrant Cubes		
172	20022	100	301	40			<color=#34AFF9><size=20>Open</size></color>\n→Gain 40% of your Aberrant Cubes		
173	20022	100	302	75			<color=#34AFF9><size=20>Open</size></color>\n→Obtain 75 Aberrant Cubes		
174	20022	100	303	60	80		<color=#34AFF9><size=20>Open</size></color>\n→Obtain 60-80 Aberrant Cubes		
