Id	GroupId	Condition	UnLockTime	Order	Title	SendName	Content	NpcHandIcon
111	1			11	Hassen New Year Mail	Hassen	Happy New Year, Commandant. My sincerest thanks to you from Babylonia.\nYour contributions and growth did not go unnoticed. We could not have achieved so much without talented and hardworking individuals like you.\nPlease rest well in this period of time. I'll be looking forward to your performance in the future.\n\nI send to you my deepest regards and thanks through this mail of mine. Every line is written with my truest blessings. Thank you for your effort this year. Let's break the record and keep the torch going next year! I wish for your good health and that everything goes your way.\n\nP.S. This isn't an email template.	Assets/Product/Texture/Image/RoleCharacter/HasangNomal01.png
112	1			12	Celica New Year Mail	Celica	Dear Gray Raven's commandant:\n\nHappy New Year.\nOn the very first day of the New Year, I had to overtime at the bridge after receiving warnings about explosives. But when I got there, the supposedly broken holo-display was magically fixed.\nAnyway, Babylonia suffered no actual losses, but somehow, I still had to overtime at the bridge. You can imagine how happy I was.\nThe others from Babylonia must have already given you their New Year blessings, right? Don't forget to respond to them.\nOh, but don't take President Hassen's mail too seriously. I even told him not to use early Golden Age styled greetings and such... He's just not with the times, that old man.\nWhen you receive this mail though, your holidays should be about over. Even though the New Year holidays are all about rest and recreation, please don't forget that they are to prepare you for the coming hardships.\nSo don't forget the good times you had in the holiday, and get ready to work hard this year!\nAgain, Commandant, Happy New Year. Babylonia and the World Government is grateful for your hard work and contributions.\n\nFrom Celica at the Babylonia Bridge\nAnd all of Babylonia	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png
113	1		2022/3/2 2:00	15	Gift from Lucia	Lucia	 Open it for a standard rectangular chocolate bar. Just by looking at it, you have a feeling that it will taste exceptionally wonderful. A list of broken cooking utensils in the Babylonia public kitchen is attached to the bottom of the package. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png
114	1		2022/3/2 2:00	16	Gift from Liv	Liv	 Open it for some chocolates made in different adorable shapes, such as heart, cotton, cat's claw, etc. Each of them is too cute to eat. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png
115	1		2022/3/2 2:00	17	Gift from Lee	Lee	 Open it for some exquisite, neatly arranged chocolates, all in the same shape. A vague mark   lee   is stamped on the bottom of each chocolate. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png
116	1		2022/3/2 2:00	18	Gift from Kamui	Kamui	Open it for a big chunk of chocolate in a slightly irregular shape. A smiley face that frosted on it makes you feel this chocolate will be unbearably sweet.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png
117	1		2022/3/2 2:00	19	Gift from Nanami	Nanami	Open it and for a round chocolate ball. Everything seems fine except for its smell that is totally different from normal chocolates. What ingredients did Nanami add to it?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png
118	1		2022/3/2 2:00	20	Gift from Watanabe	Watanabe	 Open it for an exquisite handmade chocolate. Its layer seems to have been damaged slightly because of careless transportation, but its taste remains the same. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png
119	1		2022/3/2 2:00	21	Gift from Karenina	Karenina	 Open it and for chocolate balls that look normal but, in fact, contain a large amount of popping candies. It tastes spicy, winey and sour and gives an unforgettable mouthfeel. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png
120	1		2022/3/2 2:00	22	Gift from α	α	 Open it and for handmade chocolates in slightly rough shape. Because fresh cream is hard to find on the ground, it has been replaced by coconut milk to bring out a totally new flavor. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png
121	1		2022/3/2 2:00	23	Gift from Ayla	Ayla	 Open it for an exquisite chocolate with a thick red velvet layer, looking like a work of art. Its mouthfeel is wonderful as well. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png
122	1		2022/3/2 2:00	24	Gift from Bianca	Bianca	Open it for neatly arranged white chocolates placed on a butter paper. They seem very delicious just by the looks of them.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png
96000010	1		2022/3/2 2:00	25	Gift from Chrome	Chrome	 An assortment of fragrant chocolates has been neatly arranged in this gold-foiled gift box. You can feel the heartfelt gratitude of the sender, or... does it stem from something deeper? 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png
96000011	1		2022/3/2 2:00	26	Gift from Sophia	Sophia	 A somewhat crude-looking handmade chocolate. Fills your mouth with the dominating sweetness of date palms and camel milk, invoking even unfound nostalgia for the desert. To recreate such a stunning flavor in Babylonia, Sophia must have put in a lot of work. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png
96000012	1		2022/3/2 2:00	27	Gift from Vera	Vera	Open it for a thorny and surprisingly spicy piece of chocolate. Pungency is a type of pain. How on earth did she manage to spice up chocolate? Must be a trade secret.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
96000013	1		2022/3/2 2:00	28	Gift from Camu	Camu	 Open it for a massive hunk of chocolate. An explosion of different flavors compressed into one solid mass, a single bite will destroy your blood sugar levels and give you a multidimensional taste adventure. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKamu1.png
10000	1			13	Sophia New Year Mail	Sophia	 Commandant, Happy New Year, Gong Xi Fa Cai...!\n\nIs that how they say it? Changyu wasn't messing with me, right?\nAnyway, Jamilah said in her letters that we should greet people important to us in the New Year. Apparently, blessings sent in this period of time are most likely to come true.\nSo, I am hoping that you, Commandant... can be healthy for the coming year.\nJamilah wrote that on her mail to me, so... I know it must be a blessing.\nWhen I asked Jamilah,   "So what happens after the year after?"  \nJamilah replied,   "Then you need only repeat your blessing."  \nSo, the next New Year, I will still be here giving your blessings.\n\nBest,\nSophia 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png
10001	1			14	Chrome New Year Mail	Chrome	 Dear Gray Raven's Commandant,\n\nI have received news that Kamui has spent an entire night at Gray Raven's recreation room yesterday.\nSince Kamui was on his own in the Strike Hawk base yesterday, coupled with the New Year occasion, I had presumed that he would have more fun over at Gray Raven's, which led to this oversight of mine. He must have caused immense trouble, and I would like to apologize for that.\nWe have completed many missions together with Gray Raven, but due to time constraints, I have not been able to converse with you thoroughly. I have a lot I wish to learn from you, be it squad management, or tactical commanding. So do forgive me for asking you this favor; if you were to have the time, I would like to talk with you more.\nFrom my understanding, a New Year is a potpourri of gratitude to the past, as well as expectations for the future. It is an important event, so please allow me to send you my greetings.\nStrike Hawk has been in your care for the past year. Let us look out for each other in the future as well.I will gladly be waiting for your commands, as always.\nHappy New Year.\n\nChrome 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png
