Id	Order	Author	Name	Icon	Pic	LockPic	Type	TagGroupId	TagIds[0]	TagIds[1]	TagIds[2]	StandbyAction	Actions[0]	Actions[1]	NpcId[0]	NpcId[1]	NpcId[2]	NpcId[3]	StageIds[0]	StageIds[1]	StageIds[2]	StageIds[3]
1012	12	Zi Wei	Hydraulic	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010111.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010111.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9910					92150							
1013	13	Zi Wei	Sentry Gun	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd030051.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd030051.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9902	9904					92160							
1014	14	Zi Wei	Shieldbearer	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010071.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010071.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9905					92190							
1015	15	Mirror	Kuroro	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1KuroMd1001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1KuroMd1001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9908						90020				30050101	30050102	30050103	30050104
1016	16	Zi Wei	Deep-sea Ambusher	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd005020.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd005020.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9902						92460							
1017	17	Miao Dao	Heteromer Sentry Gun	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd030052.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd030052.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9902	9904					92480							
1018	18	Miao Dao	Heteromer Aerial Monitor	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010042.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010042.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9904					92490							
1019	19	Miao Dao	Heteromer Hydraulic	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010112.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010112.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9910					92470							
1020	20	Miao Dao	Hetero Deconstruct Unit	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd007020.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd007020.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9905					92600							
1021	21	Miao Dao	Hetero Fire Unit	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd007030.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd007030.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9902	9904					92620							
1022	22	Miao Dao	Hetero Repair Unit	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd007010.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd007010.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9917					92610							
1023	23	Miao Dao	Kemuri I	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1YanfenyixingMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1YanfenyixingMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9902	9905					90670							
1024	24	Hua Qi	Hanged Man III	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1DiaorensanxingMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1DiaorensanxingMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9916	9919				90660							
1025	25	Miao Dao	Blubber VI	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1LishiliuxingMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1LishiliuxingMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9904	9924				90640							
1026	26	Miao Dao	Ballwheel IV	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1WulunsixingMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1WulunsixingMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901	9905					90650							
1027	27		Phecda X	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1LucunMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1LucunMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	9901						90690							
2001	23	Andy Liu	Ronin IV	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1SsjkMd000004.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1SsjkMd000004.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9901	9905	9904				92250							
2002	24	Mirror	Bio-Salamander	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1JgrcMd000002.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1JgrcMd000002.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9902	9904					92260							
2003	25	Mirror	Envoy	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004020.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004020.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9901	9910					92330							
2004	26	Pang Hu	Firefighter	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004040.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004040.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9911	9907					92350							
2005	27	Zi Wei	Deconstructor	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004030.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004030.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9911	9907					92360							
2006	28	Mirror	Explorer	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004050.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004050.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9902	9903					92370							
2007	29	Mirror	Excavator	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004060.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004060.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9901	9903					90220							
2008	30	Yan	Harvester	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1RobotarmorMd030001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1RobotarmorMd030001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9901	9910					92390							
2009	31	Zi Wei	Bio-Bull	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1CattleMd000002.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1CattleMd000002.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9901	9905					92400							
2010	32	Zi Wei	Acid Ant	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1SuanyegongyiMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1SuanyegongyiMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9902	9904					92410							
2011	33	Mirror	Terrapod	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1CamouflageMd001002.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1CamouflageMd001002.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9902	9904					97620							
2012	34	Mirror	Royal guard	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004010.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004010.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9902	9904					92340							
2013	35	Pei Te	Construct	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1GouzaotiMd10001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1GouzaotiMd10001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9911	9903					92380							
2014	36	Yan	Musashi VI	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1RocketMd002002.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1RocketMd002002.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9911	9904					92420							
2015	37	Zi Wei & Yan	Polar Soldier	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd005010.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd005010.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9911	9910	9905				92450							
2016	38	Miao Dao	Hetero Explore Unit	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd007040.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd007040.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9901	9905					92630							
2017	39		Heteromer Terminal	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1YijuzhongduanMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1YijuzhongduanMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9907	9912					90500							
2018	40	Miao Dao	Kowloong Crew - Yazi	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1JiulongzhongyaziMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1JiulongzhongyaziMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9901	9905	9923				90680							
2019	41		Prime X	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1ZhizunMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1ZhizunMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	2	1	9926	9927	9928				90700							
3001	40		Assault Fort	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1TankarmorMd030001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1TankarmorMd030001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907					81100	81110						
3002	41		Roseblade	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1SwordMd030001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1SwordMd030001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907					81300							
3003	42		Sister	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1LadyMd10001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1LadyMd10001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907					81400							
3004	43		Martyr	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1LadyMd10002.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1LadyMd10002.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9909						81410							
3006	45		Musashi IX	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1SwordMd002001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1SwordMd002001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907					81200							
3007	46		Nozzle	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1OrphanMd030001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1OrphanMd030001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907					81500							
3008	47		Iron Maiden	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1VirginbioMd030001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1VirginbioMd030001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907	9912				81700							
3009	48		Vassago	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1SandwormMd030001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1SandwormMd030001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907	9921				81800							
3010	49		Unknown Construct α	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1LuxiyaMd000003.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1LuxiyaMd000003.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907	9915				81900							
3011	50	Yan	Riot	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1BraveMd010011.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1BraveMd010011.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907	9914				82150							
3012	51	Yan	Osiris	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1OsirisMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1OsirisMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907	9913				87010							
3013	52		Roland	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1LuolanMd010001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1LuolanMd010001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907	9915				81600							
3014	53		Rosetta	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1LuosaitaMd010001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1LuosaitaMd010001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907	9912				83200	83220						
3015	54		Camu	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1XiuMd010001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1XiuMd010001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9907	9915	9923				83100							
3016	55	Yan	Hetero-Core	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1CubeMd010001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1CubeMd010001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907	9912				87410	87360						
3017	56	Hua Qi	Rail Heterozygote	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1TrackalienMd010001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1TrackalienMd010001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9911	9907	9920				83400							
3018	57		Qu	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1MelodyMd010001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1MelodyMd010001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9901	9905	9922				83500							
3019	58		Huaxu	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1MelodyhuaxuMd10001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1MelodyhuaxuMd10001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9902	9907	9925				83520							
3020	59		Gabriel	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1JiabailieMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1JiabailieMd000001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	3	1	9929	9930	9907				83600							
