Id	ChapterId	Order	Name	SubName	Icon	DescTitle	Desc	Condition	UnLockTime	StoryId[0]	StoryId[1]
100306	1003	6	Traps	3_6 			What secrets is the Estate hiding? And what exactly is the inheritance?	84100306		1100322	
100307	1003	7	Final Warning	3_7 			That must be the Ascendant.	84100307		1100323	
100308	1003	8	Take Caution	3_8 			A new variant, along with many Corrupted reinforcements, suddenly appeared in the Estate. Pass through this courtyard ASAP.	84100308		1100324	
100309	1003	9	Special Mission	3_9 			Only Lucia can soundlessly destroy enemies.	84100309		1100331	
100310	1003	10	Twisted Modification	3_10 			We'd better be mentally prepared for... whatever's coming.	84100310		1100332	
100311	1003	11	Each Loyal to Their Own	3_11 			I thought you were... a good guy.	84100311		1100333	
100312	1003	12	A New Seed	3_12 			Is that what you think... Did you not notice that my target was you from the start?	84100312		1100334	3100334
100401	1004	13	Night Escape	4_1 			After Kamui regains consciousness, the remaining task for Gray Raven is how to escape from here.	84100401		1100411	3100411
100402	1004	14	Deduction	4_2 			The calculation result is... there are no routes...	84100402		1100412	3100412
100403	1004	15	Beneficiary	4_3 			Take cover! Baby's gonna blow!	84100403		1100413	3100413
100404	1004	16	Breaking Through	4_4 			The heavy agriculture machine falls to the ground with a thud, its speaker keeps repeating something, as if calling out for someone.	84100404		1100414	3100414
100405	1004	17	Lurking Sand	4_5 			There's Punishing Virus reaction beneath the sand!	84100405		1100421	3100421
100406	1004	18	Panic Dive	4_6 			Vassago, a kind of aggressive bionic Sand Worm.	84100406		1100422	3100422
100407	1004	19	Forsaken	4_7 			Identity... deserter?	84100407		1100423	3100423
100408	1004	20	Negotiation	4_8 			Next time we meet, we'll be enemies.	84100408		1100424	3100424
100409	1004	21	Left Behind	4_9 			When Gray Raven almost escaped, Liv was captured by the Forsaken.	84100409		1100431	3100431
100410	1004	22	Kidnapping	4_10 			You kidnapped me. For this, you face the risk of warfare with Babylonia.	84100410		1100432	
100411	1004	23	Noises	4_11 			In order to take Liv back, Gray Raven decided to split up.	84100411		1100433	
100412	1004	24	Bloody Truth	4_12 			That gift—the box of wild mint.	84100412		1100434	3100434
100501	1005	25	Traces	5_1 			Without Liv, Gray Raven can only stay in place and wait for Kamui's results.	84100501		1100511	
100502	1005	26	Blind Fight	5_2 			This doesn't look like a biosphere... It's more like the... M.I.N.D.	84100502		1100512	3100512
100503	1005	27	Dispelling Illusions	5_3 			As the Gray Raven has figured out how the EM projectors function, it is time to find and disable them.	84100503		1100513	
100504	1005	28	A Smart Path	5_4 			This is a souvenir Murray gave me, a mini graviton detector.	84100504		1100514	
100505	1005	29	True Form	5_5 			As turning the devices off by hand is too inefficient, Lucia has proposed adopting Strike Hawk's method.	84100505		1100521	3100521
100506	1005	30	Suppressed Illusions	5_6 			With my help, projector breaking's gonna be twice as fast!	84100506		1100522	3100522
100507	1005	31	Humanoid	5_7 			The Corrupted are doing an organized retreat suddenly. Gray Raven has realized that they might be controlled by someone else.	84100507		1100523	3100523
100508	1005	32	Supervisor	5_8 			Who do these imprisoned consciousnesses in the M.I.N.D. Test Area belong to?	84100508		1100524	3100524
100509	1005	33	The Light of Seven	5_9 			It's a friendly signal. Did support come?	84100509		1100531	3100531
100510	1005	34	Lost Sword	5_10 			Gray Raven found the Forsakens and Liv deep inside the M.I.N.D. Test Area.	84100510		1100532	3100532
100511	1005	35	Turning the Table	5_11 			Watanabe, I need an explanation...!	84100511		1100533	
100512	1005	36	Liv's Return	5_12 			Connect to Liv's M.I.N.D., Commandant. Only you can save her now.	84100512		1100534	3100534
100601	1006	37	Tracking the Ascendant	6_1 			After resting in a Forsaken camp for a night, Gray Raven has received a new mission from Babylonia.	84100601		1100611	
100602	1006	38	Deep Under	6_2 			Gray Raven has to go toward City 019 around 30km away.	84100602		1100612	3100612
100603	1006	39	Mystery	6_3 			These are the marks of resistance from the people.	84100603		1100613	3100613
100604	1006	40	Powerful Reinforcement	6_4 			Nanami suddenly appeared to join the battle of Gray Raven and the new type of Corrupted.	84100604		1100614	3100614
100605	1006	41	Mind Noises	6_5 			The further Gray Raven goes, the higher the concentration of Punishing Virus. At this time, Liv found something abnormal on one of the members.	84100605		1100621	
100606	1006	42	Parting Ways	6_6 			Kamui suddenly left without a single explanation.	84100606		1100622	
100607	1006	43	Greater Threats	6_7 			Please decide quickly. Some of the Corrupted on the production line have awakened.	84100607		1100623	
100608	1006	44	Detonation	6_8 			...Nanami, I order you to help Watanabe!	84100608		1100624	3100624
100609	1006	45	Cleansing	6_9 			De... tecting... thermal... reaction... purify...	84100609		1100631	
100610	1006	46	Retreat	6_10 			Lead everyone out after the detonation.	84100610		1100632	
100611	1006	47	Cerberus	6_11 			Kamui, when were you first corrupted?	84100611		1100633	3100633
100612	1006	48	Purifying Force	6_12 			Right before the Purifying Force executed the mission, Strike Hawk had connected in.	84100612		1100634	3100634
100701	1007	49	Left Behind	7_1 			The leader of Strike Hawk had made up his mind to save Kamui. In order to break the deadlock, Bianca was willing to make temporary concessions and help to find Kamui in the ruins.	84100701		1100711	3100711
100702	1007	50	Buried Alive	7_2 			Gray Raven encountered a group of aggressive Corrupted under the ground.	84100702		1100712	3100712
100703	1007	51	Restructure	7_3 			Gray Raven has returned to the entrance because of the Corrupted's interference. They have to map the best route ahead.	84100703		1100713	3100713
100704	1007	52	Unexpected Alliance	7_4 			He's Rohacchi, Nanami's pal!	84100704		1100714	3100714
100705	1007	53	Split	7_5 			Without a trace of Kamui, Karenina quietly left the team.	84100705		1100721	3100721
100706	1007	54	Tracking	7_6 			She's going after Kamui on her own.	84100706		1100722	
100707	1007	55	Encounter	7_7 			Traces of battle between Karenina and Kamui can be found on the way following the tracks of Karenina.	84100707		1100723	
100708	1007	56	Abnormal Energy	7_8 			When Gray Raven found Karenina, she had already lost consciousness. Liv found abnormal energy inside her... same as the one inside Kamui.	84100708		1100724	3100724
100709	1007	57	Boiling Consciousness	7_9 			A form of energy is trying to invade Karen's M.I.N.D.	84100709		1100731	3100731
100710	1007	58	Besieged	7_10 			The enemies were coming at Gray Raven once Karenina's condition was stabilized. Seeing that they moved in coordination, there must be someone behind them.	84100710		1100732	
100711	1007	59	Two Frontlines	7_11 			We meet again, Babylonians.	84100711		1100733	3100733
100712	1007	60	End of the Path	7_12 			Defeat the Ascendant first!	84100712		1100734	3100734
100801	1008	61	Dawn	8_1 			With the authority of the Babylonian Council, I order the Gray Raven squad to withdraw immediately!	84100801		1100811	3100811
100802	1008	62	Potential Unlocked	8_2 			With the "help" of the president, Gray Raven have obtained supplies and continued on their way.	84100802		1100812	
100803	1008	63	Obstacle	8_3 			The situation has been getting worse. Gray Raven decided to sneak in with a special method.	84100803		1100813	3100813
100804	1008	64	Clone	8_4 			Deep inside the ruins, Gray Raven encountered Nozzle, the robot that should have already been retrieved.	84100804		1100814	3100814
100805	1008	65	Weeping Rose	8_5 			After Nozzle is the robot butler of the same model as the butler back in the Estate. It seems that "someone" does not want Gray Raven to find Kamui.	84100805		1100821	3100821
100806	1008	66	Path of Torture	8_6 			It proved that those Corrupted were made by Roland through some unknown means. Suddenly, Lee left the team just like Kamui had done.	84100806		1100822	3100822
100807	1008	67	Remnants	8_7 			Lee's not responding to my connection, something's wrong.	84100807		1100823	3100823
100808	1008	68	Trial of Torture	8_8 			You'll pay for this.	84100808		1100824	3100824
100809	1008	69	Justice	8_9 			How'd you guarantee that it ain't a monster coming out of that tin can?	84100809		1100831	
100810	1008	70	Resistance	8_10 			I'll never be strayed by anything, I'll only follow my own will. I have not lost yet!	84100810		1100832	3100832
100811	1008	71	Devoured	8_11 			I did it with my will and fought so from the beginning till now!	84100811		1100833	3100833
100812	1008	72	Light and Shadow	8_12 			Because, you are me, and I am you. We're both Kamui.	84100812		1100834	3100834
100901	1009	73	Flying Sand	9_1 			This war will likely determine the future direction of the world.	84100901		1100911	
100902	1009	74	Second Contact	9_2 			A friendly reminder from Korolev: Dear children, please treat public facilities with love and care—	84100902		1100912	3100912
100903	1009	75	Star Rift	9_3 			The contents of the signal... were lines from a play... Shakespeare's "The Tempest".	84100903		1100913	3100913
100904	1009	76	Reunion	9_4 			At least for now, we're using each other.	84100904		1100914	3100914
100905	1009	77	Self Immune	9_5 			Cells infected by bacteria or viruses will be... destroyed and discarded...	84100905		1100921	
100906	1009	78	Digit Blade	9_6 			If there is any danger, Commandant, please wake us immediately.	84100906		1100916	
100907	1009	79	Strict Education	9_7 			This high-density body plans to give Gray Raven a lesson.	84100907		1100917	
100908	1009	80	Gravitational Edge	9_8 			The Prism is now ready.	84100908		1100918	
100909	1009	81	Instant Communication	9_9 			Selena said something related to the... design of these rings.	84100909		1100931	
100910	1009	82	Hetero-Core	9_10 			Coated man. Floating Cube.	84100910		1100932	
100911	1009	83	Set	9_11 			The cross ahead is named the Punishing Heteromer.	84100911		1100933	
100912	1009	84	Shatter	9_12 			We had a discussion and decided that I would be the best candidate to fire the Prism.	84100912		1100934	
100913	1009	85	Chase	9_13 			Watanabe turns and runs toward the gravity room's exit.	84100913		1100941	3100941
101001	1010	86	Pray	10_1 			The folks prayed to a certain being that they would find peace at the end of their journeys.	84101001		1101011	
101002	1010	87	To Akdilek	10_2 			Akdilek Commercial Alliance... Wait, this diagram, is a train?	84101002		1101012	
101003	1010	88	Constructs on Earth	10_3 			Are you surprised? Construct Tech is not something only Babylonia has.	84101003		1101013	3101013
101004	1010	89	A Trade with Akdilek	10_4 			After all, that is our most valuable merchandise.	84101004		1101014	3101014
101005	1010	90	Choice	10_5 			We can't afford to wait any longer.	84101005		1101021	
101006	1010	91	Omen	10_6 			Golden Apple System, activate!	84101006		1101022	
101007	1010	92	Someone and Bianca	10_7 			Aww, you're not using the motorcycle I especially prepared for you? And it's a really cool design too...	84101007		1101023	
101008	1010	93	Powerless	10_8 			I don't plan to abandon any one of you... It is not my intention for anyone to get hurt.	84101008		1101024	
101009	1010	94	Hitchhike	10_9 			There's no use in finding the culprit now... Let's find the way to the carriage.	84101009		1101031	
101010	1010	95	Gunners	10_10 			As expected, Sophia has figured out the "satisfying" answer in her heart.	84101010		1101032	
101011	1010	96	Resolve	10_11 			I can be a good merchant too!	84101011		1101033	3101033
101012	1010	97	From Now On	10_12 			The Eternal Engine got back on track after destroying the "goods".	84101012		1101034	
101013	1010	98	Eternity				Fate never favors anyone... There is no eternity, Aston.	84101012		1180511	
101014	1010	99	Delivery				I have confirmed the status of the "goods". Are you ready for delivery?	84101012		1180512	
101015	1010	100	Port				The Nighter. The oriental ship that only pulls in at night.	84101012		1180513	3180513
101101	1011	98	Night Voyage	11_1 			Looks like you're in big trouble, Gray Raven.	84101101		ZX01101BA	
101102	1011	99	Escape Room	11_2 			The familiar ceiling doesn't come to sight when opening eyes. It is a locked secret chamber and there is an unusual sign of connection.	84101102		ZX01102BA	ZX01102EA
101103	1011	100	Port	11_3 			The only related text was about "Opera", an art form that existed in the pre-pandemic human world.	84101103		ZX01103BA	
101104	1011	101	Night Market	11_4 			Canned pupa! Three grubs a can!	84101104		ZX01104BA	
101105	1011	102	Closure	11_5 			Who kidnapped the commandant? The answer might be hidden on the ship that left the port.	84101105		ZX01105BA	
101106	1011	103	Cargo	11_6 			No, that thing's called "Huaxu".	84101106		ZX01106BA	ZX01106EA
101107	1011	104	Control	11_7 			Lucia, you look great in this outfit!	84101107		ZX01107BA	ZX01107EA
101108	1011	105	Entry	11_8 			The audience feasts their eyes on this pair of embodiments of oriental beauty.	84101108		ZX01108BA	ZX01108EA
101109	1011	106	The Fool	11_9 			And how can you be so sure? Machines are merely lifeless creations of mankind, devoid of emotions and thoughts.	84101109		ZX01109BA	ZX01109EA
101110	1011	107	Who Dreams	11_10 			With Lucia as the vessel, Huaxu will become the perfect existence.	84101110		ZX01110BA	
101111	1011	108	Freedom	11_11 			I don't understand love. I am the one who deprived you of your freedom, who always controlled you...	84101111			ZX01110EA
101112	1011	109	Kowloong	11_12 			The ship drifts. Everyone trains their sights upon the sea's surface, an azure painting glittering under the morning sun.	84101112		ZX01111BA	
101113	1011	110	Unknown Future				The team is preparing for the experiment of a new frame in Babylonia while discussing the future directions.	84101112		YR01201BA	
101114	1011	111	Thorough Preparation				Apart from the new frame, Asimov is also preparing another secret weapon for Nikola.	84101112		YR01202BA	
101115	1011	112	Catcher in the Rye				The Ascendants gather together and prepare to head toward the battle that will decide their fate.	84101112		YR01203BA	
101201	1012	110	Mist	12_1 			After a seemingly endless wait, the Nighter was finally coming ashore.	84101201		ZX01201BA	
101202	1012	111	Rejection	12_2 			The crew weren't welcomed, but rejected instead.	84101202		ZX01202BA	
101203	1012	112	Gathering	12_3 			The real Huaxu must not fall into the hands of Ascendants. Babylonia forces started gathering.	84101203		ZX01203BA	
101204	1012	113	Break the Ice	12_4 			In the arctic land, the fisher was urging the sailor to hurry. Forest Guards were chasing after the Corrupted.	84101204		ZX01204BA	
101205	1012	114	Chaos	12_5 			Everybody had their own plan. Except Babylonia.	84101205		ZX01205BA	
101206	1012	115	Hawk & Hound	12_6 			The joint operation between Cerberus and Strike Hawk didn't seem to be going well.	84101206		ZX01206BA	
101207	1012	116	War Decision	12_7 			The actions taken by different parties only further accelerated the war.	84101207		ZX01207BA	
101208	1012	117	Frankenstein	12_8 			It was complete mayhem in Kowloong City. They seemed to have underestimated the Ascendants.	84101208		ZX01208BA	
101209	1012	118	Smile	12_9 			War was imminent. Gray Raven made a promise.	84101209		ZX01209BA	
101210	1012	119	Support Force	12_10 			Never underestimate the Support Force! —Bridget	84101210		ZX01210BA	
101211	1012	120	Sister	12_11 			The two Lucias met again in Kowloong City.	84101211		ZX01211BA	ZX01211EA
101212	1012	121	Accumulation	12_12 			Seriously wounded, Lucia was removed from the frontline for recovery, while Gray Raven received an unexpected reinforcement.	84101212		ZX01212BA	
101213	1012	122	Ticket	12_13 			Two leaders were having a conversation in a station.	84101213		ZX01213BA	
101214	1012	123	Lamia's Poison	12_14 			As an Ascendant, Lamia specialized in manipulating her enemies.	84101214		ZX01214BA	
101215	1012	124	Corporation	12_15 			Qu decided to take one step further for the Corporation.	84101215		ZX01215BA	
101216	1012	125	Hawk Hunt	12_16 			In order to rescue fellow comrades, Strike Hawk was forced to confront Lamia.	84101216		ZX01216BA	
101217	1012	126	Mermaid of Hatred	12_17 			Strike Hawk's effort wasn't wasted. Kowloong guards decided to join forces against Lamia.	84101217		ZX01217BA	
101218	1012	127	Shield	12_18 			Lucia was already on her way, so Strike Hawk decided to first create a path.	84101218		ZX01218BA	ZX01218EA
101219	1012	128	Crisis	12_19 			A golden powder was seen on the battlefield between Cerberus and Roland.	84101219		ZX01219BA	
101220	1012	129	Onboard Entertainment	12_20 			The train was getting close to Kowloong—	84101220		ZX01220BA	
101221	1012	130	Promise	12_21 			Far away from the battle, Lucia woke up—	84101221		ZX01221BA	
101222	1012	131	Inside the Light Wall	12_22 			Gray Raven managed to get through the light wall, only to be greeted by Kowloong's defense force.	84101222		ZX01222BA	
101223	1012	132	At the Door	12_23 			There were also different opinions within the light wall. What would happen...?	84101223		ZX01223BA	
101224	1012	133	The Warden	12_24 			Gray Raven met Qu in the tower and discovered Kowloong's real intention.	84101224		ZX01224BA	
101225	1012	134	Plume	12_25 			On the Observatory Plume shone bright.	84101225		ZX01225BA	ZX01225EB
101226	1012	135	Hope	12_26 			It was over... For now.	84101226		ZX01226BB	
200101	2001	98	Patched Memories	1_1 			Start by... collecting Nozzle's memory chips, right?	84200101		1110111	
200102	2001	99	Hello World	1_2 			This world... what happened to it...	84200102		1110112	
200106	2001	100	Initial Inspiration	1_6 			This way... he will... understand me...	84200106		1110122	
200201	2002	101	Into the M.I.N.D.	2_1 			Liv connects herself to the tattered remains of Tifa—	84200201		1110211	
200202	2002	102	Dark Struggle	2_2 			I... my body...	84200202		1110212	
200203	2002	103	New Masterpiece	2_3 			Tifa gazed at the mechanic head with an enchanted expression... "Hah, what a piece of work"...	84200203			3110213
200206	2002	104	Collapsed Bridge	2_6 			Tifa ignores Kamui, and leaves before the bridge collapsed entirely.	84200206		1110222	3110222
200301	2003	105	Arrival	3_1 			Hm. Finally. My stop.	84200301		1110311	
200302	2003	106	Vintage Taste	3_2 			Then I'll help myself.	84200302		1110312	
200303	2003	107	Enjoyment	3_3 			You seem to be enjoying yourself a little too much.	84200303		1110313	
200304	2003	108	Smiling Devil	3_4 			Ascendant trails extended all the way here!	84200304		1110314	
200306	2003	109	Taming	3_6 			You might still be useful.	84200306		1110322	
200401	2004	110	Zack Activated	4_1 			Try to restore Zack's iconic memories, if possible...	84200401		1110411	
200402	2004	111	Ruthlessness	4_2 			Zack, do you think the rabbit's right? Or the donkey's right?	84200402		1110412	
200403	2004	112	Her	4_3 			Wait... Miss Emma's signal appeared in the courtyard...	84200403		1110413	
200404	2004	113	Protection	4_4 			The enemy... is strong... Stronger than... Zack...	84200404		1110414	
200405	2004	114	Emma	4_5 			Aren't they coming with us?	84200405		1110415	
200406	2004	115	Farewell	4_6 			The last plane leaves the inner garden.	84200406		1110416	
200501	2005	116	Destination	5_1 			This is a M.I.N.D. testing site from the old world. We'll have to reach the core area of this building.	84200501		1110511	
200502	2005	117	Tracing	5_2 			Watanabe confessed to Liv that the Forsaken needed her power for one thing.	84200502		1110512	
200503	2005	118	Split Road	5_3 			Just a little more and...	84200503		1110513	
200504	2005	119	Brawling	5_4 			Liv, hold on! We'll... find a way to...	84200504		1110514	
200505	2005	120	Lost	5_5 			Only if she could find her way back to her M.I.N.D.	84200505		1110521	
200506	2005	121	Swallowed	5_6 			The pseudo-consciousness of Liv reforms itself, and attempts to close off the M.I.N.D. entrance...!	84200506		1110522	3110522
200601	2006	122	Sister	6_1 			Because machines would never waver in their faith, they proved more reliable than any normal human believer.	84200601		1110611	
200602	2006	123	Child	6_2 			But have you ever seen this many plump and well-fed kids queuing up?	84200602		1110612	
200603	2006	124	Dismemberment	6_3 			Tch, stingy old hag...	84200603		1110613	
200604	2006	125	Blade	6_4 			A pair of bladed wings spread out of her back. She leaps and dives into the Corrupted-filled abyss down below.	84200604		1110614	
200605	2006	126	Against the Current	6_5 			Well, I'm not going back anyway. Might as well play a little with this power.	84200605		1110615	
200606	2006	127	Ending	6_6 			Serving God and humans as a machine for my entire life, was there even any meaning to this?	84200606			3110616
200701	2007	128	Recurrence	7_1 			This is Rohacchi's memory data I copied from the ruins. Now rendering it into visual data for replay.	84200701		1110711	
200702	2007	129	Defense	7_2 			The visual data shows that Rohacchi clashed with the Ascendant.	84200702		1110712	3110712
200703	2007	130	Kindred	7_3 			When Rohacchi was escaping, it has sensed its "companions".	84200703		1110713	3110713
200704	2007	131	Friends	7_4 			Friends! From now on Rohacchi and Nanami will be good friends!	84200704			3110714
200705	2007	132	Treasure Hunt	7_5 			Looks like Rohacchi's awakening has something to do with that mysterious mural.	84200705		1110721	
200706	2007	133	Fantasy	7_6 			In the end, we couldn't find any relevant information about the murals...	84200706			3110722
200801	2008	134	Report	8_1 			Chrome, too... He knows full well I'm not familiar with these things.	84200801		1110811	
200802	2008	135	Retrospective Memory	8_2 			I went deeper into the ruins.	84200802		1110812	
200803	2008	136	Dark Pursuit	8_3 			Camu said that those Corrupted were originally after me.	84200803		1110813	
200804	2008	137	Relentless	8_4 			Can you believe this? Beneath the ruins so deep underground, is another big and spacious... space!	84200804		1110814	
200805	2008	138	Doppelg?nger	8_5 			Almost there.	84200805		1110821	
200806	2008	139	Unity	8_6 			Goodnight, the other me.	84200806		1110822	3110822
200901	2009	140	Reply Signal	9_1 			Ayla inhaled a deep breath and started to focus, trying to sense any possible signal from Selena.	84200901		1110911	
200902	2009	141	Assist	9_2 			There is where Selena failed.	84200902		1110912	
200903	2009	142	Lose Again	9_3 			The carcass suddenly jerks, as if she had felt Ayla.	84200903		1110913	3110913
201001	2010	143	Threat	10_1 			Heads up, the Corrupted are invading!	84201001		1111011	
201002	2010	144	Spider	10_2 			Hetero activity detected... It's similar to the egg hatching process of an arthropod.	84201002		1111012	
201003	2010	145	Obstacles	10_3 			Enemies have been swarming towards Changyu on the train roof. Sophia decided to split up from Gray Raven in the nick of time.	84201003		1111013	
201004	2010	146	Return	10_4 			While you, on the other hand, rest.	84201004		1111014	
201005	2010	147	Deviate	10_5 			Changyu's situation is a bit dire and requires emergency maintenance.	84201005		1111021	
201006	2010	148	Decision	10_6 			The parts of the external mechanic arms can be replaced with the mechanical equipment lying around.	84201006		1111022	3111022
201101	2011	149	Entry	11_1 			"Don't worry, I'm Executive Officer Nikola's agent."	84201101		YC01101BA	YC01101EA
201102	2011	150	Disguise	11_2 			Don't move. First, let's fit your head through this hole in the dress...	84201102		YC01102BA	YC01102EA
201103	2011	151	Mesmerized	11_3 			They're all trapped in this place, yet they're excited as ever for this event. Are they controlled too deep—or are they poisoned by this dream?	84201103		YC01103BA	
201104	2011	152	Confusion	11_4 			Two similar yet vastly different souls sit together, back to back, seeing entirely different worlds.	84201104			YC01104EA
201105	2011	153	Diminishing	11_5 			The dream wasn't good enough. That's all.	84201105		YC01105BA	YC01105EA
201201	2012	154	Trojan Horse	12_1 			The Forest Guards followed the Corrupted to Kowloong City.	84201201		YC01201BA	
201202	2012	155	Trapped Hound	12_2 			Who was the real prey? Cerberus, or Roland?	84201202		YC01202BA	
201203	2012	156	Gold & Centaur	12_3 			"I want you to join us in this battle, Rosetta."	84201203		YC01203BA	YC01203EA
201204	2012	157	Fireworks	12_4 			Finally, it was time for Cerberus to strike back.	84201204		YC01204BA	
201205	2012	158	Deceptor	12_5 			Lamia owed Watanabe a favor.	84201205		YC01205BA	
201206	2012	159	Another Ending	12_6 			The war was coming to an end. Everybody had their own thoughts and plans.	84201206		YC01206BA	
201207	2012	160	Seize	12_7 			Gabriel's giant arm pierced through Qu's chest...	84201207		YC01207BA	YC01207EA
301001	30100	149	Struggle				I promised Mother and Father that I would never let anyone hurt you. So, I'll take the risks...	84301001		1130111	
301002	30100	150	Trespassers				Where did these two little girls come from...?	84301002		1130112	
301003	30100	151	Warm Food				Sister, are we finally safe?	84301003		1130113	
301004	30100	152	Frog Plushie				Blame your own naivety.	84301004		1130114	
301005	30100	153	Price of Naivety				We don't have a choice...	84301005		1130121	3130121
301006	30100	154	Lingering Warmth				Lucia held Luna in her arms. They fell asleep together for the last time in the cold room...	84301006		1130122	3130122
301007	30100	155	Star in the Dark				Only at the end of a long darkness you will find happiness. And we are no different.	84301007		1130123	
301011	30101	226	Undying				Her black long hair, along with a few tags in her clenched fist, are the only things swaying in the warm wind...	84301011		1130131	
301012	30101	227	Separated				That's why I need her... to stay loyal to humanity.	84301012		1130132	
301013	30101	228	Falling				Alright. Now is the time... to welcome another lady home.	84301013		1130133	
301014	30101	229	Reunion				It's impossible! The goddamned Corrupted... and Punishing Virus!	84301014		1130134	
301015	30101	230	Escape				Lucia barely held on to her blade as she stumbled across the city.	84301015		1130135	
301016	30101	231	Tears				Lucia almost collapsed into Luna's arms. Tears ran down her cheeks.	84301016		1130136	
301017	30101	232	The First Sight				I want to meet her.	84301017		1130137	
301021	30102	233	Your Name				This was how I met that person.	84301021		JZ10201BS	
301022	30102	234	Vague Emotions				I learned many things from Commandant...	84301022		JZ10202BS	
301023	30102	235	Gray Raven				Lee, Liv, myself, and Commandant. We are Gray Raven.	84301023		JZ10203BS	
301024	30102	236	α				Sometimes... I had flashback of memories of Lucia. 	84301024		JZ10204BS	JZ10204ES
301025	30102	237	Twin Blades of Will				I felt sorry for everything. That's why I must keep moving on.	84301025		JZ10205BS	JZ10205ES
301026	30102	238	Determination				Be my blade, Plume.	84301026		JZ10206BS	
301027	30102	239	Cherished Memory				It was a conversation with Commandant, hidden deep in my heart.	84301027		JZ10207BS	
302011	30201	156	Uninvited Guest				I'm sure we can get along, right?	84302011		1130211	
302012	30201	157	Out of Place				Live, can you find that white dress for your sister? I'm sure you can do such an easy task, right?	84302012		1130212	
302013	30201	158	Honor				...I can stay back and take care of our home.	84302013		1130213	
302014	30201	159	Collapsed Pride				Let me go to the war zone. Please.	84302014		1130214	
302015	30201	160	To a New World				Aren't you going to... have a few words with her?	84302015		1130221	
302016	30201	161	Flower on Battlefield				Please answer my question.	84302016		1130222	3130222
302017	30201	162	White Dress				Get changed, Liv... At least, you should leave beautifully. You can do it... I'm sure.	84302017		1130223	
