Id	SuitId	Order	Type	Title	Text	Condition
150622	1506	2	2	Story II	Richelieu was not surprised by the church's stance—she predicted that as well. Now, she has a new and gratifying mission in helping Babylonia with diplomatic relations with different factions.	811006
150721	1507	1	2	Story I	When Samantha was still human, she gravitated towards various animals since her childhood. This fact, along with her aristocratic upbringing, it was no wonder that she became the manager of the urban ecology research center.	811003
150722	1507	2	2	Story II	Now, in addition to providing medical help as a memory chip, Babylonia's ecology research center is her second home.	811006
150821	1508	1	2	Story I	When Mozart was still human, she loved collecting musical works created before the Golden Age. By combining and remixing them, she pioneered a whole new genre that changed Golden Age music. Now, Mozart's tunes, from relaxing to soul-stirring, are all classics and staples on Square Wave Radio.	811003
150822	1508	2	2	Story II	In addition to her musical contribution, Mozart is also somewhat of a gourmet. Yet, without a physical body, the sweet succulent taste of fried pork chops will never graze her taste buds again.	811006
155021	1550	1	2	Story I	The bells rang at midnight, heralding the first Christmas Liv spent with her companions. For this day, Liv has even prepared an ornate set of new clothes. Having this memory with you will make you motivated even on the battlefield.	811001
155022	1550	2	2	Story II	On this special day, Liv played a joyful ballad with her trombone. She finally came before the commandant, speaking the words that long stirred in her heart. "This is our first Christmas together, Commandant. Merry Christmas!" She continued gently, "I look forward to you being on my side next year as well!"	811001
155121	1551	1	2	Story I	Babylonia has banned fireworks, but what would a new year without people having a blast? Be a hero and save the festival!	811001
155122	1551	2	2	Story II	"Igniting, and... fire—!" "Hey, that's a holographic screen over there!" "Boom—Boom—Pow—" "...Fine, if that's how it is, let's go all out!" And so it was that the explosive welcoming of the new year blew everyone away.	811001
155221	1552	1	2	Story I	The collective memory of certain Easterners in the past, of a wish named homesickness. Dusting off her old memories, remembrance—reunion—came to a certain girl. Alight with these thoughts, the girl stands firmly once more against her enemies.	811001
155222	1552	2	2	Story II	Sorry, Commandant, I didn't see you coming in... No, I'm fine. Nothing to worry about me... By the way, today is Lantern Festival in human history. Would you like to have a bowl of Tang Yuan, Commandant?	811001
160121	1601	1	2	Story I	An introverted assassin when she still had her body. Condelina's targets were all met with a swift and painless death. Her extensive experience as an assassin helps the Constructs in various battles.	811003
160122	1601	2	2	Story II	She loves singing when being alone, but after becoming a memory chip, only a select few Constructs, like Liv, can hear her beautiful voice.	811006
160221	1602	1	2	Story I	A prolific writer with words endow'd; He seeded great minds of the Golden Age; Some WGAA thinkers see him as the trend-; -maker of mechanoid restoration; His talents unmatched, and it little fades; In heat of battle, or the fiery page.	811003
160222	1602	2	2	Story II	Though now a memory, his quill ain't still; Penning odes lovely, hateful, humanly; A chance meeting with a commandant gray; "A spark!" Says he, and vanished since that shrill.	811006
160321	1603	1	2	Story I	When Heisen was still human, she was a madly driven biologist who would even experiment on her own body for science. The human body no longer holds any secrets for her, and she has kept this treasure trove of knowledge to herself alone. Word has it that someone once tried to steal Heisen's research. That someone quickly went missing. It was only after a massive rainstorm that his burnt and thunderstruck corpse drifted out of the sewers.	811003
160322	1603	2	2	Story II	When the memory-form Heisen met the Constructs, she was exhilarated at the fruition of a completely foreign field of technology. Trying to dissect Constructs without a corporeal form herself has now become a daily quandary for her.	811006
160421	1604	1	2	Story I	The once human Darwin revolutionized the biological sciences, bringing about theories that were highly esteemed by the biologists in the Golden Age. Yet that did not satiate Darwin. It was the ultimate evolution of human beings that the scientist sought. To achieve this, innumerable experiments were carried, even on the self. In this current state, is Darwin a he, or a she? To the transhumanist, it hardly seems to matter.	811003
160422	1604	2	2	Story II	Not only a biologist, but also an inquisitive adventurer—the unflinching Darwin has been of great help for Constructs on the battlefield. Now, even without a body, Darwin still plans on leaving Babylonia and doing research on Earth.	811006
160521	1605	1	2	Story I	When Hanna was still human, she was a well-known corporate spy rumored to be the daughter of the great musician Hanson. With her mastery of disguise and stealth, she infiltrated various big companies. Every theft of hers came with a signature of "Hanna". No one, including her employers, knows anything concrete about her—the spy is always the initiator. Her expertise in espionage is of great help to Constructs in special operations.	811003
160522	1605	2	2	Story II	Now, Hanna likes appearing before others in formal outfits. Though, users of Hanna's memory chip are kindly reminded to never take her for her word.	811006
160621	1606	1	2	Story I	Cottie died at the age of 86 from diabetic complications caused by donut overdose. It is said that she passed away peacefully right after she ordered a donut delivery. Cottie's religious obsession with donuts was deemed military-grade, and so she was made into a memory chip.	811003
160622	1606	2	2	Story II	Cottie rewarded Syndicute members with donuts for their hard work, and this caused their overall blood sugar levels and weight to rise. Now, without a body, she is constantly scheming about spreading her fried dough addiction to the commandant.	811006
160721	1607	1	2	Story I	Da Vinci is deemed one of the most important advocates of the mechanoid restoration trends. To call her works masterpieces would be a disgrace for their perfection. Her heavenly crafts are now deservedly stored in the most exquisite showcases of the WGAA. A polymath, it is rumored that most of Cosmos Industries' early products are based on Da Vinci's manuscripts. Her cultural weight makes her presence alone an inspiring beacon to Constructs on the battlefield.	811003
160722	1607	2	2	Story II	Da Vinci's biggest regret for becoming a memory chip is her inability to create art by hand. To Da Vinci, relying on machines to realize her ideas is soulless. The commandant is the only one who can cheer her up in these gloomy times.	811006
160821	1608	1	2	Story I	When Catherine was still human, she was the owner of Rose Garden. The details of Rose Garden did not survive the trials of time, but according to Catherine, it was located in a valley, and the windows were covered by deep red drapes, so that people inside would not notice the flow of time. Catherine spent her whole life in the garden alone, during which only one mysterious person visited.	811003
160822	1608	2	2	Story II	Catherine is a medical professional who understands true pain and loneliness. This is why she wants to protect her friends from the suffering she felt before. When she met the commandant for the first time, it brought back some memories to her. But without a body, they seem to hardly matter anymore.	811006
160921	1609	1	2	Story I	When she was still human, she completed the fundamental theoretical framework for space colonization, taking scientific development to a whole new level. Her knowledge of material properties is also immensely helpful in battle.	811003
160922	1609	2	2	Story II	Real mad for cute lasses, even physical death could not part her from her cute-is-justice philosophy. She has been continuing with her research, but is refusing to share the results with Asimov. After all, Asimov is still quite a ways from being a cute girl.	811006
161021	1610	1	2	Story I	Philip II was born into a military family and received strict a military education since her childhood. But why make war, when you can make art? The military and industrial sectors may have been thriving during the Golden Age, but to pursue the sublime heights, and to soothe the spirits of the people, Philip II left her family at a young age to join the newly established WGAA. Her flute performance is said to be quite a feast for the ears.	811003
161022	1610	2	2	Story II	Philip II loves performing on stage. A master of various musical performance styles, she can easily comfort the minds of her audience. President Allen is currently preparing a concert for Philip II and other virtual idols.	811006
161121	1611	1	2	Story I	When Guinevere was still human, she was fond of analyzing interpersonal relationships and searching for this thing called love in them. Despite being able to get along with everyone, no one has ever truly understood her. She eventually embarked on a journey to find true love and disappeared from the face of the earth. Guinevere's movements are graceful sights that heal the mind and provide emotional support for soldiers on the battlefield.	811003
161122	1611	2	2	Story II	It seems that she might have special feelings for the commandant, but when being asked about this, she always replies with an ambiguous answer and a subtle smile.	811006
161221	1612	1	2	Story I	Frederick was a famous virtual idol during the mechanoid restoration craze. Like a ghost in the shell, she would hide in the currents of the internet and do guerilla gigs on random terminals. The origins of Frederick are a mystery, though some researchers believe that her design might have been inspired by the early Golden Age WGAA member, Philip II. Concerning this matter, President Allen has refused to provide any answers. Frederick's experience in stealth and dodging has taught many Constructs how to avoid damage in battles.	811003
161222	1612	2	2	Story II	Frederick is unaware of how she got turned into a memory chip, but it hardly matters. After all, she can still hold concerts. Ever since she joined, her morning gigs have practically decommissioned the commandant's alarm clock.	811006
161321	1613	1	2	Story I	When Bathlon was still human, she was known as a one-man army, specializing in one-against-many warfare. Despite her outstanding contributions, Bathlon shunned fame and wealth. She stayed a mere soldier until her death. She knew deep down inside that peace was not for her, and that the battlefield will be her final resting place. Bathlon's battle experience provides great strategic insight to Constructs in battle.	811003
161322	1613	2	2	Story II	Now, Bathlon is back on the battlefield in the form of a memory chip, wielding her military talents to her heart's content. She seems quite unfazed about being turned in a memory chip, in fact, she seems even a bit happy about it. After all, she no longer has to worry about her receding hairline.	811006
161421	1614	1	2	Story I	When Patton was still human, she was more a slaughterer than a soldier. She never wore an army uniform. Military discipline meant nothing to her. She did only one thing, and she was good at it—destroying all enemies on the battlefield. Patton's valiance has been an inspiring example to all Constructs.	811003
161422	1614	2	2	Story II	Before the commandant pointed it out, Patton had no idea why everyone would be scared away the second they see her. Now, Patton is dedicating time to learn how to control her facial expressions and her sword arm from lashing out.	811006
161521	1615	1	2	Story I	When Zu Wenyuan was alive, he served as the supreme leader of Fuxi crew, a branch of Kowloong Chamber of Commerce. His main areas of expertise include astronomy and mathematics, and he was the first to ever observe superluminal travel beyond the Milky Way. His mechanical knowledge also led to the creation of the prototypes of Musashi and Prime, and subsequently the East Asian style of mechanoids. He also left many mechanical upgrade plans that were way ahead of his time, but before he was able to implement them, he died in a liquid nitrogen leak caused by an "accident". It was said that the Observatory located within Kowloong Corp was also built using one of his early designs.	811003
161522	1615	2	2	Story II	Zu Wenyuan's memory was later recycled by the Science Council and made into a Memory Chip. He never talked about his past death in this new form, but chose to focus on a secret research, as if he was trying to prevent something from happening. Even Asimov was overwhelmed by the vast amount of data presented by Zu, and could not discover the real nature of this research, which led to frequent quarrels.	811006
2000021	20000	1	2	Story I	To Lucia, the hair accessories or even the glamorous-looking kimonos are nothing but mere embellishments. The beauty of a blooming flower lies not in its vessel. The calm maiden steadily arrived at the shrine before it became crowded, bearing nothing but pure wishes.	811002
2000022	20000	2	2	Story II	Girl. Sunshine. Silence. Wishes. "Please... help me convey my feelings to..." A flower whispers before the shrine, in this world longing for rejuvenation.	811004
5000021	50000	1	2	Story	A pocket of summer.\nThe sun-spangled beachside, the small shop under the noon glare, the street corner flickering from the city lights—all memories of you and her.\nSeasons may come and go, but do never forget this one summer.	811004
