Id	Type	IsInit	GroupId	Name	ImgSrc	LockDesc	ConvertItemId	ConvertItemCount	Description	WorldDesc	Effect	Priority	LimitType	BeginTimeStr	EndTimeStr	ShowTimeStr	Duration	IsRepetition
9010301	1			Portrait - Palefire	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadLi5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		11	0					
9010302	1			Portrait - Entropy	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadLi5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		12	0					
9010401	1			Portrait - Storm	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadYongyechao5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		13	0					
9010402	1			Portrait - Pulse	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadYongyechao5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		14	0					
9010501	1			Portrait - Blast	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadKalienina5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		15	0					
9010502	1			Portrait - Ember	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadKalienina5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		16	0					
9010601	1			Portrait - Nightblade	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadDubian5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		17	0					
9010602	1			Portrait - Astral	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadDubian5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		18	0					
9010701	1			Portrait - Zero	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadAolisuo5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		19	0					
9010801	1			Portrait - Bastion	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadShenwei5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		20	0					
9010802	1			Portrait - Tenebrion	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadShenwei5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		21	0					
9010901	1			Portrait - Brilliance	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadAila5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		22	0					
9010702	1			Portrait - Veritas	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadBianka5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		23	0					
9011001	1			Portrait - Silverfang	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadSufeiya5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		24	0					
9011002	1			Portrait - Arclight	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadKuluomu5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		25	0					
9011003	1			Portrait - Rozen	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadWeila5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		26	0					
9011004	1			Portrait - Crocotta	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadKamu5.png	Available after Ultima Awakening the Transcendant	1	10000	Player Portrait	The final developed form of Ultima Awakened Transcendants after countless battles.		27	0					
9010703	1			Ink-lit Hermit	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadBianka7SS.png	Unlocked by purchasing [Ink-lit Hermit Coating Bundle].	1	10000	Player Portrait	The quiet river flows through the mountains where cranes live.		28	0					
9010211	1			Eventide Glow	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadR4Luxiya7SS.png	Unlocked by purchasing [Eventide Glow Coating Bundle]	1	10000	Player Portrait	The flowing crimson clouds saw her smile.		29	0					
9010212	1			Ocean Blues	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadR3Li7SS.png	Awarded to participants of the limited event [Sorbet Summer]	1	10000	Player Portrait	The ocean tunes under the blue summer sky.		30	0					
9010213	1			Deep Sea	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadR3Lifu7SS.png	Unlocked by purchasing [Deep Sea Coating Bundle]	1	10000	Player Portrait	The white maiden on the summer beach.		31	0					
9010214	1			Seaside Sunbath	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadR3Luxiya7SS.png	Unlocked by purchasing [Seaside Sunbath Coating Bundle]	1	10000	Player Portrait	Summer, white waves, her moment of rest.		32	0					
9010215	1			Tulle Redbud	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadR3Kalienina7SS.png	Unlocked by purchasing [Tulle Redbud Coating Bundle]	1	10000	Player Portrait	Summer, fireworks, her unforgettable date.		33	0			2020/8/19 10:00		
9080001	1			Portrait - Task Force	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer06.png	Available after clearing Stronghold Chapter 8	1	10000	Player Portrait	The symbol of Task Force.		34	0					
9090001	1			Kuroro	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer04.png	Event Rewards	1	10000	Player Portrait	A mysterious mechanical race found in many places on the surface. Has a keen interest in collecting Cogs.		35	0					
9090002	1			Portrait - Special Identity	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer05.png	Available after purchasing 10,000 Rainbow Cards	1	10000	Player Portrait	Sorry, but I refuse to reveal my true identity as a commandant.	Assets/Product/Effect/Prefab/FxUi/FxUiComponent/FxUiTouxiang.prefab	36	0					
9090003	1			Kuroro Commandant	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer10.png	The reward issued to players who pre-registered with the official website. Sent via mail	1	10000	Player Portrait	A mysterious machine wearing a commandant's jacket.		37	0			2022/8/19 10:00		
9090004	1			Mini-TV Commandant	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer11.png	The reward issued to players who pre-registered with Bilibili. Sent via mail	1	10000	Player Portrait	A mini-TV wearing a commandant's jacket. It seems to be mistaken for a cloth hanger.		38	0			2022/8/19 10:00		
9090005	1			Mr. Potato	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer12.png	Available via special events	1	10000	Player Portrait	A popular fast food dish in Babylonia. Still going strong after many challenges.		39	0					
9090006	1			RIP Potato	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer13.png	Available via special events	1	10000	Player Portrait	In commemoration of Mr. Potato, now ripened and cooked.		40	0					
9090007	1			Overlord	Assets/Product/Texture/Image/RolePlayerSp/RoleHeaSailikaSp.png	Available after purchasing June 1st Gift Box	1	10000	Player Portrait	The cover illustration of the June 1st special issue of "The Lord of the Skies Celica".		41	0			2022/8/19 10:00		
9090008	2		1000	Portrait Frame - Ephemeris	Assets/Product/Texture/Image/RolePlayerSp/HeadFrame8.png	Reach the [Ephemeris] grade in Autopoiesis Maze	1	10000	Portrait Frame	WGAA's latest design. Used to mark the Commandant's progress in exploring Autopoiesis Maze. (You will receive a portrait frame for every grade you reach in the maze)		100	0					
9090009	2		1000	Portrait Frame - Purgatory	Assets/Product/Texture/Image/RolePlayerSp/HeadFrame9.png	Reach the [Purgatory] grade in Autopoiesis Maze	1	10000	Portrait Frame	WGAA's latest design. Used to mark the Commandant's progress in exploring Autopoiesis Maze. (You will receive a portrait frame for every grade you reach in the maze)		101	1				604800	1
9090010	2		1000	Portrait Frame - Apogee	Assets/Product/Texture/Image/RolePlayerSp/HeadFrame10.png	Reach the [Apogee] grade in Autopoiesis Maze	1	10000	Portrait Frame	WGAA's latest design. Used to mark the Commandant's progress in exploring Autopoiesis Maze. (You will receive a portrait frame for every grade you reach in the maze)		102	1				604800	1
9090011	2		1000	Portrait Frame - Formless	Assets/Product/Texture/Image/RolePlayerSp/HeadFrame11.png	Reach the [Formless] grade in Autopoiesis Maze	1	10000	Portrait Frame	WGAA's latest design. Used to mark the Commandant's progress in exploring Autopoiesis Maze. (You will receive a portrait frame for every grade you reach in the maze)		103	1				604800	1
9090012	2		1000	Portrait Frame - Masses	Assets/Product/Texture/Image/RolePlayerSp/HeadFrame12.png	Reach the [Masses] grade in Autopoiesis Maze	1	10000	Portrait Frame	WGAA's latest design. Used to mark the Commandant's progress in exploring Autopoiesis Maze. (You will receive a portrait frame for every grade you reach in the maze)		104	1				604800	1
9090013	2		1000	Portrait Frame - Galore	Assets/Product/Texture/Image/RolePlayerSp/HeadFrame13.png	Reach the [Galore] grade in Autopoiesis Maze	1	10000	Portrait Frame	WGAA's latest design. Used to mark the Commandant's progress in exploring Autopoiesis Maze. (You will receive a portrait frame for every grade you reach in the maze)		105	1				604800	1
9053002	1			Portrait - Volatile Priestess	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadJpR3LuxiyaSS.png	Available via event	1	10000	Player Portrait	A portrait representing the ritual to worship wild gods in ancient times. Recreated from old data of the Earth.		3	0					
9010218	1			Spectral Parade	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadShenwei7SS.png	Unlocked by purchasing [Spectral Parade Coating Bundle].	1	10000	Player Portrait	—And builds a Heaven in Hell's despair.		31	0					
9091001	1			Pure White	Assets/Product/Texture/Image/RolePlayerSp/RolePlaySuper01.png	Available via special events	1	10000	Player Portrait	Full of hope, fearless of the dark.	Assets/Product/Ui/ComponentPrefab/UiRole/RoleTimeline02.prefab	308	0					
9062001	1			Joyous Moments	Assets/Product/Texture/Image/RolePlayerSp/EnRoleplayerNewyear01.png	Available via special means	1	10000	Player Portrait	"New Year, New Feels!" —Imochikay Okattayay		2	0					
