Id	CharacterId	ResourcesId	Name	Quality	Description	WorldDescription	Icon	BigIcon	SkipIdParams[0]	SkipIdParams[1]	SkipIdParams[2]	SkipIdParams[3]	SkipIdParams[4]	Priority	ItemKey	ItemCount	SmallHeadIcon	BigHeadIcon	RoundnessNotItemHeadIcon	RoundnessHeadIcon	BigRoundnessHeadIcon	HalfBodyImage	RoleCharacterBigImage	RoundnessNotItemHeadIconLiberation	SmallHeadIconLiberation	BigHeadIconLiberation	CharacterIcon
6310101	1031001	1030101	Generic	1	Default — Liv: Eclipse	The default outfit given to Constructs when they were manufactured.	Assets/Product/Texture/Image/IconToolsSp/Clo10310010101Sp.png	Assets/Product/Texture/Image/IconTools/Clo10310010101.png	19002					930	32	3	Assets/Product/Texture/Image/Role/RoleHeadLifu.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadLifu2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadLifu2.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigLifuNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadLifu5.png	Assets/Product/Texture/Image/Role/RoleHeadLifu6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310104.png
6310102	1031001	1030102	Generic - Modified	2	Default — Liv: Eclipse	The outfit designed by awakened Constructs to their liking after gaining the permission.	Assets/Product/Texture/Image/IconToolsSp/Clo10310010102Sp.png	Assets/Product/Texture/Image/IconTools/Clo10310010102.png	19002					920	32	6	Assets/Product/Texture/Image/Role/RoleHeadLifu.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadLifu2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadLifu2.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigLifuNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadLifu5.png	Assets/Product/Texture/Image/Role/RoleHeadLifu6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310104.png
6310103	1031001	1030103	Generic - Final	2	Default — Liv: Eclipse	The outfit modified by Constructs after they reach the ultimate awakening phase. Perfectly resembles the characteristics of their M.I.N.D.	Assets/Product/Texture/Image/IconToolsSp/Clo10310010103Sp.png	Assets/Product/Texture/Image/IconTools/Clo10310010103.png	19002					910	32	9	Assets/Product/Texture/Image/Role/RoleHeadLifu.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadLifu2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadLifu2.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigLifuNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadLifu5.png	Assets/Product/Texture/Image/Role/RoleHeadLifu6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310104.png
6310104	1031001	1030104	Tiara	5	New Life — Liv: Eclipse	As the manager of the Center of Ecological Research, Liv is able to control the ecosystem within Babylonia.	Assets/Product/Texture/Image/IconToolsSp/Clo10310090101Sp.png	Assets/Product/Texture/Image/IconTools/Clo10310090101.png	10008					905	32	7	Assets/Product/Texture/Image/Role/RoleHeadLifu.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadLifu2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadLifu2.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigLifuNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadLifu5.png	Assets/Product/Texture/Image/Role/RoleHeadLifu6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310104.png
6310105	1031001	1030105	Gray Feathers: Eclipse	5	Uniform — Liv: Eclipse	The customized uniform made for all the Constructs that have developed a bond with Gray Raven. Often worn as a formal dress during all important Event.	Assets/Product/Texture/Image/IconToolsSp/Clo10310090102Sp.png	Assets/Product/Texture/Image/IconTools/Clo10310090102.png	10016					903	32	27	Assets/Product/Texture/Image/Role/RoleHeadLifu.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadLifu2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadLifu2.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigLifuNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadLifu5.png	Assets/Product/Texture/Image/Role/RoleHeadLifu6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310105.png
6310106	1031001	1030106	Maid of Time	5	Operation Zero — Liv: Eclipse	7:00, good morning. 9:00, saying goodbye. 11:00, a morning tea alone. 13:00, ironing clothes. 15:00, cleaning the room. 17:00, preparing for dinner. 18:00, eagerly awaiting. 20:00, welcome back.	Assets/Product/Texture/Image/IconToolsSp/Clo10310019101Sp.png	Assets/Product/Texture/Image/IconTools/Clo10310019101.png	10016					902	32	33	Assets/Product/Texture/Image/Role/RoleHeadLifu.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadLifu2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadLifu2.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigLifuNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadLifu5.png	Assets/Product/Texture/Image/Role/RoleHeadLifu6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310106.png
6310107	1031001	1030107	Christmas Promise	5	Christmas — Liv: Eclipse	An outfit made from mechanical parts and special fabrics that perfectly blends lovely Christmas elements and excellent defense.	Assets/Product/Texture/Image/IconToolsSp/Clo10310019111Sp.png	Assets/Product/Texture/Image/IconTools/Clo10310019111.png	10016					901	32	33	Assets/Product/Texture/Image/Role/RoleHeadLifu.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadLifu2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadLifu2.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigLifuNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadLifu5.png	Assets/Product/Texture/Image/Role/RoleHeadLifu6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310107.png
6410101	1041002	1040101	Generic	1	Default — Bianca: Zero	The default outfit given to Constructs when they were manufactured.	Assets/Product/Texture/Image/IconToolsSp/Clo10410010101Sp.png	Assets/Product/Texture/Image/IconTools/Clo10410010101.png	19003					900	32	3	Assets/Product/Texture/Image/Role/RoleHeadAolisuo.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadAolisuo2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadAolisuo2.png	Assets/Product/Texture/Image/RoleStory/OlisuoNomal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigOlisuoNomal01.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo5.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310104.png
6410102	1041002	1040102	Generic - Modified	2	Default — Bianca: Zero	The outfit designed by awakened Constructs to their liking after gaining the permission.	Assets/Product/Texture/Image/IconToolsSp/Clo10410010102Sp.png	Assets/Product/Texture/Image/IconTools/Clo10410010102.png	19003					890	32	6	Assets/Product/Texture/Image/Role/RoleHeadAolisuo.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadAolisuo2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadAolisuo2.png	Assets/Product/Texture/Image/RoleStory/OlisuoNomal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigOlisuoNomal01.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo5.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310104.png
6410103	1041002	1040103	Generic - Final	2	Default — Bianca: Zero	The outfit modified by Constructs after they reach the ultimate awakening phase. Perfectly resembles the characteristics of their M.I.N.D.	Assets/Product/Texture/Image/IconToolsSp/Clo10410010103Sp.png	Assets/Product/Texture/Image/IconTools/Clo10410010103.png	19003					880	32	9	Assets/Product/Texture/Image/Role/RoleHeadAolisuo.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadAolisuo2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadAolisuo2.png	Assets/Product/Texture/Image/RoleStory/OlisuoNomal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigOlisuoNomal01.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo5.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310104.png
6410104	1041002	1040104	Thistle	5	Corrosion — Bianca: Zero	This elegant outfit borrows elements from the special crystal structure of refined ores found in regions of deep corrosion.	Assets/Product/Texture/Image/IconToolsSp/Clo10410070101Sp.png	Assets/Product/Texture/Image/IconTools/Clo10410070101.png	10016					870	32	33	Assets/Product/Texture/Image/Role/RoleHeadAolisuo.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadAolisuo2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadAolisuo2.png	Assets/Product/Texture/Image/RoleStory/OlisuoNomal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigOlisuoNomal01.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo5.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6410104.png
6410105	1041002	1040105	Gray Feathers: Zero	5	Uniform — Bianca: Zero	The customized uniform made for all the Constructs that have developed a bond with Gray Raven. Often worn as a formal dress during all important Event.	Assets/Product/Texture/Image/IconToolsSp/Clo10410070102Sp.png	Assets/Product/Texture/Image/IconTools/Clo10410070102.png	10018					865	32	27	Assets/Product/Texture/Image/Role/RoleHeadAolisuo.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadAolisuo2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadAolisuo2.png	Assets/Product/Texture/Image/RoleStory/OlisuoNomal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigOlisuoNomal01.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo5.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310104.png
6510101	1051001	1050101	Generic	1	Default — Nanami: Storm	The default outfit given to Constructs when they were manufactured.	Assets/Product/Texture/Image/IconToolsSp/Clo10510010101Sp.png	Assets/Product/Texture/Image/IconTools/Clo10510010101.png	19004					860	32	3	Assets/Product/Texture/Image/Role/RoleHeadYongyechao.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadYongyechao2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadYongyechao2.png	Assets/Product/Texture/Image/RoleStory/Yongyechaonormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/Yongyechaonormal01.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao5.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310104.png
6510102	1051001	1050102	Generic - Modified	2	Default — Nanami: Storm	The outfit designed by awakened Constructs to their liking after gaining the permission.	Assets/Product/Texture/Image/IconToolsSp/Clo10510010102Sp.png	Assets/Product/Texture/Image/IconTools/Clo10510010102.png	19004					850	32	6	Assets/Product/Texture/Image/Role/RoleHeadYongyechao.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadYongyechao2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadYongyechao2.png	Assets/Product/Texture/Image/RoleStory/Yongyechaonormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/Yongyechaonormal01.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao5.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310104.png
6510103	1051001	1050103	Generic - Final	2	Default — Nanami: Storm	The outfit modified by Constructs after they reach the ultimate awakening phase. Perfectly resembles the characteristics of their M.I.N.D.	Assets/Product/Texture/Image/IconToolsSp/Clo10510010103Sp.png	Assets/Product/Texture/Image/IconTools/Clo10510010103.png	19004					840	32	9	Assets/Product/Texture/Image/Role/RoleHeadYongyechao.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadYongyechao2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadYongyechao2.png	Assets/Product/Texture/Image/RoleStory/Yongyechaonormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/Yongyechaonormal01.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao5.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6310104.png
6510104	1051001	1050104	Gray Feathers: Storm	5	Uniform — Nanami: Storm	The customized uniform made for all the Constructs that have developed a bond with Gray Raven. Often worn as a formal dress during all important Event.	Assets/Product/Texture/Image/IconToolsSp/Clo10510090102Sp.png	Assets/Product/Texture/Image/IconTools/Clo10510090102.png	10016					835	32	27	Assets/Product/Texture/Image/Role/RoleHeadYongyechao.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3.png	Assets/Product/Texture/Image/IconToolsSp/RoleHeadYongyechao2Sp.png	Assets/Product/Texture/Image/IconTools/RoleHeadYongyechao2.png	Assets/Product/Texture/Image/RoleStory/Yongyechaonormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/Yongyechaonormal01.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao5.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao6.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao2.png	Assets/Product/Texture/Image/IconCoating/IconCoating6510104.png
