Id	Name	Description	WorldDesc	BigIcon	Icon	ItemType	Quality	Priority	MaxCount	GridCount	TimelinessType	StartTime	Duration	RecycleRewardId	RecycleByMail	SellForId	SellForCount	RecType	RecTime	RecCount	SuitId	SkipIdParams[0]	SkipIdParams[1]	SkipIdParams[2]	SkipIdParams[3]	SkipIdParams[4]	SkipIdParams[5]	SubTypeParams[0]	SubTypeParams[1]	SubTypeParams[2]	SubTypeParams[3]	SubTypeParams[4]	SubTypeParams[5]	SubTypeParams[6]	SubTypeParams[7]
27	4★ Memory Shard	Obtained from recycling 4★ Memory Chips.	Parts obtained from recycling a 4★ Memory Chip. Can be used to manufacture other weapons of the same grade, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeShopWafer01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWafer01Sp.png	4	4	10	99999	99999												10004													
28	5★ Memory Shard	Obtained from recycling 5★ Memory Chips.	Parts obtained from recycling a 5★ Memory Chip. Can be used to manufacture other weapons of the same grade, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeShopWafer02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWafer02Sp.png	4	5	10	99999	99999												10005													
29	6★ Memory Shard	Obtained from recycling 6★ Memory Chips.	Parts obtained from recycling a 6★ Memory Chip. Can be used to manufacture other weapons of the same grade, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeShopWafer03.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWafer03Sp.png	4	6	10	99999	99999												10006													
30	Dorm Coin	Used for Dormitory Research and other actions.	Shiny coins that can be spent to perform research and other Dormitory-related actions.	Assets/Product/Texture/Image/IconTools/IconConsumeBase01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeBase01Sp.png	4	5	10	99999	99999												10007													
31	Decor Coin	Parts obtained from recycling Decor. Can be reassembled into other Decor.	Recycle existing Decor to obtain materials to produce new Decor, maximizing the use of resources.	Assets/Product/Texture/Image/IconTools/IconConsumeHouse01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeHouse01Sp.png	4	4	10	99999	99999												10026													
32	Coating Blueprint	Can be exchanged for Coatings.	Design blueprint that records Coating schematics in detail, used to produce new Coatings.	Assets/Product/Texture/Image/IconTools/CloPass02.png	Assets/Product/Texture/Image/IconToolsSp/CloPass02Sp.png	4	5	10	99999	99999												10008													
33	Coating Sketch	Can be exchanged for Coating Blueprints.	Rough sketch of a Coating design. Conveys the designer's concept, but not quite detailed enough to put into production.	Assets/Product/Texture/Image/IconTools/CloPass01.png	Assets/Product/Texture/Image/IconToolsSp/CloPass01Sp.png	4	4	10	99999	99999												10020													
34	A-Class Inver Material	Obtained from recycling Inver-Shards.	Material obtained from recycling Inver-Shards. Highly valuable and can be exchanged for various supplies at Babylonia.	Assets/Product/Texture/Image/IconTools/IconCharacterPiece01.png	Assets/Product/Texture/Image/IconToolsSp/IconCharacterPiece01Sp.png	4	4	10	99999	99999												10024													
35	S-Class Inver Material	Obtained from recycling Inver-Shards.	Material obtained from recycling Inver-Shards. Extremely valuable and can be exchanged for various supplies at Babylonia.	Assets/Product/Texture/Image/IconTools/IconCharacterPiece02.png	Assets/Product/Texture/Image/IconToolsSp/IconCharacterPiece02Sp.png	4	4	10	99999	99999												10024													
36	Residence Permit	Used to unlock a new Dormitory.	Permit to build new Dormitory facilities at the HQ.	Assets/Product/Texture/Image/IconTools/IconDormPass01.png	Assets/Product/Texture/Image/IconToolsSp/IconDormPass01Sp.png	4	5	10	99999	99999						30	2					10015													
37	Proof of Honor	Upvote others members of the United Command Bureau to increase their Popularity.	A special proof of popularity.	Assets/Product/Texture/Image/IconTools/IconDormPass01.png	Assets/Product/Texture/Image/IconToolsSp/IconDormPass01Sp.png	4	4	10	99999	99999																									
38	Command Bureau Contribution	Indicates the contribution you have made to the Command Bureau. Forms the basis for Command Bureau Contribution Rankings.	Can be gained by participating in Command Bureau challenges	Assets/Product/Texture/Image/IconTools/ItGuildPoint01.png	Assets/Product/Texture/Image/IconToolsSp/ItGuildPoint01Sp.png	4	4	10	99999	99999																									
39	United Achievement Points	Rewarded to participants in Command Bureau challenges. Can be exchanged for various resources in Point Shop.	Tokens rewarded to participants in Command Bureau events	Assets/Product/Texture/Image/IconTools/ItGuildConsume01.png	Assets/Product/Texture/Image/IconToolsSp/ItGuildConsume01Sp.png	3	4	10	99999	99999																									
40	Command Bureau EXP	You can level up the Command Bureau after gaining enough Command Bureau EXP.	You can accumulate EXP for your Command Bureau by participating in Command Bureau challenges.	Assets/Product/Texture/Image/IconTools/ItGuildExp01.png	Assets/Product/Texture/Image/IconToolsSp/ItGuildExp01Sp.png	1	3	10	1000																										
41	Return Progress	The progress of returning player missions. Will be reset once the returning period ends.		Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	9999																										
42	Type II Vote	Use this item to give likes to your favorite comments in Eden II forum.	Each vote has a unique identification code. Enter the code in Eden II to get likes. The votes will be reset to zero at the end of every event.	Assets/Product/Texture/Image/IconTools/ItPointEvent005.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent005Sp.png	1	3	10	9999	99																									
43	Progress	The progress of completion for Eden II Event targets.	Thank you, Commandant. - Gray Raven	Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	99999																										
44	Pioneer Medal	The proof of participation in the pioneer test. Can be exchanged for Black Cards in the live server. Stay tuned to further announcements for more detail.		Assets/Product/Texture/Image/IconTools/IconStagePass01.png	Assets/Product/Texture/Image/IconToolsSp/IconStagePass01Sp.png	4	5	10	99999	99999																									
45	Weapon Coating Blueprint	Can be exchanged for Weapon Coatings.	Design blueprint that records Weapon Coating schematics in detail, used to produce new Weapon Coatings.	Assets/Product/Texture/Image/IconTools/CloPass03.png	Assets/Product/Texture/Image/IconToolsSp/CloPass03Sp.png	4	5	10	99999	99999																									
46	Beacon Amplifier Points	Gained by leveling up the Command Bureau. Allow you to level up Beacon Amplifier.	An indicator of the team effort put into developing the Command Bureau.	Assets/Product/Texture/Image/IconTools/ItGuildConsume02.png	Assets/Product/Texture/Image/IconToolsSp/ItGuildConsume02Sp.png	1	3	10	99999																										
47	Special Support Token	Can be exchanged for items in Resource Shop.	A silver spinning top crafted from special materials. Bears a QR code that projects the words "Support Force" upon being scanned. Can be exchanged in Resource Shop for supplies that Babylonia has specially requisitioned for high-performing squads.	Assets/Product/Texture/Image/IconTools/IconConsumeShop001.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShop001Sp.png	3	4	10	99999	99999												11728													
48	S-Rank Transcendant Material	Obtained from recycling Transcendant Shards.	Material obtained from recycling Transcendant Shards. Highly valuable and can be exchanged for various supplies in Babylonia.	Assets/Product/Texture/Image/IconTools/IconCharacterPiece03.png	Assets/Product/Texture/Image/IconToolsSp/IconCharacterPiece03Sp.png	4	4	10	99999	99999												10024													
50	Action Points	Autopoiesis Maze Action Points	Autopoiesis Maze Action Points			3	5	10	99999	99999																									
51	Aberrant Cube	Can purchase add-on units in Autopoiesis Maze	The smaller version of a common material for industrial production. Can quickly produce add-ons and tools, among other things, based on the blueprint provided. Caveat: non-standard materials like this are worthless outside Autopoiesis Maze.	Assets/Product/Texture/Image/IconTools/ItPointEvent006.png	Assets/Product/Texture/Image/IconTools/ItPointEvent006.png	3	5	10	99999	99999																									
52	Add-On Unit	Gain a random add-on unit to power up members in Autopoiesis Maze.	An integrator of certain add-on efficacy. Only works in Autopoiesis Maze.	Assets/Product/Texture/Image/IconTools/ItPointEvent008.png	Assets/Product/Texture/Image/IconTools/ItPointEvent008.png	4	5	10	99999	99999																									
100	Strange Mark	Obtained from deciphering Lemegeton.	Its nature is completely unknown.	Assets/Product/Texture/Image/IconTools/ItPointEvent003.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent003Sp.png	4	3	10	99999	99999																									
101	Popular Gift	Can be gifted to another Commandant in the Command Bureau. The recipient gains 10 Popularity while the giver receives 1 United Achievement Point.	Can be gained by playing the combat supply stage AE-5	Assets/Product/Texture/Image/IconTools/ItGuildGift0101.png	Assets/Product/Texture/Image/IconTools/ItGuildGift0101.png	4	4	10	99999	99999						1	10																		
200	Phantom Pain Scar	Obtained from Phantom Pain Cage. Can be exchanged for useful items	Parts retrieved from powerful Corrupted, key to unlocking the secrets of the Punishing Virus. Can be exchanged for supplies.	Assets/Product/Texture/Image/IconTools/ItPointEvent001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent001Sp.png	4	3	10	99999	99999												10009													
300	HQ Shard	Made from scrap metal. Can be exchanged for items with the Support Force.		Assets/Product/Texture/Image/IconTools/ItPointEvent002.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent002Sp.png	4	3	10	99999	99999																									
310	Shark-speare Figurine	A souvenir received after clearing "Park Parade."	A 1:15 limited-edition Shark-speare figurine gained after "playing" with Shark-speare, with quality varying depending on the level. All it ever does is play the same nursery rhyme over and over: "Let's play and be friends! Shark-speare loves eating the Gingerbread Man!"	Assets/Product/Texture/Image/UiCollection/Iconcollection014.png	Assets/Product/Texture/Image/UiCollection/Iconcollection014.png	1	2	10	99999																										
311	Shark-speare Figurine	A souvenir received after clearing "Park Parade." (Collectible upgraded to blue)	A 1:15 limited-edition Shark-speare figurine gained after "playing" with Shark-speare, with quality varying depending on the level. All it ever does is play the same nursery rhyme over and over: "Let's play and be friends! Shark-speare loves eating the Gingerbread Man!"	Assets/Product/Texture/Image/UiCollection/Iconcollection014.png	Assets/Product/Texture/Image/UiCollection/Iconcollection014.png	1	3	10	99999																										
312	Shark-speare Figurine	A souvenir received after clearing "Park Parade." (Collectible upgraded to purple)	A 1:15 limited-edition Shark-speare figurine gained after "playing" with Shark-speare, with quality varying depending on the level. All it ever does is play the same nursery rhyme over and over: "Let's play and be friends! Shark-speare loves eating the Gingerbread Man!"	Assets/Product/Texture/Image/UiCollection/Iconcollection014.png	Assets/Product/Texture/Image/UiCollection/Iconcollection014.png	1	4	10	99999																										
313	Shark-speare Figurine	A souvenir received after clearing "Park Parade." (Collectible upgraded to orange)	A 1:15 limited-edition Shark-speare figurine gained after "playing" with Shark-speare, with quality varying depending on the level. All it ever does is play the same nursery rhyme over and over: "Let's play and be friends! Shark-speare loves eating the Gingerbread Man!"	Assets/Product/Texture/Image/UiCollection/Iconcollection014.png	Assets/Product/Texture/Image/UiCollection/Iconcollection014.png	1	5	10	99999																										
350	Challenge Medal	Hard quests have a chance to drop these tokens, which can be exchanged for materials.		Assets/Product/Texture/Image/IconTools/ItPointEvent004.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent004Sp.png	4	3	10	99999	99999																									
360	Tokarev Tower Badge	Project Babel—A badge obtained from Tokarev. It is a valuable collection that can be of great use in the future.	Used to reward the commandants who succeeded in an in-depth simulation of Project Babel tactical operation. The number of badges offered depends on the tactical level reached. it is delicately crafted with special sentimental value.	Assets/Product/Texture/Image/IconTools/BabelReward1.png	Assets/Product/Texture/Image/IconToolsSp/BabelReward1Sp.png	4	5	10	99999	999																									
361	Sand Tower Badge	Project Babel—A badge obtained from the desert. The exquisite craftsmanship enhances its value to collectors.	Used to reward the commandants who succeeded in an in-depth simulation of the 2nd Project Babel tactical operation, Sands of Infinity. The number of badges offered depends on the tactical level reached. As proof of glory and valiance, it is exquisitely crafted with special collection value.	Assets/Product/Texture/Image/IconTools/BabelReward2.png	Assets/Product/Texture/Image/IconToolsSp/BabelReward2Sp.png	4	5	10	99999	999																									
362	Theme Park Tower Badge	A badge obtained from Project Babel—Theme Park. Makes a valuable collectible.	Rewarded to Commandants who have succeeded in an in-depth simulation of Project Babel tactical operation phase 3. Hand-crafted and exquisitely designed to commemorate an unforgettable experience. (Badge upgraded to blue)	Assets/Product/Texture/Image/IconTools/BabelReward3.png	Assets/Product/Texture/Image/IconToolsSp/BabelReward3Sp.png	1	3	10	99999																										
363	Theme Park Tower Badge	A badge obtained from Project Babel—Theme Park. Makes a valuable collectible.	Rewarded to Commandants who have succeeded in an in-depth simulation of Project Babel tactical operation phase 3. Hand-crafted and exquisitely designed to commemorate an unforgettable experience. (Badge upgraded to purple)	Assets/Product/Texture/Image/IconTools/BabelReward3.png	Assets/Product/Texture/Image/IconToolsSp/BabelReward3Sp.png	1	4	10	99999																										
364	Theme Park Tower Badge	A badge obtained from Project Babel—Theme Park. Makes a valuable collectible.	Rewarded to Commandants who have succeeded in an in-depth simulation of Project Babel tactical operation phase 3. Hand-crafted and exquisitely designed to commemorate an unforgettable experience. (Badge upgraded to orange)	Assets/Product/Texture/Image/IconTools/BabelReward3.png	Assets/Product/Texture/Image/IconToolsSp/BabelReward3Sp.png	1	5	10	99999																										
400	Mark of Friendship	Mark of friendship between squads.		Assets/Product/Texture/Image/IconTools/ItPointFriend001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointFriend001Sp.png	4	3	10	99999	99999																									
401	Nightmare Medal	Mark of recognition for completing the main quest on Nightmare difficulty.	Granted only to those who have overcome the most difficult of challenges.	Assets/Product/Texture/Image/IconTools/IconStagePass01.png	Assets/Product/Texture/Image/IconToolsSp/IconStagePass01Sp.png	4	3	10	99999	99999																									
402	Ultima: Palefire	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease01.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease01Sp.png	1	5	50	999	999						1	10																		
403	Ultima: Lotus	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease03.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease03Sp.png	1	5	50	999	999						1	10																		
404	Ultima: Eclipse	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease02.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease02Sp.png	1	5	50	999	999						1	10																		
405	Ultima: Storm	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease04Sp.png	1	5	50	999	999						1	10																		
406	Ultima: Lux	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease02.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease02Sp.png	1	5	50	999	999						1	10																		
407	Ultima: Dawn	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease03.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease03Sp.png	1	5	50	999	999						1	10																		
408	Ultima: Luminance	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease02.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease02Sp.png	1	5	50	999	999						1	10																		
409	Ultima: Tenebrion	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease05.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease05Sp.png	1	5	50	999	999						1	10																		
410	Ultima: Nightblade	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease04Sp.png	1	5	50	999	999						1	10																		
411	Ultima: Blast	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease04Sp.png	1	5	50	999	999						1	10																		
412	Ultima: Bastion	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease05.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease05Sp.png	1	5	50	999	999						1	10																		
413	Ultima: Zero	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease01.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease01Sp.png	1	5	50	999	999						1	10																		
414	Ultima: Ember	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease04Sp.png	1	5	50	999	999						1	10																		
415	Ultima: Entropy	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease01.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease01Sp.png	1	5	50	999	999						1	10																		
416	Ultima: Pulse	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease04Sp.png	1	5	50	999	999						1	10																		
417	Ultima: Crimson Abyss	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease03.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease03Sp.png	1	5	50	999	999						1	10																		
418	Ultima - Astral	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease04Sp.png	1	5	50	999	999						1	10																		
419	Ultima - Brilliance	Constructs that have awakened their Ultima rank get 3 Signal Orbs at the start of battle.	Ring device developed by the Science Council and customized for each individual construct. The internal nanomachines help Constructs perform high-frequency computing to generate Signal Orbs immediately.	Assets/Product/Texture/Image/IconTools/IconSkillRelease06.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease06Sp.png	1	5	50	999	999						1	10																		
