Id	PoolId	Weight	SkillId	Icon	Description	Name
23	1	100	103216	Assets/Product/Texture/Image/IconSkill/lifupugong1.png	Basic Attack Level +1	Lightning Attack
24	2	100	103217	Assets/Product/Texture/Image/IconSkill/R2lifudazhao1.png	Signature Move Level + 1	Signature - Electric Wave
25	2	100	103218	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Neo-Nanofield Blossom
26	2	100	103221	Assets/Product/Texture/Image/IconSkill/R2lifuhexin1.png	Core Passive +1	Reversed Egretfield
27	2	100	103223	Assets/Product/Texture/Image/IconSkill/R2lifuhexin1.png	Class Skill Level +1	Support
28	1	100	104201	Assets/Product/Texture/Image/IconSkill/R2biankahong1.png	Red Orb Level +1	Point Shooting
29	1	100	104206	Assets/Product/Texture/Image/IconSkill/R2biankahuang1.png	Yellow Orb Level +1	Wing Shot
30	1	100	104211	Assets/Product/Texture/Image/IconSkill/R2biankalan1.png	Blue Orb Level +1	Bow Draw
31	1	100	104216	Assets/Product/Texture/Image/IconSkill/biankapugong1.png	Basic Attack Level +1	Fast Draw
32	2	100	104217	Assets/Product/Texture/Image/IconSkill/R2biankadazhao1.png	Signature Move Level + 1	Signature - Rain of Destiny
33	2	100	104218	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Rain of Hunt
34	2	100	104221	Assets/Product/Texture/Image/IconSkill/R2biankahexin1.png	Core Passive +1	Quiver Of Mercy
35	2	100	104223	Assets/Product/Texture/Image/IconSkill/R2biankahexin1.png	Class Skill Level +1	Attacker
36	1	100	105101	Assets/Product/Texture/Image/IconSkill/R2yongyechaohong1.png	Red Orb Level +1	Sawblade Slash
37	1	100	105106	Assets/Product/Texture/Image/IconSkill/R2yongyechaohuang1.png	Yellow Orb Level +1	Slash Storm
38	1	100	105111	Assets/Product/Texture/Image/IconSkill/R2yongyechaolan1.png	Blue Orb Level +1	Memory Resonance
39	1	100	105116	Assets/Product/Texture/Image/IconSkill/yongyechaopugong1.png	Basic Attack Level +1	Sawblade Strike
40	2	100	105117	Assets/Product/Texture/Image/IconSkill/R2yongyechaodazhao1.png	Signature Move Level + 1	Signature - Crystal Barrier
41	2	100	105118	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Nanami Beam
42	2	100	105121	Assets/Product/Texture/Image/IconSkill/R2yongyechaohexin1.png	Core Passive +1	EX - Slash Storm
43	2	100	105123	Assets/Product/Texture/Image/IconSkill/R2yongyechaohexin1.png	Class Skill Level +1	Tank
44	1	100	106201	Assets/Product/Texture/Image/IconSkill/R2shenweihong1.png	Red Orb Level +1	Great Slash
45	1	100	106206	Assets/Product/Texture/Image/IconSkill/R2shenweihuang1.png	Yellow Orb Level +1	Counterattack
46	1	100	106211	Assets/Product/Texture/Image/IconSkill/R2shenweilan1.png	Blue Orb Level +1	Assault Mode
47	1	100	106216	Assets/Product/Texture/Image/IconSkill/shenweipugong1.png	Basic Attack Level +1	Swing
48	2	100	106217	Assets/Product/Texture/Image/IconSkill/R2shenweidazhao1.png	Signature Move Level + 1	Signature - Obliterating Press
49	2	100	106218	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Obliterating Wind
50	2	100	106221	Assets/Product/Texture/Image/IconSkill/R2shenweihexin1.png	Core Passive +1	Offence-Defense Rhythm
51	2	100	106223	Assets/Product/Texture/Image/IconSkill/R2shenweihexin1.png	Class Skill Level +1	Tank
52	1	100	107201	Assets/Product/Texture/Image/IconSkill/R2kalieninahong1.png	Red Orb Level +1	Scattering Projectiles
53	1	100	107206	Assets/Product/Texture/Image/IconSkill/R2kalieninahuang1.png	Yellow Orb Level +1	Detonative Projectile
54	1	100	107211	Assets/Product/Texture/Image/IconSkill/R2kalieninalan1.png	Blue Orb Level +1	Spinning Projectile
55	1	100	107216	Assets/Product/Texture/Image/IconSkill/kalieninapugong1.png	Basic Attack Level +1	Artillery Technique
56	2	100	107217	Assets/Product/Texture/Image/IconSkill/R2kalieninadazhao1.png	Signature Move Level + 1	Signature - Shattering Growl
57	2	100	107218	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Annihilating Projectile
58	2	100	107221	Assets/Product/Texture/Image/IconSkill/R2kalieninahexin1.png	Core Passive +1	Artillery Tactics
59	2	100	107223	Assets/Product/Texture/Image/IconSkill/R2kalieninahexin1.png	Class Skill Level +1	Attacker
60	1	100	108201	Assets/Product/Texture/Image/IconSkill/R2dubianhong1.png	Red Orb Level +1	Black Sakura
61	1	100	108206	Assets/Product/Texture/Image/IconSkill/R2dubianhuang1.png	Yellow Orb Level +1	Shadow Thrust
62	1	100	108211	Assets/Product/Texture/Image/IconSkill/R2dubianlan1.png	Blue Orb Level +1	Bloodshed
63	1	100	108216	Assets/Product/Texture/Image/IconSkill/dubianpugong1.png	Basic Attack Level +1	Slash
64	2	100	108217	Assets/Product/Texture/Image/IconSkill/R2dubiandazhao1.png	Signature Move Level + 1	Signature - Night Blade
65	2	100	108218	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Flash Fall
66	2	100	108221	Assets/Product/Texture/Image/IconSkill/R2dubianhexin1.png	Core Passive +1	Fleeting Phantom
67	2	100	108223	Assets/Product/Texture/Image/IconSkill/R2dubianhexin1.png	Class Skill Level +1	Attacker
68	1	100	102101	Assets/Product/Texture/Image/IconSkill/R1luxiyahong1.png	Red Orb Level +1	Lotus - Initial Move
69	1	100	102106	Assets/Product/Texture/Image/IconSkill/R1luxiyahuang1.png	Yellow Orb Level +1	Lotus - Flash Strike
70	1	100	102111	Assets/Product/Texture/Image/IconSkill/R1luxiyalan1.png	Blue Orb Level +1	Lotus - Wave Slash
71	1	100	102116	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png	Basic Attack Level +1	Lotus - Quick Blade
72	2	100	102117	Assets/Product/Texture/Image/IconSkill/R1luxiyadazhao1.png	Signature Move Level + 1	Signature - Lotus Flurry
73	2	100	102118	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Lotus Quick Slash
74	2	100	102121	Assets/Product/Texture/Image/IconSkill/R1luxiyahexin1.png	Core Passive +1	Lotus - Dual Blades
75	2	100	102123	Assets/Product/Texture/Image/IconSkill/R1luxiyahexin1.png	Class Skill Level +1	Attacker
76	1	100	103101	Assets/Product/Texture/Image/IconSkill/R1lifuhong1.png	Red Orb Level +1	Laser Shot
77	1	100	103106	Assets/Product/Texture/Image/IconSkill/R1lifuhuang1.png	Yellow Orb Level +1	Black Hole
78	1	100	103111	Assets/Product/Texture/Image/IconSkill/R1lifulan1.png	Blue Orb Level +1	Inconsistent Particles
79	1	100	103116	Assets/Product/Texture/Image/IconSkill/lifupugong1.png	Basic Attack Level +1	Beam Strike
80	2	100	103117	Assets/Product/Texture/Image/IconSkill/R1lifudazhao1.png	Signature Move Level + 1	Signature - Azure Starfall
81	2	100	103118	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Nanofield Blossom
82	2	100	103121	Assets/Product/Texture/Image/IconSkill/R1lifuhexin1.png	Core Passive +1	Laser Cluster
83	2	100	103123	Assets/Product/Texture/Image/IconSkill/R1lifuhexin1.png	Class Skill Level +1	Support
84	1	100	103301	Assets/Product/Texture/Image/IconSkill/R3lifuhong1.png	Red Orb Level +1	Repelling Beams
85	1	100	103306	Assets/Product/Texture/Image/IconSkill/R3lifuhuang1.png	Yellow Orb Level +1	Transferring Recharge
86	1	100	103311	Assets/Product/Texture/Image/IconSkill/R3lifulan1.png	Blue Orb Level +1	Gray Raven Field
87	1	100	103316	Assets/Product/Texture/Image/IconSkill/lifupugong1.png	Basic Attack Level +1	Adaptive Ray
88	2	100	103317	Assets/Product/Texture/Image/IconSkill/R3lifudazhao1.png	Signature Move Level + 1	Arcadia Gate
89	2	100	103318	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Heroic Dance
90	2	100	103321	Assets/Product/Texture/Image/IconSkill/R3lifuhexin1.png	Core Passive +1	Goddess Connection System
91	2	100	103323	Assets/Product/Texture/Image/IconSkill/R3lifuhexin1.png	Class Skill Level +1	Support
92	1	100	106301	Assets/Product/Texture/Image/IconSkill/R3shenweihong1.png	Red Orb Level +1	Countering Swordplay
93	1	100	106306	Assets/Product/Texture/Image/IconSkill/R3shenweihuang1.png	Yellow Orb Level +1	Assaulting Charge
94	1	100	106311	Assets/Product/Texture/Image/IconSkill/R3shenweilan1.png	Blue Orb Level +1	Sundering Blade
95	1	100	106316	Assets/Product/Texture/Image/IconSkill/shenweipugong1.png	Basic Attack Level +1	Greatsword Slash
96	2	100	106317	Assets/Product/Texture/Image/IconSkill/R3shenweidazhao1.png	Signature Move Level + 1	Signature - Twin Cores
97	2	100	106318	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Chain Spin
98	2	100	106321	Assets/Product/Texture/Image/IconSkill/R3Shenweihexin1.png	Core Passive +1	Fighting Will
99	2	100	106323	Assets/Product/Texture/Image/IconSkill/R3Shenweihexin1.png	Class Skill Level +1	Tank
100	1	100	101301	Assets/Product/Texture/Image/IconSkill/R3lihong1.png	Red Orb Level +1	Continuous Fire
101	1	100	101306	Assets/Product/Texture/Image/IconSkill/R3lihuang1.png	Yellow Orb Level +1	Backstep Firing
102	1	100	101311	Assets/Product/Texture/Image/IconSkill/R3lilan1.png	Blue Orb Level +1	Electric Induction
103	1	100	101316	Assets/Product/Texture/Image/IconSkill/lipugong1.png	Basic Attack Level +1	Burst Mode
104	2	100	101317	Assets/Product/Texture/Image/IconSkill/R3lidazhao1.png	Signature Move Level + 1	Signature - Orbital Strike
105	2	100	101318	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Blindspot Ambush
106	2	100	101321	Assets/Product/Texture/Image/IconSkill/R3lihexin1.png	Core Passive +1	Space Lord
107	2	100	101323	Assets/Product/Texture/Image/IconSkill/R3lihexin1.png	Class Skill Level +1	Attacker
108	1	100	107301	Assets/Product/Texture/Image/IconSkill/R3kalieninahong1.png	Red Orb Level +1	Lightblade Strike
109	1	100	107306	Assets/Product/Texture/Image/IconSkill/R3kalieninahuang1.png	Yellow Orb Level +1	Covering Barrage
110	1	100	107311	Assets/Product/Texture/Image/IconSkill/R3kalieninalan1.png	Blue Orb Level +1	Wingman Support
111	1	100	107316	Assets/Product/Texture/Image/IconSkill/kalieninapugong1.png	Basic Attack Level +1	Pressure Unleashed
112	2	100	107317	Assets/Product/Texture/Image/IconSkill/R3kalieninadazhao1.png	Signature Move Level + 1	Signature - Scar of Earth
113	2	100	107318	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Gravity Fall
114	2	100	107321	Assets/Product/Texture/Image/IconSkill/R3kalieninahexin1.png	Core Passive +1	Thermal Armament
115	2	100	107323	Assets/Product/Texture/Image/IconSkill/R3kalieninahexin1.png	Class Skill Level +1	Attacker
116	1	100	105301	Assets/Product/Texture/Image/IconSkill/R3yongyechaohong1.png	Red Orb Level +1	Rhythm Charge
117	1	100	105306	Assets/Product/Texture/Image/IconSkill/R3yongyechaohuang1.png	Yellow Orb Level +1	Dancing Ring
118	1	100	105311	Assets/Product/Texture/Image/IconSkill/R3yongyechaolan1.png	Blue Orb Level +1	Shattering Shock
119	1	100	105316	Assets/Product/Texture/Image/IconSkill/yongyechaopugong1.png	Basic Attack Level +1	Sawblade Storm
120	2	100	105317	Assets/Product/Texture/Image/IconSkill/R3yongyechaodazhao1.png	Signature Move Level + 1	Signature - Pulse
121	2	100	105318	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Molten Roundslash
122	2	100	105321	Assets/Product/Texture/Image/IconSkill/R3yongyechaohexin1.png	Core Passive +1	Overclocking Resonance
123	2	100	105323	Assets/Product/Texture/Image/IconSkill/R3yongyechaohexin1.png	Class Skill Level +1	Tank
124	1	100	102301	Assets/Product/Texture/Image/IconSkill/R3luxiyahong1.png	Red Orb Level +1	Crimson Abyss - Flickering Strike
125	1	100	102306	Assets/Product/Texture/Image/IconSkill/R3luxiyahuang1.png	Yellow Orb Level +1	Crimson Abyss - Dazzling Strike
126	1	100	102311	Assets/Product/Texture/Image/IconSkill/R3luxiyalan1.png	Blue Orb Level +1	Crimson Abyss - Lightbreak Strike
127	1	100	102316	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png	Basic Attack Level +1	Crimson Abyss - Iaido Will
128	2	100	102317	Assets/Product/Texture/Image/IconSkill/R3luxiyadazhao1.png	Signature Move Level + 1	Signature - Abyssal Slash
129	2	100	102318	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Falling Petals
130	2	100	102321	Assets/Product/Texture/Image/IconSkill/R3luxiyahexin1.png	Core Passive +1	Crimson Abyss - Blade Will
131	2	100	102323	Assets/Product/Texture/Image/IconSkill/R3luxiyahexin1.png	Class Skill Level +1	Attacker
132	1	100	108301	Assets/Product/Texture/Image/IconSkill/R3dubianhong1.png	Red Orb Level +1	Comet Tail
133	1	100	108306	Assets/Product/Texture/Image/IconSkill/R3dubianhuang1.png	Yellow Orb Level +1	Celestial Spin
134	1	100	108311	Assets/Product/Texture/Image/IconSkill/R3dubianlan1.png	Blue Orb Level +1	Meteor Strike
135	1	100	108316	Assets/Product/Texture/Image/IconSkill/dubianpugong1.png	Basic Attack Level +1	Deadly Star
136	2	100	108317	Assets/Product/Texture/Image/IconSkill/R3dubiandazhao1.png	Signature Move Level + 1	Signature - Supernova Burst
137	2	100	108318	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Shadow Cross
138	2	100	108321	Assets/Product/Texture/Image/IconSkill/R3dubianhexin1.png	Core Passive +1	Cosmic Wave
139	2	100	108323	Assets/Product/Texture/Image/IconSkill/R3dubianhexin1.png	Class Skill Level +1	Attacker
140	1	100	109201	Assets/Product/Texture/Image/IconSkill/R2ailahong1.png	Red Orb Level +1	Vibrant Stroke
141	1	100	109206	Assets/Product/Texture/Image/IconSkill/R2ailahuang1.png	Yellow Orb Level +1	Glittering Shade
142	1	100	109211	Assets/Product/Texture/Image/IconSkill/R2ailalan1.png	Blue Orb Level +1	Whirl of Brightness
143	1	100	109216	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png	Basic Attack Level +1	Blossom Scythe
144	2	100	109217	Assets/Product/Texture/Image/IconSkill/R2ailadazhao1.png	Signature Move Level + 1	Signature - Bloom Time
145	2	100	109218	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Spiral Reaper
146	2	100	109221	Assets/Product/Texture/Image/IconSkill/R2ailahexin1.png	Core Passive +1	Vector Cube
147	2	100	109223	Assets/Product/Texture/Image/IconSkill/R2ailahexin1.png	Class Skill Level +1	Tank
148	1	100	111201	Assets/Product/Texture/Image/IconSkill/R2Sufeiyahong1.png	Red Orb Level +1	Strafe
149	1	100	111206	Assets/Product/Texture/Image/IconSkill/R2Sufeiyahuang1.png	Yellow Orb Level +1	Jet Propulsion
150	1	100	111211	Assets/Product/Texture/Image/IconSkill/R2Sufeiyalan1.png	Blue Orb Level +1	Spread Shot
151	1	100	111216	Assets/Product/Texture/Image/IconSkill/lipugong1.png	Basic Attack Level +1	Rapid Shot
152	2	100	111217	Assets/Product/Texture/Image/IconSkill/R2Sufeiyadazhao1.png	Signature Move Level + 1	Signature - Fusion Burst
153	2	100	111218	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Fire Support
154	2	100	111221	Assets/Product/Texture/Image/IconSkill/R2Sufeiyahexin1.png	Core Passive +1	Field Supplies
155	2	100	111223	Assets/Product/Texture/Image/IconSkill/R2Sufeiyahexin1.png	Class Skill Level +1	Support
156	1	100	104301	Assets/Product/Texture/Image/IconSkill/R3biankahong1.png	Red Orb Level +1	Thunder Spike
157	1	100	104306	Assets/Product/Texture/Image/IconSkill/R3biankahuang1.png	Yellow Orb Level +1	Lightning Flash
158	1	100	104311	Assets/Product/Texture/Image/IconSkill/R3biankalan1.png	Blue Orb Level +1	Magnetic Voltage
159	1	100	104316	Assets/Product/Texture/Image/IconSkill/biankapugong1.png	Basic Attack Level +1	Voltaic Discharge
160	2	100	104317	Assets/Product/Texture/Image/IconSkill/R3biankadazhao1.png	Signature Move Level + 1	Signature - Ire of Lightning
161	2	100	104318	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Blitz Bolt
162	2	100	104321	Assets/Product/Texture/Image/IconSkill/R3biankahexin1.png	Core Passive +1	Critical Moment
163	2	100	104323	Assets/Product/Texture/Image/IconSkill/R3biankahexin1.png	Class Skill Level +1	Attacker
164	1	100	112201	Assets/Product/Texture/Image/IconSkill/R2kuluomuhong1.png	Red Orb Level +1	Shifting Nimbus
165	1	100	112206	Assets/Product/Texture/Image/IconSkill/R2kuluomuhuang1.png	Yellow Orb Level +1	Culling Maelstrom
166	1	100	112211	Assets/Product/Texture/Image/IconSkill/R2kuluomulan1.png	Blue Orb Level +1	Pulse Overload
167	1	100	112216	Assets/Product/Texture/Image/IconSkill/ailapugong1.png	Basic Attack Level +1	Thunderstorm
168	2	100	112217	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png	Signature Move Level + 1	Signature - Storm World
169	2	100	112218	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Blue Bolt
170	2	100	112221	Assets/Product/Texture/Image/IconSkill/R2kuluomuhexin1.png	Core Passive +1	Arclight Shield
171	2	100	112223	Assets/Product/Texture/Image/IconSkill/R2kuluomuhexin1.png	Class Skill Level +1	Tank
172	1	100	102401	Assets/Product/Texture/Image/IconSkill/R4luxiyahong1.png	Red Orb Level +1	Mute Winter
173	1	100	102406	Assets/Product/Texture/Image/IconSkill/R4luxiyahuang1.png	Yellow Orb Level +1	Glacier Puncture
174	1	100	102411	Assets/Product/Texture/Image/IconSkill/R4luxiyalan1.png	Blue Orb Level +1	Frigid Roundabout
175	1	100	102416	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png	Basic Attack Level +1	Frost Blade
176	2	100	102417	Assets/Product/Texture/Image/IconSkill/R4luxiyadazhao1.png	Signature Move Level + 1	Signature - Halcyonic Blossoms
177	2	100	102418	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Frost Blade - Icebreak
178	2	100	102421	Assets/Product/Texture/Image/IconSkill/R4luxiyahexin1.png	Core Passive +1	Hyperborea
179	2	100	102423	Assets/Product/Texture/Image/IconSkill/R4luxiyahexin1.png	Class Skill Level +1	Attacker
180	1	100	113201	Assets/Product/Texture/Image/IconSkill/R2Weilahong1.png	Red Orb Level +1	Vermilion Slice
181	1	100	113206	Assets/Product/Texture/Image/IconSkill/R2Weilahuang1.png	Yellow Orb Level +1	Phantasmal Burst
182	1	100	113211	Assets/Product/Texture/Image/IconSkill/R2Weilalan1.png	Blue Orb Level +1	Infernal Scorchmark
183	1	100	113216	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png	Basic Attack Level +1	Ominous Blade
184	2	100	113217	Assets/Product/Texture/Image/IconSkill/R2Weiladazhao1.png	Signature Move Level + 1	Signature-Dark Field
185	2	100	113218	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Black Rose Impact
186	2	100	113221	Assets/Product/Texture/Image/IconSkill/R2Weilahexin1.png	Core Passive +1	Mass Illusion
187	2	100	113223	Assets/Product/Texture/Image/IconSkill/R2Weilahexin1.png	Class Skill Level +1	Support
188	1	100	115201	Assets/Product/Texture/Image/IconSkill/R2Kamuhong1.png	Red Orb Level +1	Rampage
189	1	100	115206	Assets/Product/Texture/Image/IconSkill/R2Kamuhuang1.png	Yellow Orb Level +1	Destruction
190	1	100	115211	Assets/Product/Texture/Image/IconSkill/R2Kamulan1.png	Blue Orb Level +1	Rapid Claw
191	1	100	115216	Assets/Product/Texture/Image/IconSkill/kamupugong1.png	Basic Attack Level +1	Phantom
192	2	100	115217	Assets/Product/Texture/Image/IconSkill/R2Kamudazhao1.png	Signature Move Level + 1	Instinct Unlocked
193	2	100	115218	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Deadly Claw
194	2	100	115221	Assets/Product/Texture/Image/IconSkill/R2Kamuhexin1.png	Core Passive +1	Surging Madness
195	2	100	115223	Assets/Product/Texture/Image/IconSkill/R2Kamuhexin1.png	Class Skill Level +1	Vanguard
