CharacterId	MainSkillIcon[1]	MainSkillIcon[2]	MainSkillIcon[3]	MainSkillIcon[4]	MainSkillIcon[5]	MainSkillName[1]	MainSkillName[2]	MainSkillName[3]	MainSkillName[4]	MainSkillName[5]	MainSkillType[1]	MainSkillType[2]	MainSkillType[3]	MainSkillType[4]	MainSkillType[5]
1061003	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1031003	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1011003	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1071003	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1051003	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1021003	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1081003	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1091002	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1111002	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1041003	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1121002	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1021004	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	Damage	Damage	Damage	Signature Move	Passive
1131002	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1511003	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
