Id	IconPath	BigIconPath	Name	Description	SkillEffect[1]	SkillEffect[2]	SkillEffect[3]	SkillEffect[4]	SkillEffect[5]	SkillEffect[6]	SkillDescription[1]	SkillDescription[2]	SkillDescription[3]	SkillDescription[4]	SkillDescription[5]	SkillDescription[6]
1506	Assets/Product/Texture/Image/IconToolsSp/ELisailiuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ELisailiuI01002.png	Richelieu	Attack Support Boost		150602		150604				Healing effect increases by 5%. Next healing effect increases the target's Physical DMG by 8% for 4s. 5s cooldown.		Gains 1 random orb for every 8 orbs pinged. 5s cooldown.		
1507	Assets/Product/Texture/Image/IconToolsSp/ESamandaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ESamandaI01002.png	Samantha	Energy Support Boost		150702		150704				Healing effect increases by 5%. Next healing effect increases the target's Elemental DMG by 8% for 4s. 5s cooldown.		The next healing effect adds an elemental aura that increases the Elemental DMG and Elemental Resistance of the allies in the area by 8% and 5% respectively. 10s cooldown.		
1508	Assets/Product/Texture/Image/IconToolsSp/EMozateI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EMozateI01002.png	Mozart	EX Dodge Boost		150802		150804				All DMG increases by 15% when in Matrix.		Deals 200% damage to all enemies on screen when you enter Matrix.		
1550	Assets/Product/Texture/Image/IconToolsSp/EShengdanlifuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EShengdanlifuI01001.png	Liv: Reindeer	Energy Boost		155002		155004				Signal Orb skill DMG and healing effect increase by 5%.		Attacks have a 20% chance to drop Christmas gifts next to the enemy. Picking up a gift restores 5 Energy and increases all DMG dealt by 5% for 5s. 10s cooldown.		
1551	Assets/Product/Texture/Image/IconToolsSp/EXinniankalieI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EXinniankalieI01001.png	New Year Fireworks	Damage Boost		155012						ATK increases by 5%. For every 3 Red Orbs pinged, summons 4 red packets that deal 10% Fire DMG when they touch the enemies. Lasts 10s. 30s cooldown.				
1552	Assets/Product/Texture/Image/IconToolsSp/EYuanxiaoluxiyaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EYuanxiaoluxiyaI01001.png	Lantern Festival: Reunion	ATK Boost		155022						After performing a 3-Ping or QTE skill, releases a lantern to follow your character, increasing the ATK and Movement Speed of nearby allies by 7% for 15s. 30s cooldown.				
1601	Assets/Product/Texture/Image/IconToolsSp/EKangdelinaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EKangdelinaI01002.png	Condelina	Basic Attack Boost		160102		160104				Basic Attack DMG increases by 15%		Basic Attacks have a 25% chance to go berserk, increasing Basic Attack DMG by 15% and CRIT Rate by 5% for 5s. 8s cooldown.		
1602	Assets/Product/Texture/Image/IconToolsSp/EShashibiyaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EShashibiyaI01002.png	Shakespeare	Fire Boost		160202		160204				All ATK increases by 3% and Fire DMG increases by 7%.		Attacks have a 50% chance to inflict Burn for 5s. When attacking a burning enemy, there is a 20% chance to cause an explosion, dealing 100% Fire DMG. 5s cooldown. Burn: Reduces the target's Fire Resistance by 8% and deals 12% Fire DMG per second. Can be stacked up to 3 times.		
1603	Assets/Product/Texture/Image/IconToolsSp/EHaisenbaoI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EHaisenbaoI01002.png	Heisen	Lightning Boost		160302		160304				All ATK increases by 3% and Lightning DMG increases by 7%.		Attacks have a 25% chance to trigger a Thunderstorm with a radius of 3.5 meters. The storm Electrocutes the target for 5 seconds. Has a cooldown of 5 seconds. Attacking an Electrocuted enemy has a 20% chance to deal damage with a lightning chain. Has a cooldown of 8 seconds. Lightning Chain: All electrocuted targets take 250% Lightning DMG. Thunderstorm: Deals 100% of Lightning DMG. Electrocute: Reduces Lightning Resistance by 8%.		
1604	Assets/Product/Texture/Image/IconToolsSp/EDaerwenI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EDaerwenI01002.png	Darwin	Orb Clearing Boost		160402		160404				For every orb pinged, all DMG increases by 3% for 4s. Can be stacked up to 5 times.		When an orb is pinged, you will gain a corresponding color of it. Collects 3 colors to unleash a shockwave with 12m radius, dealing 600% Physical DMG.		
1605	Assets/Product/Texture/Image/IconToolsSp/EHannaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EHannaI01002.png	Hanna	3-Ping Boost		160502		160504				3-Ping DMG increases by 25%.		Enters Matrix upon a 3-Ping and gains a random Signal Orb. 30s cooldown.		
1606	Assets/Product/Texture/Image/IconToolsSp/EAdaifuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAdaifuI01002.png	Cottie	Signature Move Boost		160602		160604				Gains 20% more Energy when pinging an orb. Signature Move requires 20% less Energy.		All DMG increases by 15% for 10s after performing a Signature Move and gains Super Armor that reduces DMG taken by 20% for 5s.		
1607	Assets/Product/Texture/Image/IconToolsSp/EDafenqiI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EDafenqiI01002.png	Da Vinci	QTE Boost		160702		160704				When QTE is triggered, the Construct on the field gains 10% ATK and 20% DEF for 8s.		When QTE is triggered, triggers another Construct's QTE. 8s cooldown. If there are 3 Constructs on the field, ATK is increased by 20%.		
1608	Assets/Product/Texture/Image/IconToolsSp/EKaiselinI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EKaiselinI01002.png	Catherine	Survival Boost I		160802		160804				QTE and 3-Ping skills reduce the target's Physical DEF by 20% for 8s. 10s cooldown.		When taking damage, gains a HP Shield equal to 20% of DEF and increases Physical DMG by 15% for 5 seconds. Has a cooldown of 8 seconds.		
1609	Assets/Product/Texture/Image/IconToolsSp/EAiyinsitanI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAiyinsitanI01002.png	Einsteina	Survival Boost II		160902		160904				QTE and 3-Ping skills reduce the target's corresponding Elemental Resistance by 15% for 8s. 10s cooldown.		When taking damage, releases an elemental aura, gaining Elemental Resistance equal to 5% + 1% of own DEF for 5s. Elemental DMG dealt increases by 15% when the aura is present. 8s cooldown.		
1610	Assets/Product/Texture/Image/IconToolsSp/EFeilieteI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EFeilieteI01002.png	Philip II	Support Boost I		161002		161004				Healing effect increases by 10%. Next healing effect increases the target's Physical DMG by 10% and DEF by 10% for 5s. 8s cooldown.		Recharges Drone when healing. After fully charged, next healing will use up all energy and summon an Elemental Drone. The Healing Drone will automatically follow the teammate with the lowest HP. Within a circle of 5 meters, the Drone continues to heal teammates for 2% of their maximum HP per second and increases their Physical DMG by 15% for 5 seconds. Has a cooldown of 12 seconds.		
1611	Assets/Product/Texture/Image/IconToolsSp/EGuiniweiI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGuiniweiI01002.png	Guinevere	Support Boost II		161102		161104				Heals for 10% more. Increases the Elemental DMG and Resistances of the healing target by 10% for 5 seconds. Has a cooldown of 8 seconds.		Recharges Drone when healing. After fully charged, next healing will use up all energy and summon an Elemental Drone. The Healing Drone will automatically follow the teammate with the lowest HP. Within a circle of 5 meters, the Drone continues to heal teammates for 2% of their maximum HP per second and increases their Elemental ATK by 15% for 5 seconds. Has a cooldown of 12 seconds.		
1612	Assets/Product/Texture/Image/IconToolsSp/EFeitelieI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EFeitelieI01002.png	Frederick	Dodge Boost		161202		161204				Each dodge increases Movement Speed by 15% and all DMG dealt by 5% for 5s. Can be stacked up to 3 times.		The next dodge reduces the attacker's speed by 20% and increases its damage taken by 15% for 4s. 8s cooldown.		
1613	Assets/Product/Texture/Image/IconToolsSp/EManyinsitanI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EManyinsitanI01002.png	Bathlon	Dark Boost		161302		161304				All ATK increases by 3% and Dark DMG increases by 7%		Dealing DMG has a 20% chance to summon a Dark Zone that lasts 5s. 5s cooldown. The Dark Zone will inflict Corruption for 3s. Attacking a Corrupted target has a 20% chance to gain 1 random Signal Orb. 12s cooldown. Corruption: Deals 80% Dark DMG for every 2s and reduces Dark Resistance by 8%.		
1614	Assets/Product/Texture/Image/IconToolsSp/EBadunI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EBadunI01002.png	Patton	Physical Boost		161402		161404				CRIT Rate and Physical DMG increase by 5%.		Each time you deal Physical DMG, if it is not a CRIT Hit, the CRIT Rate of the next Physical DMG increases by 2%, stacking up to a maximum of 20%. This effect is reset when you deal a CRIT Hit. CRIT Hit increases Physical DMG by 5% for 3s. Can be stacked up to 3 times.		
1901	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGouliangI01002.png	Memory Enhancer	Enhance Material I								N/A		N/A		
1902	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGouliangI01002.png	Memory Enhancer	Enhance Material II								N/A		N/A		
1903	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGouliangI01002.png	Memory Enhancer	Enhance Material III								N/A		N/A		
1904	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGouliangI01002.png	Memory Enhancer	Enhance Material III								N/A		N/A		
1905	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGouliangI01002.png	Memory Enhancer	Enhance Material III		190202		190204				All DMG dealt reduced by 15% and all DMG taken increased by 30%.		Lose 5% of maximum HP every 5s.		
1906	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGouliangI01002.png	Memory Enhancer	Enhance Material III		190202		190204				All DMG dealt reduced by 15% and all DMG taken increased by 30%.		Lose 5% of maximum HP every 5s.		
20000	Assets/Product/Texture/Image/IconToolsSp/EJpI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EJpB01001.png	Straylight Terminal	Physical Boost		2000002		2000004				Movement Speed +10%		会心率が3%上昇、物理ダメージが2%上昇		
