Id	AttribId[1]	AttribId[2]	AttribDes1[1]	AttribDes1[2]	AttribDes2[1]	AttribDes2[2]	ItemId[1]	ItemCount[1]	ItemId[2]	ItemCount[2]	ItemId[3]	ItemCount[3]	ItemId[4]	ItemCount[4]	ItemId[5]	ItemCount[5]
3026008	40260084	40260085	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70081	6	70082	1
3026009	40260094	40260095	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70091	6	70092	1
3026010	40260104	40260105	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70101	6	70102	1
3026011	40260114	40260115	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70111	6	70112	1
3026012	40260124	40260125	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70121	6	70122	1
3036001	40360014	40360015	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70011	6	70012	1
3036002	40360024	40360025	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70021	6	70022	1
3036003	40360034	40360035	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70031	6	70032	1
3036004	40360044	40360045	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70041	6	70042	1
3036005	40360054	40360055	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70051	6	70052	1
3036006	40360064	40360065	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70061	6	70062	1
3036007	40360074	40360075	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70071	6	70072	1
3036008	40360084	40360085	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70081	6	70082	1
3036009	40360094	40360095	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70091	6	70092	1
3036010	40360104	40360105	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70101	6	70102	1
3036011	40360114	40360115	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70111	6	70112	1
3036012	40360124	40360125	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70121	6	70122	1
3046001	40460014	40460015	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70011	6	70012	1
3046002	40460024	40460025	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70021	6	70022	1
3046003	40460034	40460035	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70031	6	70032	1
3046004	40460044	40460045	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70041	6	70042	1
3046005	40460054	40460055	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70051	6	70052	1
3046006	40460064	40460065	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70061	6	70062	1
3046007	40460074	40460075	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70071	6	70072	1
3046008	40460084	40460085	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70081	6	70082	1
3046009	40460094	40460095	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70091	6	70092	1
3046010	40460104	40460105	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70101	6	70102	1
3046011	40460114	40460115	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70111	6	70112	1
3046012	40460124	40460125	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70121	6	70122	1
3056001	40560014	40560015	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70011	6	70012	1
3056002	40560024	40560025	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70021	6	70022	1
3056003	40560034	40560035	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70031	6	70032	1
3056004	40560044	40560045	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70041	6	70042	1
3056005	40560054	40560055	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70051	6	70052	1
3056006	40560064	40560065	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70061	6	70062	1
3056007	40560074	40560075	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70071	6	70072	1
3056008	40560084	40560085	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70081	6	70082	1
3056009	40560094	40560095	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70091	6	70092	1
3056010	40560104	40560105	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70101	6	70102	1
3056011	40560114	40560115	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70111	6	70112	1
3056012	40560124	40560125	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70121	6	70122	1
3066001	40660014	40660015	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70011	6	70012	1
3066002	40660024	40660025	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70021	6	70022	1
3066003	40660034	40660035	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70031	6	70032	1
3066004	40660044	40660045	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70041	6	70042	1
3066005	40660054	40660055	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70051	6	70052	1
3066006	40660064	40660065	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70061	6	70062	1
3066007	40660074	40660075	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70071	6	70072	1
3066008	40660084	40660085	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70081	6	70082	1
3066009	40660094	40660095	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70091	6	70092	1
3066010	40660104	40660105	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70101	6	70102	1
3066011	40660114	40660115	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70111	6	70112	1
3066012	40660124	40660125	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70121	6	70122	1
3016014	40160144	40160145	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70141	6	70142	1
3026014	40260144	40260145	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70141	6	70142	1
3036014	40360144	40360145	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70141	6	70142	1
3046014	40460144	40460145	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70141	6	70142	1
3056014	40560144	40560145	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70141	6	70142	1
3066014	40660144	40660145	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70141	6	70142	1
3016013	40160134	40160135	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70131	6	70132	1
3026013	40260134	40260135	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70131	6	70132	1
3036013	40360134	40360135	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70131	6	70132	1
3046013	40460134	40460135	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70131	6	70132	1
3056013	40560134	40560135	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70131	6	70132	1
3066013	40660134	40660135	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70131	6	70132	1
3016015	40160154	40160155	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70151	6	70152	1
3026015	40260154	40260155	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70151	6	70152	1
3036015	40360154	40360155	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	50000	79991	9	79992	3	70151	6	70152	1
3046015	40460154	40460155	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70151	6	70152	1
3056015	40560154	40560155	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70151	6	70152	1
3066015	40660154	40660155	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	50000	79991	9	79992	3	70151	6	70152	1
