Id	Type	Site	Quality	Star	WeaponSkillId	Priority	DefaultLock	CharacterId	SuitId	CharacterType	Name	LogName	Description	NeedFirstShow
3912001	99	1	2	2		11005	0		1902	1	Memory Enhancer	2★ Memory Enhancer Grid 1	Enhance module for Memory Chips. Provides different benefits based on size.	0
3913001	99	1	3	3		12005	0		1903	1	Memory Enhancer	3★ Memory Enhancer Grid 1	Enhance module for Memory Chips. Provides different benefits based on size.	0
3914001	99	1	4	4		13005	0		1904	1	Memory Enhancer	4★ Memory Enhancer Grid 1	Enhance module for Memory Chips. Provides different benefits based on size.	0
3915001	99	1	5	5		14005	0		1905	1	Memory Enhancer	5★ Memory Enhancer Grid 1	Enhance module for Memory Chips. Provides different benefits based on size.	0
3916001	99	1	6	6		15005	0		1906	1	Memory Enhancer	6★ Memory Enhancer Grid 1	Enhance module for Memory Chips. Provides different benefits based on size.	0
3921001	99	2	1	1		10004	0		1901	1	Memory Enhancer	1★ Memory Enhancer Grid 2	Enhance module for Memory Chips. Provides different benefits based on size.	0
3922001	99	2	2	2		11004	0		1902	1	Memory Enhancer	2★ Memory Enhancer Grid 2	Enhance module for Memory Chips. Provides different benefits based on size.	0
3923001	99	2	3	3		12004	0		1903	1	Memory Enhancer	3★ Memory Enhancer Grid 2	Enhance module for Memory Chips. Provides different benefits based on size.	0
3924001	99	2	4	4		13004	0		1904	1	Memory Enhancer	4★ Memory Enhancer Grid 2	Enhance module for Memory Chips. Provides different benefits based on size.	0
3925001	99	2	5	5		14004	0		1905	1	Memory Enhancer	5★ Memory Enhancer Grid 2	Enhance module for Memory Chips. Provides different benefits based on size.	0
3926001	99	2	6	6		15004	0		1906	1	Memory Enhancer	6★ Memory Enhancer Grid 2	Enhance module for Memory Chips. Provides different benefits based on size.	0
3931001	99	3	1	1		10003	0		1901	1	Memory Enhancer	1★ Memory Enhancer Grid 3	Enhance module for Memory Chips. Provides different benefits based on size.	0
3932001	99	3	2	2		11003	0		1902	1	Memory Enhancer	2★ Memory Enhancer Grid 3	Enhance module for Memory Chips. Provides different benefits based on size.	0
3933001	99	3	3	3		12003	0		1903	1	Memory Enhancer	3★ Memory Enhancer Grid 3	Enhance module for Memory Chips. Provides different benefits based on size.	0
3934001	99	3	4	4		13003	0		1904	1	Memory Enhancer	4★ Memory Enhancer Grid 3	Enhance module for Memory Chips. Provides different benefits based on size.	0
3935001	99	3	5	5		14003	0		1905	1	Memory Enhancer	5★ Memory Enhancer Grid 3	Enhance module for Memory Chips. Provides different benefits based on size.	0
3936001	99	3	6	6		15003	0		1906	1	Memory Enhancer	6★ Memory Enhancer Grid 3	Enhance module for Memory Chips. Provides different benefits based on size.	0
3941001	99	4	1	1		10002	0		1901	1	Memory Enhancer	1★ Memory Enhancer Grid 4	Enhance module for Memory Chips. Provides different benefits based on size.	0
3942001	99	4	2	2		11002	0		1902	1	Memory Enhancer	2★ Memory Enhancer Grid 4	Enhance module for Memory Chips. Provides different benefits based on size.	0
3943001	99	4	3	3		12002	0		1903	1	Memory Enhancer	3★ Memory Enhancer Grid 4	Enhance module for Memory Chips. Provides different benefits based on size.	0
3944001	99	4	4	4		13002	0		1904	1	Memory Enhancer	4★ Memory Enhancer Grid 4	Enhance module for Memory Chips. Provides different benefits based on size.	0
3945001	99	4	5	5		14002	0		1905	1	Memory Enhancer	5★ Memory Enhancer Grid 4	Enhance module for Memory Chips. Provides different benefits based on size.	0
3946001	99	4	6	6		15002	0		1906	1	Memory Enhancer	6★ Memory Enhancer Grid 4	Enhance module for Memory Chips. Provides different benefits based on size.	0
3951001	99	5	1	1		10001	0		1901	1	Memory Enhancer	1★ Memory Enhancer Grid 5	Enhance module for Memory Chips. Provides different benefits based on size.	0
3952001	99	5	2	2		11001	0		1902	1	Memory Enhancer	2★ Memory Enhancer Grid 5	Enhance module for Memory Chips. Provides different benefits based on size.	0
3953001	99	5	3	3		12001	0		1903	1	Memory Enhancer	3★ Memory Enhancer Grid 5	Enhance module for Memory Chips. Provides different benefits based on size.	0
3954001	99	5	4	4		13001	0		1904	1	Memory Enhancer	4★ Memory Enhancer Grid 5	Enhance module for Memory Chips. Provides different benefits based on size.	0
3955001	99	5	5	5		14001	0		1905	1	Memory Enhancer	5★ Memory Enhancer Grid 5	Enhance module for Memory Chips. Provides different benefits based on size.	0
3956001	99	5	6	6		15001	0		1906	1	Memory Enhancer	6★ Memory Enhancer Grid 5	Enhance module for Memory Chips. Provides different benefits based on size.	0
3961001	99	6	1	1		10000	0		1901	1	Memory Enhancer	1★ Memory Enhancer Grid 6	Enhance module for Memory Chips. Provides different benefits based on size.	0
3962001	99	6	2	2		11000	0		1902	1	Memory Enhancer	2★ Memory Enhancer Grid 6	Enhance module for Memory Chips. Provides different benefits based on size.	0
3963001	99	6	3	3		12000	0		1903	1	Memory Enhancer	3★ Memory Enhancer Grid 6	Enhance module for Memory Chips. Provides different benefits based on size.	0
3964001	99	6	4	4		13000	0		1904	1	Memory Enhancer	4★ Memory Enhancer Grid 6	Enhance module for Memory Chips. Provides different benefits based on size.	0
3965001	99	6	5	5		14000	0		1905	1	Memory Enhancer	5★ Memory Enhancer Grid 6	Enhance module for Memory Chips. Provides different benefits based on size.	0
3966001	99	6	6	6		15000	0		1906	1	Memory Enhancer	6★ Memory Enhancer Grid 6	Enhance module for Memory Chips. Provides different benefits based on size.	0
3012001	0	1	2	2		11006	0		1201	1	Speer	2★ Memory Speer Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's ATK.	0
3013001	0	1	3	3		12006	0		1301	1	Modell	3★ Memory Modell Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Melee ATK.	0
3013002	0	1	3	3		12016	0		1304	1	Hermann	3★ Memory Hermann Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Ranged ATK.	0
3014001	0	1	4	4		13006	0		1401	1	Archimedes	4★ Memory Archimedes Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Physical DMG.	0
3014002	0	1	4	4		13016	0		1404	1	Edison	4★ Memory Edison Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Elemental DMG.	0
3014003	0	1	4	4		13026	0		1407	1	Alice	4★ Memory Alice Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's healing ability.	0
3014004	0	1	4	4		13036	0		1410	1	Cunningham	4★ Memory Cunningham Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase Construct Physical ATK when damaged.	0
3014005	0	1	4	4		13046	1		1413	1	Anderia	4★ Memory Anderia Grid 1	Memory Chip of one who was once a fairy tale author. Can summon a robot when equipped.	0
3015001	0	1	5	5		14006	0		1501	1	Erwin	5★ Memory Erwin Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Physical ATK.	0
3015002	0	1	5	5		14016	0		1502	1	Aife	5★ Memory Aife Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when using skills.	0
3015003	0	1	5	5		14026	0		1503	1	Ike	5★ Memory Ike Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Elemental ATK.	0
3015004	0	1	5	5		14036	0		1504	1	Voltaire	5★ Memory Voltaire Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to reduce the enemy's DEF when attacking.	0
3015005	0	1	5	5		14046	0		1505	1	Gloria	5★ Memory Gloria Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to inflict elemental debuffs when attacking.	0
3015006	0	1	5	5		14056	0		1506	1	Richelieu	5★ Memory Richelieu Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip for healing effects to also increase the target's Physical ATK.	0
3015007	0	1	5	5		14066	0		1507	1	Samantha	5★ Memory Samantha Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to allow the Construct's elemental attacks to disrupt the battlefield.	0
3015008	0	1	5	5		14076	0		1508	1	Mozart	5★ Memory Mozart Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to allow Construct to use Matrix more freely.	0
3015050	0	1	5	5		14506	1		1550	1	Liv: Reindeer	5★ Memory Liv: Reindeer Grid 1	Liv's Christmas outfit.	0
3016001	0	1	6	6		15006	0		1601	1	Condelina	6★ Memory Condelina Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Basic Attack power.	0
3016002	0	1	6	6		15016	0		1602	1	Shakespeare	6★ Memory Shakespeare Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Fire DMG.	0
3016003	0	1	6	6		15026	0		1603	1	Heisen	6★ Memory Heisen Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Lightning DMG.	0
3016004	0	1	6	6		15036	0		1604	1	Darwin	6★ Memory Darwin Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when pinging Signal Orbs.	0
3016005	0	1	6	6		15046	0		1605	1	Hanna	6★ Memory Hanna Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase bonuses after a 3-Ping.	0
3016006	0	1	6	6		15056	0		1606	1	Cottie	6★ Memory Cottie Grid 1	Memory Chip of one who was guided by destiny. Equip to increase a Construct's Signature Move DMG.	0
3016007	0	1	6	6		15066	0		1607	1	Da Vinci	6★ Memory Da Vinci Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when using QTE skills.	0
3016008	0	1	6	6		15076	0		1608	1	Catherine	6★ Memory Catherine Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when deployed in front.	0
3016009	0	1	6	6		15086	0		1609	1	Einsteina	6★ Memory Einsteina Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when using elemental skills.	0
3016010	0	1	6	6		15096	0		1610	1	Philip II	6★ Memory Philip II Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip for healing effects to also increase the target's abilities.	0
3016011	0	1	6	6		15106	0		1611	1	Guinevere	6★ Memory Guinevere Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip for healing effects to have different effects on allies and enemies.	0
3016012	0	1	6	6		15116	0		1612	1	Frederick	6★ Memory Frederick Grid 1	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when dodging.	0
3022001	0	2	2	2		11005	0		1201	1	Speer	2★ Memory Speer Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's HP.	0
3023001	0	2	3	3		12005	0		1301	1	Modell	3★ Memory Modell Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to reduce melee DMG taken by Construct.	0
3023002	0	2	3	3		12015	0		1304	1	Hermann	3★ Memory Hermann Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to reduce ranged DMG taken by Construct.	0
3024001	0	2	4	4		13005	0		1401	1	Archimedes	4★ Memory Archimedes Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase Physical DMG after a 3-Ping.	0
3024002	0	2	4	4		13015	0		1404	1	Edison	4★ Memory Edison Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase Elemental DMG after a 3-Ping.	0
3024003	0	2	4	4		13025	0		1407	1	Alice	4★ Memory Alice Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to weaken the enemy when attacking.	0
3024004	0	2	4	4		13035	0		1410	1	Cunningham	4★ Memory Cunningham Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase DMG dealt to enemies with Super Armor.	0
3025001	0	2	5	5		14005	0		1501	1	Erwin	5★ Memory Erwin Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Physical ATK.	0
3025002	0	2	5	5		14015	0		1502	1	Aife	5★ Memory Aife Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when using skills.	0
3025003	0	2	5	5		14025	0		1503	1	Ike	5★ Memory Ike Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Elemental ATK.	0
3025004	0	2	5	5		14035	0		1504	1	Voltaire	5★ Memory Voltaire Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to reduce the enemy's DEF when attacking.	0
3025005	0	2	5	5		14045	0		1505	1	Gloria	5★ Memory Gloria Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to inflict elemental debuffs when attacking.	0
3025006	0	2	5	5		14055	0		1506	1	Richelieu	5★ Memory Richelieu Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip for healing effects to also increase the target's Physical ATK.	0
3025007	0	2	5	5		14065	0		1507	1	Samantha	5★ Memory Samantha Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to allow the Construct's elemental attacks to disrupt the battlefield.	0
3025008	0	2	5	5		14075	0		1508	1	Mozart	5★ Memory Mozart Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to allow Construct to use Matrix more freely.	0
3025050	0	2	5	5		14505	1		1550	1	Liv: Reindeer	5★ Memory Liv: Reindeer Grid 2	Liv's Christmas outfit.	0
3026001	0	2	6	6		15005	0		1601	1	Condelina	6★ Memory Condelina Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Basic Attack power.	0
3026002	0	2	6	6		15015	0		1602	1	Shakespeare	6★ Memory Shakespeare Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Fire DMG.	0
3026003	0	2	6	6		15025	0		1603	1	Heisen	6★ Memory Heisen Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Lightning DMG.	0
3026004	0	2	6	6		15035	0		1604	1	Darwin	6★ Memory Darwin Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when pinging Signal Orbs.	0
3026005	0	2	6	6		15045	0		1605	1	Hanna	6★ Memory Hanna Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase bonuses after a 3-Ping.	0
3026006	0	2	6	6		15055	0		1606	1	Cottie	6★ Memory Cottie Grid 2	Memory Chip of one who was guided by destiny. Equip to increase a Construct's Signature Move DMG.	0
3026007	0	2	6	6		15065	0		1607	1	Da Vinci	6★ Memory Da Vinci Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when using QTE skills.	0
3026008	0	2	6	6		15075	0		1608	1	Catherine	6★ Memory Catherine Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when deployed in front.	0
3026009	0	2	6	6		15085	0		1609	1	Einsteina	6★ Memory Einsteina Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when using elemental skills.	0
3026010	0	2	6	6		15095	0		1610	1	Philip II	6★ Memory Philip II Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip for healing effects to also increase the target's abilities.	0
3026011	0	2	6	6		15105	0		1611	1	Guinevere	6★ Memory Guinevere Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip for healing effects to have different effects on allies and enemies.	0
3026012	0	2	6	6		15115	0		1612	1	Frederick	6★ Memory Frederick Grid 2	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when dodging.	0
3032001	0	3	2	2		11004	0		1201	1	Speer	2★ Memory Speer Grid 3	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's starting Energy.	0
3033001	0	3	3	3		12004	0		1301	1	Modell	3★ Memory Modell Grid 3	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase healing effect that the Construct receives.	0
3033002	0	3	3	3		12014	0		1304	1	Hermann	3★ Memory Hermann Grid 3	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to improve the Construct's healing ability.	0
3034001	0	3	4	4		13004	0		1401	1	Archimedes	4★ Memory Archimedes Grid 3	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase Physical DMG in Matrix.	0
3034002	0	3	4	4		13014	0		1404	1	Edison	4★ Memory Edison Grid 3	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase Elemental DMG in Matrix.	0
3034003	0	3	4	4		13024	0		1407	1	Alice	4★ Memory Alice Grid 3	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to reduce DMG dealt by the target when attacking.	0
3034004	0	3	4	4		13034	0		1410	1	Cunningham	4★ Memory Cunningham Grid 3	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase DMG taken by the enemy.	0
3035001	0	3	5	5		14004	0		1501	1	Erwin	5★ Memory Erwin Grid 3	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Physical ATK.	0
3035002	0	3	5	5		14014	0		1502	1	Aife	5★ Memory Aife Grid 3	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to gain a bonus when using skills.	0
3035003	0	3	5	5		14024	0		1503	1	Ike	5★ Memory Ike Grid 3	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to increase a Construct's Elemental ATK.	0
3035004	0	3	5	5		14034	0		1504	1	Voltaire	5★ Memory Voltaire Grid 3	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to reduce the enemy's DEF when attacking.	0
3035005	0	3	5	5		14044	0		1505	1	Gloria	5★ Memory Gloria Grid 3	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip to inflict elemental debuffs when attacking.	0
3035006	0	3	5	5		14054	0		1506	1	Richelieu	5★ Memory Richelieu Grid 3	Memory Chip of a human being known to have achieved great deeds - for good or evil. Equip for healing effects to also increase the target's Physical ATK.	0
