Role	Layer	State	Target	TransitionDuration
Mo1DiaorensanxingMd000001	0	Attack01	Standup	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Walk	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Walkb	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Walkl	0.2
Mo1DiaorensanxingMd000001	0	Attack01	Walkr	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack01	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack02	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack03	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack04	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack05	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack06	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack07	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack08	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack09	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack10	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack11	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack12	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack13	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack14	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack15	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack16	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Attack17	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Behitfly	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Born	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Death	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Falldown	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Hit1	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Hit2	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Hit3	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Hit4	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Hitdown	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Hoverhit	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Lieonfloor	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Run	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Stand1	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Stand2	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Standup	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Walk	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Walkb	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Walkl	0.2
Mo1DiaorensanxingMd000001	0	Attack02	Walkr	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack01	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack02	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack03	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack04	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack05	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack06	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack07	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack08	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack09	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack10	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack11	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack12	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack13	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack14	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack15	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack16	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Attack17	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Behitfly	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Born	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Death	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Falldown	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Hit1	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Hit2	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Hit3	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Hit4	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Hitdown	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Hoverhit	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Lieonfloor	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Run	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Stand1	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Stand2	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Standup	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Walk	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Walkb	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Walkl	0.2
Mo1DiaorensanxingMd000001	0	Attack03	Walkr	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack01	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack02	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack03	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack04	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack05	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack06	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack07	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack08	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack09	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack10	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack11	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack12	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack13	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack14	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack15	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack16	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Attack17	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Behitfly	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Born	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Death	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Falldown	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Hit1	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Hit2	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Hit3	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Hit4	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Hitdown	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Hoverhit	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Lieonfloor	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Run	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Stand1	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Stand2	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Standup	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Walk	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Walkb	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Walkl	0.2
Mo1DiaorensanxingMd000001	0	Attack04	Walkr	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack01	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack02	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack03	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack04	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack05	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack06	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack07	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack08	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack09	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack10	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack11	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack12	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack13	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack14	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack15	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack16	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Attack17	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Behitfly	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Born	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Death	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Falldown	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Hit1	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Hit2	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Hit3	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Hit4	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Hitdown	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Hoverhit	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Lieonfloor	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Run	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Stand1	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Stand2	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Standup	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Walk	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Walkb	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Walkl	0.2
Mo1DiaorensanxingMd000001	0	Attack05	Walkr	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack01	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack02	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack03	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack04	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack05	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack06	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack07	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack08	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack09	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack10	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack11	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack12	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack13	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack14	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack15	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack16	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Attack17	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Behitfly	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Born	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Death	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Falldown	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Hit1	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Hit2	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Hit3	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Hit4	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Hitdown	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Hoverhit	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Lieonfloor	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Run	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Stand1	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Stand2	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Standup	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Walk	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Walkb	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Walkl	0.2
Mo1DiaorensanxingMd000001	0	Attack06	Walkr	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack01	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack02	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack03	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack04	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack05	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack06	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack07	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack08	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack09	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack10	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack11	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack12	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack13	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack14	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack15	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack16	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Attack17	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Behitfly	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Born	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Death	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Falldown	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Hit1	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Hit2	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Hit3	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Hit4	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Hitdown	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Hoverhit	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Lieonfloor	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Run	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Stand1	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Stand2	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Standup	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Walk	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Walkb	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Walkl	0.2
Mo1DiaorensanxingMd000001	0	Attack07	Walkr	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack01	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack02	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack03	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack04	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack05	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack06	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack07	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack08	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack09	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack10	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack11	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack12	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack13	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack14	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack15	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack16	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Attack17	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Behitfly	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Born	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Death	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Falldown	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Hit1	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Hit2	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Hit3	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Hit4	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Hitdown	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Hoverhit	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Lieonfloor	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Run	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Stand1	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Stand2	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Standup	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Walk	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Walkb	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Walkl	0.2
Mo1DiaorensanxingMd000001	0	Attack08	Walkr	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack01	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack02	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack03	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack04	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack05	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack06	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack07	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack08	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack09	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack10	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack11	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack12	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack13	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack14	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack15	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack16	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Attack17	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Behitfly	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Born	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Death	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Falldown	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Hit1	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Hit2	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Hit3	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Hit4	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Hitdown	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Hoverhit	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Lieonfloor	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Run	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Stand1	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Stand2	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Standup	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Walk	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Walkb	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Walkl	0.2
Mo1DiaorensanxingMd000001	0	Attack09	Walkr	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack01	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack02	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack03	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack04	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack05	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack06	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack07	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack08	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack09	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack10	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack11	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack12	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack13	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack14	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack15	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack16	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Attack17	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Behitfly	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Born	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Death	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Falldown	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Hit1	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Hit2	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Hit3	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Hit4	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Hitdown	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Hoverhit	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Lieonfloor	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Run	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Stand1	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Stand2	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Standup	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Walk	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Walkb	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Walkl	0.2
Mo1DiaorensanxingMd000001	0	Attack10	Walkr	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack01	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack02	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack03	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack04	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack05	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack06	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack07	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack08	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack09	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack10	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack11	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack12	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack13	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack14	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack15	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack16	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Attack17	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Behitfly	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Born	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Death	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Falldown	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Hit1	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Hit2	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Hit3	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Hit4	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Hitdown	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Hoverhit	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Lieonfloor	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Run	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Stand1	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Stand2	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Standup	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Walk	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Walkb	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Walkl	0.2
Mo1DiaorensanxingMd000001	0	Attack11	Walkr	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack01	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack02	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack03	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack04	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack05	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack06	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack07	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack08	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack09	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack10	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack11	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack12	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack13	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack14	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack15	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack16	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Attack17	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Behitfly	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Born	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Death	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Falldown	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Hit1	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Hit2	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Hit3	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Hit4	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Hitdown	0.2
Mo1DiaorensanxingMd000001	0	Attack12	Hoverhit	0.2
