Id	Description	ConditionId[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	EnemyBornMagic[1]	EnemyBornMagic[2]	EnemyBornMagic[3]	EnemyBornMagic[4]
22221	Constructs on field gain 3 Signal Orb of the same color every 3s		771673							
22231	Basic Attack's Extra DMG Bonus increases by 15%.		771677							
22241	Increases the Construct's Signature gauge accumulation speed by 1%.		771572							
22251	Limit of Dodge Gauge increases by 700.		773136							
22261	Limit of Dodge Gauge increases by 400.		773135							
22271	Increases the Signature gauge accumulation speed by 2%.		771573							
31071	Movement Speed of enemies increases by 5%-40%. The farther away from the target, the higher the Movement Speed becomes.						780211			
31072	Movement Speed of enemies increases moderately. The farther away from the target, the higher the Movement Speed becomes.						780211			
31073	Movement Speed of enemies increases significantly. The farther away from the target, the higher the Movement Speed becomes.						780211			
32001	Enemies will not be stunned.						780221			
32011	Enemies recover 1% of maximum HP per second.						780231			
32012	Enemies recover 2% of maximum HP per second.						780232			
32013	Enemies recover 3% of maximum HP per second.						780233			
32021	In every 10s, enemies will gain a shield equal to 5% of maximum HP for 3s.						780241			
32022	In every 10s, enemies will gain a shield equal to 10% of maximum HP for 3s.						780242			
32023	In every 10s, enemies will gain a shield equal to 15% of maximum HP for 3s.						780243			
32031	The attacking desire of enemies increases by 33%. When enemies deal damage, 20% chance to deal 33% Extra Damage.						780251			
32032	The attacking desire of enemies increases by 66%. When enemies deal damage, 40% chance to deal 33% Extra Damage.						780252			
32033	The attacking desire of enemies increases by 100%. When enemies deal damage, 60% chance to deal 33% Extra Damage.						780253			
32041	Enemies will explode and deal Physical DMG equal to 45% of their ATK to nearby units before they die.						780261			
32042	Enemies will explode and deal Physical DMG equal to 45% of their ATK to nearby units before they die.						780261			
32043	Enemies will explode and deal Physical DMG equal to 60% of their ATK to nearby units before they die.						780261			
32061	Enemies gain a Shield equal to 15% of their maximum HP. It will break after taking damage equal to that amount.						780281			
32062	Enemies gain a Shield equal to 25% of their maximum HP. It will break after taking damage equal to that amount.						780282			
32063	Enemies gain a Shield equal to 35% of their maximum HP. It will break after taking damage equal to that amount.						780283			
32071	Enemies deal Physical DMG equal to 1% of their ATK to nearby targets every second						780291			
32072	Enemies deal Physical DMG equal to 2% of their ATK to nearby targets every second						780292			
32073	Enemies deal Physical DMG equal to 3% of their ATK to nearby targets every second						780293			
32081	Enemies' Extra DMG Reduction increases by 30% when taking DMG farther than 4m						780301			
32082	Enemies' Extra DMG Reduction increases by 45% when taking DMG farther than 4m						780301			
32083	Enemies' Extra DMG Reduction increases by 60% when taking DMG farther than 4m						780301			
32091	Within the area around each enemy, Extra DMG Bonus of other enemies increases by 20%						780311			
32092							780311			
32093							780311			
32101	When an enemy has fewer than 3 companions around, for each companion lost, Extra DMG Bonus increases by 10%, up to 30%.						780321			
32111	For each companion around, enemies' Extra DMG Bonus increases by 5%. Can be stacked up to 3 times.						780331			
32112	For each companion around, enemies' Extra DMG Bonus increases by 10%. Can be stacked up to 3 times.						780332			
32113	For each companion around, enemies' Extra DMG Bonus increases by 5%. Can be stacked up to 3 times.						780333			
32121	Reduces your DEF by 3% for 10s every time you get hit. Can be stacked up to 10 times.						780341			
32122							780341			
32123							780341			
32131	Every time an enemy gets hit, it has a 10% chance to call down a lightning strike upon the attacker, dealing Lightning DMG equal to 20% of the enemy's ATK. 5s cooldown.						780351			
32132							780351			
32133							780351			
32141	When an enemy gets up after being knocked down, it will create a shock wave to knock away nearby units. 18s cooldown.						780361			
32142	When an enemy gets up after being knocked down, it will create a shock wave to knock away nearby units. 14s cooldown.						780362			
32143	When an enemy gets up after being knocked down, it will create a shock wave to knock away nearby units. 10s cooldown.						780363			
32151	When attacking, enemies will attach a bomb to the target, which will explode after a period of time and deal Physical DMG equal to 45% of their ATK.						780371			
32152							780371			
32153							780371			
32161	Enemies enter stealth mode. They will appear for 3s after taking damage and 5s after dealing damage.						780381			
32162							780381			
32163							780381			
33001	Enemies can use Flash to approach the target every 10s.						780391			
33002	Enemies can use Flash to approach the target every 10s.						780391			
33003	Enemies can use Flash to approach the target every 10s.						780391			
33021	Enemies will split into two units of the same type upon death.						780391			
33031	Enemies will pull the player to them every 16s.						780411			
33032	Enemies will pull the player to them every 12s.						780412			
33033	Enemies will pull the player to them every 8s.						780413			
33061	Each attack has a 30% chance to deal an additional 10% Ice DMG and freeze the target for 1s.						780451			
33062	Each attack has a 60% chance to deal an additional 10% Ice DMG and freeze the target for 1s.						780452			
33063	Each attack has a 100% chance to deal an additional 10% Ice DMG and freeze the target for 1s.						780453			
33091	Ice Energy deals 500 Ice DMG every second		780577							
33101	When dealing DMG, the healing received by the target is reduced by 50% for 3s.						780630			
33102	When dealing DMG, the healing received by the target is reduced by 60% for 4s.						780631			
33103	When dealing DMG, the healing received by the target is reduced by 70% for 5s.						780632			
33111	When dealing DMG, also deals 1% Physical DMG to the target every second and triggers other effects of Damage Affix for 3s.						780670			
33112	When dealing DMG, also deals 1% Physical DMG to the target every second and triggers other effects of Damage Affix for 4s.						780671			
33113	When dealing DMG, also deals 1% Physical DMG to the target every second and triggers other effects of Damage Affix for 5s.						780672			
33121	Generates an energy shield that deals 5% Physical DMG to the attackers. Lasts 3s. 16s cooldown.						780690			
33122	Generates an energy shield that deals 7% Physical DMG to the attackers. Lasts 3s. 16s cooldown.						780691			
33123	Generates an energy shield that deals 10% Physical DMG to the attackers. Lasts 3s. 16s cooldown.						780692			
33131	Your sight distance is reduced by 60% by a haze of smoke for 2s.		772096							
33132	Your sight distance is reduced by 60% by a haze of smoke for 4s.		772097							
33133	Your sight distance is reduced by 60% by a haze of smoke for 6s.		772098							
33141	After triggering a mine, your sight distance is reduced by 60% by a haze of smoke for 2s.						770094			
33142	After triggering a mine, your sight distance is reduced by 60% by a haze of smoke for 4s.						770095			
33143	After triggering a mine, your sight distance is reduced by 60% by a haze of smoke for 6s.						770096			
33151	Triggering a mine will create a burning area. Units that stay inside this area over 1.5s will become burned (emitting an orange glow) and take burning DMG equal to 20% of the caster's ATK per second for 2s. This DMG will not interrupt actions.						772095			
33161	Spawns 3 NPCs around the enemy. All of their stats are 10% of their original ones. Spawned NPCs will not attack and move. The boss receives 80% less damage before all 3 NPCs are destroyed.						770083			
33162	Spawns 3 NPCs around the enemy. All of their stats are 20% of their original ones. Spawned NPCs will not attack and move. The boss receives 80% less damage before all 3 NPCs are destroyed.						770084			
33163	Spawns 3 NPCs around the enemy. All of their stats are 30% of their original ones. Spawned NPCs will not attack and move. The boss receives 80% less damage before all 3 NPCs are destroyed.						770085			
33171	When the attack effect is stacked to 5 times, you will be stunned for 1s. After that, the stacks will start counting up again after 8s.						770076			
33172	When the attack effect is stacked to 3 times, you will be stunned for 1s. After that, the stacks will start counting up again after 8s.						770079			
33181	Your attacks increase Ice DMG by 45% for 8s. 8s cooldown.						770566			
33191	Phase 3 Babel Environment Affix									
33201	Dealing DMG has a 15% chance to inflict "Corruption" for 5s. Cannot be stacked. 8s cooldown on each enemy.						773085			
33211	There will be an increased amount of enemies.		772094							
33221	Enemy attacks have a 10% chance to deal additional 10% Lightning DMG and inflict "Electrocute".		772101							
33222	Enemy attacks have a 15% chance to deal additional 15% Lightning DMG and inflict "Electrocute".		772101							
33223	Enemy attacks have a 20% chance to deal additional 20% Lightning DMG and inflict "Electrocute".		772101							
33231	Enemies gain 15% ATK for every 20% HP lost.						772093			
33241	Enemy attacks have a 10% chance to deal additional 10% Dark DMG and stun their target for 1s.		772100							
33242	Enemy attacks have a 15% chance to deal additional 15% Dark DMG and stun their target for 1s.		772100							
33243	Enemy attacks have a 20% chance to deal additional 20% Dark DMG and stun their target for 1s.		772100							
33251	Enemy attacks have a 10% chance to deal additional 10% Ice DMG and freeze their target for 1s.		772099							
33252	Enemy attacks have a 15% chance to deal additional 15% Ice DMG and freeze their target for 1s.		772099							
33253	Enemy attacks have a 20% chance to deal additional 20% Ice DMG and freeze their target for 1s.		772099							
40000	Extra DMG Bonus increases by 8%		761138							
40001	Extra DMG Bonus increases by 16%		761139							
40002	Extra DMG Bonus increases by 24%		761140							
40003	Extra DMG Bonus increases by 32%		761141							
40004	Extra DMG Bonus increases by 40%		761142							
40005	Extra DMG Bonus increases by 48%		761143							
40006	Extra DMG Bonus increases by 56%		761144							
40007	Extra DMG Bonus increases by 64%		761145							
40008	Extra DMG Bonus increases by 72%		761146							
40009	Extra DMG Bonus increases by 80%. Starting Energy increases by 50.		761147	761188						
40010	Extra DMG Bonus increases by 88%. Starting Energy increases by 50.		761148	761188						
40011	Extra DMG Bonus increases by 96%. Starting Energy increases by 50.		761149	761188						
40012	Extra DMG Bonus increases by 104%. Starting Energy increases by 50.		761150	761188						
40013	Extra DMG Bonus increases by 112%. Starting Energy increases by 50.		761151	761188						
40014	Extra DMG Bonus increases by 120%. Starting Energy increases by 50.		761152	761188						
40015	Extra DMG Bonus increases by 128%. Starting Energy increases by 50.		761153	761188						
40016	Extra DMG Bonus increases by 136%. Starting Energy increases by 50.		761154	761188						
40017	Extra DMG Bonus increases by 144%. Starting Energy increases by 50.		761155	761188						
40018	Extra DMG Bonus increases by 152%. Starting Energy increases by 50.		761156	761188						
40019	Extra DMG Bonus increases by 160%. Starting Energy increases by 100.		761157	761189						
40020	Extra DMG Bonus increases by 168%. Starting Energy increases by 100.		761158	761189						
40021	Extra DMG Bonus increases by 176%. Starting Energy increases by 100.		761159	761189						
40022	Extra DMG Bonus increases by 184%. Starting Energy increases by 100.		761160	761189						
40023	Extra DMG Bonus increases by 192%. Starting Energy increases by 100.		761161	761189						
40024	Extra DMG Bonus increases by 200%. Starting Energy increases by 100.		761162	761189						
41001	Extra DMG Bonus increases by 3%		761163							
41002	Extra DMG Bonus increases by 3%		761163							
41003	Extra DMG Bonus increases by 3%		761163							
41004	Extra DMG Bonus increases by 3%		761163							
41005	New event available		701047							
41006	Extra DMG Bonus increases by 3%		761163							
41007	Extra DMG Bonus increases by 3%		761163							
41008	Extra DMG Bonus increases by 3%		761163							
41009	Extra DMG Bonus increases by 3%		761163							
41010	New event available		701048							
41011	Extra DMG Bonus increases by 3%		761163							
41012	Extra DMG Bonus increases by 3%		761163							
41013	Extra DMG Bonus increases by 3%		761163							
41014	Extra DMG Bonus increases by 3%		761163							
41015	New event available		701049							
41016	Extra DMG Bonus increases by 3%		761163							
41017	Extra DMG Bonus increases by 3%		761163							
41018	Extra DMG Bonus increases by 3%		761163							
41019	Extra DMG Bonus increases by 3%		761163							
41020	New event available		701050							
41021	Extra DMG Bonus increases by 3%		761163							
41022	Extra DMG Bonus increases by 3%		761163							
41023	Extra DMG Bonus increases by 3%		761163							
41024	Extra DMG Bonus increases by 3%		761163							
41025	Chance to unleash bonus [Lightning Bolt] on attacks (normal mode only).		701051							
51001	Basic Attack's Extra DMG Bonus increases by 15%.		773000	773261						
51002	Basic Attack's Extra DMG Bonus increases by 30%.		773001	773261						
51003	Basic Attack's Extra DMG Bonus increases by 45%.		773002	773261						
51004	Skill's Extra DMG Bonus increases by 10%.		773006	773261						
51005	Skill's Extra DMG Bonus increases by 20%.		773007	773261						
51006	Skill's Extra DMG Bonus increases by 30%.		773008	773261						
51007	Melee DMG reduces the target's DEF by 10%		773012	773261						
51008	Melee DMG reduces the target's DEF by 20%		773013	773261						
51009	Melee DMG reduces the target's DEF by 30%		773014	773261						
51010	Ranged DMG reduces the target's Movement Speed by 20%		773018	773261						
51011	Ranged DMG reduces the target's Movement Speed by 40%		773019	773261						
51012	Ranged DMG reduces the target's Movement Speed by 60%		773020	773261						
51013	Attacks reduce target's damage by 40% for 5s.		773027	773261						
51014	Increases damage by 30% upon dealing damage for 10s. 15s cooldown.		773034	773261						
51015	20% chance to gain a shield that absorbs damage equal to 15% of max HP upon dealing damage. The shield lasts 5s and has an 8s cooldown.		773041	773261						
51016	Attacks have a 10% chance to stun enemy for 1.5s and deal 500% bonus Physical Damage. 6s cooldown.		773048	773261						
51017	Dealing Elemental DMG has a 15% chance to inflict Burn for 5s. Cannot be stacked. 8s cooldown on each enemy.		773055	773261						
51018	Dealing Elemental DMG has a 15% chance to inflict Electrocute for 5s. Cannot be stacked. 8s cooldown on each enemy.		773065	773261						
51019	Dealing Elemental DMG has a 15% chance to inflict Freeze for 5s. Cannot be stacked. 8s cooldown on each enemy.		773075	773261						
51020	Dealing Elemental DMG has a 15% chance to inflict Corruption for 5s. Cannot be stacked. 8s cooldown on each enemy.		773085	773261						
51021	Signature Move's Extra DMG Bonus increases by 15%.		773095	773261						
51022	Signature Move's Extra DMG Bonus increases by 30%.		773096	773261						
51023	Signature Move's Extra DMG Bonus increases by 45%.		773097	773261						
51024	Basic Attack generates 1 more Energy		773108	773261						
51025	Basic Attack generates 2 more Energy		773109	773261						
51026	Basic Attack generates 3 more Energy		773110	773261						
51027	Gain 10s Super Armor and 20% Extra Damage Bonus after casting a Signature Move.		773114	773261						
51028	After summoning a QTE, unleash a shockwave within 6m that deals 300% Physical Damage.		773117	773261						
51029	After summoning a QTE, unleash a shockwave within 6m that deals 450% Physical Damage.		773118	773261						
51030	After summoning a QTE, unleash a shockwave within 6m that deals 600% Physical Damage.		773119	773261						
51031	Heals the Construct for 2.5% of maximum HP upon triggering the QTE		773123	773261						
51032	Heals the Construct for 5% of maximum HP upon triggering the QTE		773124	773261						
51033	Heals the Construct for 7.5% of maximum HP upon triggering the QTE		773125	773261						
51034	QTE cooldown decreases by 1s		773129	773261						
51035	QTE cooldown decreases by 2s		773130	773261						
51036	QTE cooldown decreases by 3s		773131	773261						
51037	QTE cooldown decreases by 1/2/3s		773132	773261						
51038	Limit of Dodge Gauge increases by 400.		773135	773261						
51039	Limit of Dodge Gauge increases by 700.		773136	773261						
51040	Limit of Dodge Gauge increases by 1000.		773137	773261						
51041	Gain 1 Signal Orb after a successful Extreme Dodge.		773138	773261						
51042	Dodge increases Movement Speed by 10% for 5s. Can be stacked up to 5 times.		773140	773261						
51043	20% chance to drop a Red Orb after defeating an enemy.			773261			773143			
51044	40% chance to drop a Red Orb after defeating an enemy.			773261			773144			
51045	60% chance to drop a Red Orb after defeating an enemy.			773261			773145			
51046	20% chance to drop a Blue Orbs after defeating an enemy.			773261			773150			
51047	40% chance to drop a Blue Orbs after defeating an enemy.			773261			773151			
51048	60% chance to drop a Blue Orb after defeating an enemy.			773261			773152			
51049	20% chance to drop a Yellow Orb after defeating an enemy.			773261			773156			
51050	40% chance to drop a Yellow Orb after defeating an enemy.			773261			773157			
51051	60% chance to drop a Yellow Orb after defeating an enemy.			773261			773158			
51052	Gains a Red Orb in every 20s.		773162	773261						
51053	Gains a Red Orb in every 15s.		773163	773261						
51054	Gains a Red Orb in every 10s.		773164	773261						
51055	Gains a Yellow Orb in every 20s.		773166	773261						
51056	Gains a Yellow Orb in every 15s.		773167	773261						
51057	Gains a Yellow Orb in every 10s.		773168	773261						
51058	Gains a Blue Orb in every 20s.		773170	773261						
51059	Gains a Blue Orb in every 15s.		773171	773261						
51060	Gains a Blue Orb in every 10s.		773172	773261						
51061	Pinging 1 Signal Orb generates 1/1/2 more Energy		773101	773261						
51062	Pinging 2 Signal Orbs generates 1/2/3 more Energy		773102	773261						
51063	Pinging 3 Signal Orbs generates 2/3/4 more Energy		773103	773261						
51064	For every Orb cleared, increases Extra Damage Bonus by 3% for 5s. Stacks up to 10 times.		773174	773261						
51065	Upon entering Matrix, unleash a shockwave within 12m that deals 600% Physical Damage.		773181	773261						
51066	Upon entering Matrix, unleash a shockwave within 12m that deals 900% Physical Damage.		773182	773261						
51067	Upon entering Matrix, unleash a shockwave within 12m that deals 1200% Physical Damage.		773183	773261						
51068	Construct will be immune to any DMG when in Matrix		773187	773261						
51069	Heals all Constructs for 7.5% of maximum HP at the end of battle	773195	773189	773261						
51070	Heals all Constructs for 15% of maximum HP at the end of battle	773195	773190	773261						
51071	Heals all Constructs for 22.5% of maximum HP at the end of battle	773195	773191	773261						
51072	Extra DMG Bonus increases by 10% when attacking from behind.		773196	773261						
51073	Extra DMG Bonus increases by 20% when attacking from behind.		773197	773261						
51074	Extra DMG Bonus increases by 30% when attacking from behind.		773198	773261						
51075	Extra Damage Bonus increases by 10%/20%/30% for 5s when Combo is greater than 40/80/120.		773202	773261						
51076	Healing effect increases by 5%		773207	773261						
51077	Healing effect increases by 10%		773208	773261						
51078	Healing effect increases by 15%		773209	773261						
51079	Heals Tank-type Constructs for 0.75% of their HP every second.		773210	773261						
51080	Heals Tank-type Constructs for 1.5% of their HP every second.		773211	773261						
51081	Heals Tank-type Constructs for 2.25% of their HP every second.		773212	773261						
51082	Increases Extra DMG Bonus by 15% and Extra DMG Reduction by 15%.		773216	773261						
51083	Each time a Construct is defeated, increases the Extra Damage Bonus of other Constructs by 30%.		773219	773261						
51084	All Constructs have full Energy at the start of battle.		773222	773261						
51085	After landing a critical hit, increases Extra Damage Bonus by 3% for 5s. Stacks up to 10 times.		773223	773261						
51086	Heals 5% HP upon killing an enemy.		773226	773261						
51087	For every 1m after 2.5m from the target, Extra Damage Reduction will be increased by 20%. (Up to 80%)		773228							
51088	For every 1m after 4m from the target, Extra Damage Reduction will be increased by 20%. (Up to 80%)		773234							
51089	All deployed Constructs take DMG every second		773239							
51090	Movement Speed decreases by 30%		773241							
51091	Dodge Gauge consumption is reduced by 50%		773244							
51092	QTE will not deal DMG		773245							
51093	Enemies will not be slowed down in Matrix.						773248			
51094	No weapon resonance effects		773249							
51095	Healing effect is reduced by 50%		773250							
51096	When an enemy dies, it will increase other enemies' Extra DMG Bonus by 25%.						773251			
51097	All attributes of the enemies are boosted by 30%						773253			
51098	HP and ATK increase by 5%.		773261							
52001	100% chance to drop 1 random Signal Orb after defeating an enemy.		773263	773261						
52002	100% chance to drop 2 random Signal Orbs after defeating an enemy.		773264	773261						
52003	100% chance to drop 3 random Signal Orbs after defeating an enemy.		773265	773261						
52004	Give 3 random Signal Orbs of the same color to the character in battle every 10s.		773269							
52005	Give an extra random Signal Orb when entering battle for the first time.		773270							
52006	Give 20 bonus energy each time when the character is deployed.		773271							
52007	Reduce target's Elemental Resistance by 10% upon dealing damage.		773273	773261						
52008	Reduce target's Elemental Resistance by 20% upon dealing damage.		773274	773261						
52009	Reduce target's Elemental Resistance by 30% upon dealing damage.		773275	773261						
52010	Healing effect increases by 15%. Increases the Extra Damage Bonus of targets healed by 20% for 5s.		773279							
52011	Characters in combat gain 8% CRIT every second. After landing a critical hit, gain "Guaranteed Critical" effect for 2s. This effect has a 15s cooldown.		773284							
52012	Characters in combat gain 3 Energy every second.		773282							
52013	Basic Attacks deal additional Ice DMG equal to 50% of self ATK.		773300							
52014	Basic Attacks deal additional Ice DMG equal to 70% of self ATK.		773301							
52015	Basic Attacks deal additional Ice DMG equal to 100% of self ATK.		773302							
52016	Basic Attacks deal additional Dark DMG equal to 50% of self ATK.		773303							
52017	Basic Attacks deal additional Dark DMG equal to 70% of self ATK.		773304							
52018	Basic Attacks deal additional Dark DMG equal to 100% of self ATK.		773305							
52019	Ice DMG increases by 10%.		773306							
52020	Ice DMG increases by 20%.		773307							
52021	Ice DMG increases by 30%.		773308							
52022	Dark DMG increases by 10%.		773309							
52023	Dark DMG increases by 20%.		773310							
52024	Dark DMG increases by 30%.		773311							
52025	Dealing Ice DMG has a 20% chance to grant self an ice shield equal to 50% of max HP. Immune to any attacks when the shield exists. CD: 15s.		773312							
52026	Dealing Ice DMG has a 20% chance to grant self an ice shield equal to 75% of max HP. Immune to any attacks when the shield exists. CD: 15s.		773313							
52027	Dealing Ice DMG has a 20% chance to grant self an ice shield equal to 100% of max HP. Immune to any attacks when the shield exists. CD: 15s.		773314							
52031	Ice DMG has a 10% chance to freeze the enemy for 3s. It can only be triggered once per 13s.		773318							
52032	Ice DMG has a 20% chance to freeze the enemy for 3s. It can only be triggered once per 13s.		773319							
52033	Ice DMG has a 30% chance to freeze the enemy for 3s. It can only be triggered once per 13s.		773320							
