Id	Name	SkillType	CastTime	AfterTime	Animation	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
904509	正义降临-升		0.867	0	Attack09			10	4				0	
904510	待机挑衅		4.7	0	Attack10			10	0				0	
904511	链钩假动作		4.533	0	Attack11			10	0				0	
904512	跳跃出生动作1		2.967	0	Attack12	700249|710077		10	4				0	
904513	喷射冲锋撞人结束		2.033	0	Attack13	700031|730020		10	4				0	
904514	正义降临-落		2.433	0	Attack14	700031|710077|700249		10	0				1	
904515	喷射冲锋		3	0	Attack06			10	6				0	
904516	跳跃出生动作2		2.967	0	Attack12	710077|700249		10	4				0	
904517	降落出生动作		2.433	0	Attack14	700031|710077|700249		10	0				1	
904551	玩家操作-冲锋前摇		0.8	0	Attack05			10	0				0	
904552	玩家操作-链勾		1.867	0	Attack03			10	0				0	
904553	玩家操作-buff		1	0	Attack01			10	2				0	
904554	玩家操作-战斧斜劈		1.6	0.7	Attack01			10	5				0	
904555	玩家操作-战斧上挑		1.6	0.6	Attack02			10	5				0	
904556	玩家操作-冲锋		9999	0	Attack06	904555|904556|904557|904558|904529|904578		10	6				4	
904557	玩家操作-正义降临-升		999	0	Attack09			10	7				0	
904558	结算动作		3.5	0	Attack10			10	0				0	
904559	玩家操作-正义降临-落		2.44	0	Attack14	700031|710077|700249		10	0				1	
904560	玩家操作-链钩回拽		0.76	0.5	Attack04			10	0				0	
904561	玩家操作-撞人结束		1.2	0.833	Attack13	700031|730020		10	4				0	
904562	玩家操作-跳跃出生动作		2.967	0	Attack12	700249|710077		10	4				0	
904563	玩家操作-冲锋		9999	0	Attack06	904555|904556|904557|904558|904529|904578		10	1				2	
904601	蓄能炮		3.533	0	Attack01			10	0				4	
904602	待机挑衅		4.4	0	Attack02			10	0				0	
904603	冷气喷射-准备		0.8	0	Attack03			10	0				0	
904604	冷气喷射-前		1.133	0	Attack04	904605		10	1				0	
904605	冷气喷射-后		1.133	0	Attack05	904605		10	1				0	
904606	冷气喷射-右		1.133	0	Attack06	904605		10	1				4	
904607	冷气喷射-左		1.133	0	Attack07	904605		10	1				4	
904608	冷气喷射-收回		1.167	0	Attack08	700031		10	0				0	
904609	爆炸飞跃		2.733	0	Attack09	700031		10	4				0	
904610	后跳		1.667	0	Attack10	700031		10	1				0	
904611	转向		0.9	0	Attack11	700031		10	0				4	
904612	机枪扫射		2.967	0	Attack12			10	0				0	
904613	出生动作		2.833	0	Attack13	710077|700249		10	4				0	
904614	趴地		0.167	0	Lieonfloor			10	0				0	
904615	出生动作2		2.833	0	Attack13	710077|700249		10	4				0	
904616	出生动作3		2.833	0	Attack13	710077|700249		10	4				0	
