Id	Name	SkillType	CastTime	AfterTime	Animation	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
835060	隠密		0.5	0	Attack61	800171|800050			2		0		4	
835061	左回避		1.8	0	Attack61	800171|800043			6		0		4	
835062	右回避		1.8	0	Attack62	800171|800043			6		0		4	
835063	前方回避		1.434	0	Attack63	800171|800043			6		0		4	
835064	後方回避		1.534	0	Attack64	800171|800043			6		0		4	
835065	Z回避 左		1	0	Attack65	800171|800043|800050			2		0		0	
835066	Z回避 右		1	0	Attack66	800171|800043|800050			2		0		0	
835067	Z回避 前		1.5	0	Attack67	800171|800043|800050			2		0		0	
835200	出現動作		3.467	0	Born				6		0		4	
835201	合掌		2.233	0	Attack01				6		0		4	
835202			2.677	0	Attack02				6		0		4	
835203			3.333	0	Attack03				6		0		4	
835204	顶三下		3.1	0	Attack04				6		0		4	
835205			1.833	0	Attack12				6		0		4	
835206	大量円陣		3.167	0	Attack06				6		0		4	
835207			3.833	0	Attack07				6		0		4	
835208			6	0	Attack08				6		0		4	
835211	捕縛		2.633	0	Attack11				5		0		4	
835212			1.833	0	Attack12				6		0		4	
835213	镰刀普攻1		2.67	0	Attack13				6		0		4	
835214	大鎌通常攻撃2		2.34	0	Attack14				6		0		4	
835215	前方回避		0.5	0	Move1				6		1		4	
835216	後方回避		0.5	0	Move2				6		0		4	
835221	锤子		0.1	0	Stand2				6		0		4	
835222	画圈放毒		0.1	0	Stand2				6		0		4	
835223	画圈吸人		0.1	0	Stand2				6		0		4	
835231	护盾阶段：起手		1	0	Attack31				5		0		4	
835232	护盾阶段：循环		999	0	Attack32				5		0		4	
835233	护盾阶段：崩溃		5	0	Attack33				5		0		4	
