Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	HitFlyHeight1	HitFlyHeight2	HitFlyTime1	HitFlyTime2	HitFlyTime3	OriginType	ImmuneHitValue	Acceleration
835011021	3	0.8	0.2		20	0.8	1	0.25	0.1	0.5	0.2	1	1	-15
835012011	5	0.6	0.2									1		
835012021	3	0.8	0.2		20	0.8	1	0.25	0.1	0.5	0.2	1	1	-15
835013011	5	0.5	0.2									1		
835013021	3	0.5	0.7		20	0.5	1	0.25	0.1	0.2	0.2	1	1	-5
835014011	5	0.6	0.2									1		
835021111	3	0.5	0.2		10	0.5	1	0.25	0.1	0.2	0.2	1	1	5
835022111	3	0.5	0.2		10	0.5	1	0.25	0.1	0.2	0.2	1	1	5
835023111	3	0.5	0.2		10	0.5	1	0.25	0.1	0.2	0.2	1	1	5
835023121	3	0.5	0.2		10	0.5	1	0.25	0.1	0.2	0.2	1	1	5
835023131	3	0.5	0.2		10	0.5	1	0.25	0.1	0.2	0.2	1	1	5
835030011	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
835031011	7	0.5	0.2									1		
835032011	5	0.5	0.2									1		
835032031	3	0.5	0.2		20	0.5	1.6	0.25	0.1	0.2	0.2	1	1	-5
835033011	3	0.8	0.5				0.7	0.25	0.1	0.5	0.2	1	1	
835033021	1	0.5	0.5									1	0	
835033031	3	0.5	0.2		20	0.5	0.8	0.25	0.1	0.2	0.2	1	1	-5
835041011	5	0.8	0.2									1		
835042011	6	0.8	0.2									1		
835043011	7	0.8	0.2									1		
835044111	3	0.5	0.2		10	0.5	1	0.25	0.1	0.2	0.2	1	1	5
835045111	3	0.5	0.2		10	0.5	1	0.25	0.1	0.2	0.2	1	1	5
835046111	3	0.5	0.2		10	0.5	1	0.25	0.1	0.2	0.2	1	1	5
835051011	1	0.4	0.2									1	0	
835051021	2	0.3	0.2									1	0	
835051031	3	0.8	0.2		20	0.8	0.5	0.25	0.1	0.5	0.2	1	1	-5
835052011	3	1.3	0.2				1	0.25	0.3	0.5	0.5	1	1	
835052021	1	0.3	0.2									1	0	
835052031	3	0.4	0.2		30	0.4	0	0.25	0	0.2	0.2	1	1	-5
835053011	3	1.3	0.2				1	0.25	0.3	0.5	0.5	1	1	
835201111	3	0.8	0.2				1.5	0.25	0.1	0.5	0.2	1	1	
835204111	3	0.8	0.2		10	0.8	1	0.25	0.1	0.5	0.2	1	1	-5
835204131	3	0.8	0.2		10	0.8	0.5	0.25	0.1	0.5	0.2	1	1	-5
835204151	3	0.8	0.2		10	0.8	0.5	0.25	0.1	0.5	0.2	1	1	-5
835211111	1	0.7	0.2									1	0	
835211121	3	0.5	0.2		10	0.5	1	0.25	0.1	0.2	0.2	1	1	5
835213011	5	0.5	0.2									1		
835213021	3	0.8	0.2		10	0.8	1	0.25	0.1	0.5	0.2	1	1	-5
835214011	1	0.5	0.2									1	0	
835214021	6	0.5	0.2		20	0.2						1		-15
835221031	7	0.8	0.2									1		
835222111	3	0.8	0.2		20	0.8	0.8	0.25	0.1	0.5	0.2	1	1	-5
835222121	3	0.8	0.2		20	0.8	0.8	0.25	0.1	0.5	0.2	1	1	-5
835222131	3	0.8	0.2		20	0.8	0.8	0.25	0.1	0.5	0.2	1	1	-5
