Id	Name	Desc	ConsumeId	ConsumeCount	RewardId	MailId	MailCount	DailyRewardId	DailyRewardCount	PrePurchaseId	ConditionId[1]	ConditionId[2]	TimeToEffectStr	TimeToInvalidStr	ShelvesType	ShelvesDays	BuyLimitTimes	BuyLimitType	BuyLimitParam	Icon	IsSellOutShow	Tag	UiType	Priority	LogType	PayKeySuffix	MutexPurchaseIdStr
22	Weapon Enhance Wk Card	1 per day for 7 days	5	39		90003	7						2021/7/15 7:00		1	[1,2,3,4,5]	1	1	10001	UioWMaterial	1		6	50200	3		
23	Memory Enhance Wk Card	1 per day for 7 days	5	39		90004	7						2021/7/15 7:00		1	[1,2,3,4,5]	1	1	10001	UioCMaterial	1		6	50300	3		
24	Cogs	Cogs	5	30	90020								2019/1/1 5:00	2020/1/1 9:59			1	0		UioMoney	1		6	50400	3		
25	Blueprint Bundle	Blueprint Bundle	5	30	90021								2021/7/15 7:00							UioSkinD	0		7	30500	3		
26	Decor Coin Bundle	Decor Coin Bundle	5	60	90022								2021/7/15 7:00							UioFCoin	0		7	50500	3		
10000	Monthly Pass	Sign-in daily to get a total of <color=#ff8338>100</color> Black Cards	5	30	91000			91001	30				2019/1/1 5:00	2020/1/1 9:59				3	30	UiCardMonthA	1	1	2		2		
27	Weekly Value Pack	Weekly Value Pack	5	59	90024								2019/1/1 5:00	2020/1/1 9:59			1	1	10001	UioXingjia	1		5	10800	3		
28	Construct 10x Material Pack	Construct 10x Material Pack	5	88	90025								2019/1/1 5:00	2020/1/1 9:59			1	0		UioShilian			5	10400	3		
29	Construct Research Supply Pack	Construct Research Supply Pack	5	35	90026								2019/1/1 5:00	2020/1/1 9:59			2	0		UioYanfa			5	10100	3		
30	Gray Feather Series Pick	Gray Feather Series Pick	5	126	90027								2019/1/1 5:00	2020/1/1 9:59			3	0		UioZhixuan			7	30100	3		
31	Shooting Star - Nanami: Pulse	Nanami: Pulse Coating - Shooting Star	5	154	6510305								2019/1/1 5:00	2020/1/1 9:59			1	0		UioPifu31		14	7	30110	3		
32	Gray Feathers - Nanami: Pulse	Nanami: Pulse Coating - Gray Feathers	5	154	6510304								2019/1/1 5:00	2020/1/1 9:59			1	0		UioPifu32		14	7	30120	3		
33	Gray Feathers - Karenina: Blaster	Karenina: Blaster Coating - Gray Feathers	5	126	6710104								2019/1/1 5:00	2020/1/1 9:59			1	0		UioPifu33		14	7	30130	3		
34	Gray Feathers - Lee: Thermite	Lee: Thermite Coating - Gray Feathers	5	98	6110104								2019/1/1 5:00	2020/1/1 9:59			1	0		UioPifu34		14	7	30140	3		
35	Ashen End - Lee: Random	Lee: Random Coating - Ashen End	5	154	6110305								2019/1/1 5:00	2020/1/1 9:59			1	0		UioPifu35		14	7	30110	3		
36	Gray Feathers - Lee: Random	Lee: Random Coating - Gray Feathers	5	98	6110304								2019/1/1 5:00	2020/1/1 9:59			1	0		UioPifu36		14	7	30120	3		
37	Gothic Sentinel - Lucia: Dawn	Lucia: Dawn Coating - Gothic Sentinel	5	154	6210204								2019/1/1 5:00	2020/1/1 9:59			1	0		UioPifu37		14	7	30130	3		
38	Gray Feathers - Lucia: Dawn	Lucia: Dawn Coating - Gray Feathers	5	154	6210205								2019/1/1 5:00	2020/1/1 9:59			1	0		UioPifu38		14	7	30140	3		
39	Gray Feathers - Liv: La Paix	Liv: La Paix Coating - Gray Feathers	5	154	6310305								2019/1/1 5:00	2020/1/1 9:59			1	0		UioPifu39		14	7	30110	3		
40	Demon Gear - Karenina: Ember	Karenina: Ember Coating - Demon Gear	5	154	6710305								2019/1/1 5:00	2020/1/1 9:59			1	0		UioPifu40		14	7	30120	3		
41	Gray Feathers - Karenina: Ember	Karenina: Ember Coating - Gray Feathers	5	126	6710304								2019/1/1 5:00	2020/1/1 9:59			1	0		UioPifu41		14	7	30130	3		
42	Gray Feathers - Liv: Lux	Liv: Lux Coating - Gray Feathers	5	154	6310204								2019/1/1 5:00	2020/1/1 9:59			1	0		UioPifu42		14	7	30140	3		
46	Adventurous Spirit - Brilliance	Ayla: Brilliance Coating - Adventurous Spirit	5	98	6910104								2021/9/24 8:00	2021/10/11 7:59			1	0		UioPifu46		14	7	20215	3		
47	Aster Hare - Brilliance	Ayla: Brilliance Coating - Aster Hare	5	126	6910105								2021/9/24 8:00	2021/10/11 7:59			1	0		UioPifu47		14	7	20216	3		
48	Field Training - Astral	Watanabe: Astral Coating - Field Training	5	98	6810304								2021/9/10 8:00	2021/10/11 7:59			1	0		UioPifu48		14	7	20217	3		
49	Skyline Trial - Astral	Watanabe: Astral Coating - Skyline Trial	5	126	6810305								2021/9/10 8:00	2021/10/11 7:59			1	0		UioPifu49		14	7	20219	3		
51	Shadow Vanguard - Tenebrion	Kamui: Tenebrion Coating - Shadow Vanguard	5	98	6610305								2021/9/9 2:00	2021/10/11 7:59			1	0		UioPifu51		14	7	20220	3		
52	[100 days] Serum Daily Supply	[100 days] Serum Daily Supply			90091								2021/10/24 8:00	2021/11/7 6:59			1	1	10000	UioDay	1	10	6	5000	3		
1004	[Teatime] Blueprint Bundle	[Teatime] Blueprint Bundle	5	20	90034								2021/9/9 2:00	2021/10/11 7:59			1	0		Uiojiaju47		14	7	30240	3		
1005	[Teatime] Set Bundle	[Teatime] Set Bundle	5	68	90035								2021/9/9 2:00	2021/10/11 7:59			1	0		Uiojiaju48		14	7	30250	3		
83001	ブーストパック	ブーストパック	5	100	2000000								2019/1/1 5:00	2020/1/1 9:59			1	0		UiPurchaseIconDh648			6	12000	3		
83002	ブーストパック	ブーストパック	5	100	2000001					83001			2019/1/1 5:00	2020/1/1 9:59			1	0		UiPurchaseIconDh648			6	11999	3		
83003	ブーストパック	ブーストパック	5	100	2000002					83002			2019/1/1 5:00	2020/1/1 9:59			1	0		UiPurchaseIconDh648			6	11998	3		
83004	オトクパック	オトクパック	5	5	2000003								2019/1/1 5:00	2020/1/1 9:59			1	1	10000	UiPurchaseIconDh30			6	11997	3		
83005	Newbie Bundle	Newbie Bundle	3	30	2000004								2021/6/25 2:00	2021/7/5 23:59			1	0		UiB25			5	11996	3		
83006	Close-beta Bundle	Close-beta Bundle				11	1						2021/6/25 2:00	2021/7/5 23:59			1	0		UiB35			5	11995	3		
2000000	月間カードB	1日1枚支給×30日間			2000006	13000010	30						2019/1/1 5:00	2020/1/1 9:59				2	30	UiCardMonthB	1		2		2		
2000001	週間カードA	1日1枚支給×7日間			2000006	13000020	7						2019/1/1 5:00	2020/1/1 9:59				2	7	UiCardWeekA	1		13		2		
2000002	週間カードB	1日1枚支給×7日間			2000006	13000030	7						2019/1/1 5:00	2020/1/1 9:59				2	7	UiCardWeekB	1		13		2		
2000003	連日券	1日1枚支給×3日間			2000006	13000040	3						2019/1/1 5:00	2020/1/1 9:59				2	3	UiCardDay	1		14		2		
2000004	Lv25特別パック	Lv25特別パック	3	30	2000007						8000		2019/1/1 5:00	2020/1/1 9:59			1	0		UiB25			6	11995	4		
2000005	Lv35特別パック	Lv35特別パック	3	80	2000008						8001		2019/1/1 5:00	2020/1/1 9:59			1	0		UiB35			6	11996	4		
2000006	Lv45特別パック	Lv45特別パック	3	150	2000009						8002		2019/1/1 5:00	2020/1/1 9:59			1	0		UiB55			6	11997	4		
2000007	Lv55特別パック	Lv55特別パック	3	250	2000010						8003		2019/1/1 5:00	2020/1/1 9:59			1	0		UiB70			6	11998	4		
2000008	角色研发补给	角色研发补给			2000074								2019/1/1 5:00	2020/1/1 9:59			1	0		UiB25			6	11000	4		
2000009	Monthly 6★ Memory Shard Pack	Monthly 6★ Memory Shard Pack	5	34	2000075								2021/10/12 2:00				3	1	10004	En_Libao06	1	1	5	10500	3		
2000010	超高性价比材料补给	超高性价比材料补给			2000076								2019/1/1 5:00	2020/1/1 9:59			1	0		UiB25			6	11002	4		
2000011	武器狙击礼包	武器狙击礼包			2000077								2019/1/1 5:00	2020/1/1 9:59			1	0		UiB25			6	11003	4		
2000012	每月活动角色研发卷	每月活动角色研发卷			2000078								2019/1/1 5:00	2020/1/1 9:59			1	0		UiB25			6	11004	4		
2000013	每周性价比礼包	每周性价比礼包			2000079								2019/1/1 5:00	2020/1/1 9:59			1	0		UiB25			6	11005	4		
83011	塗装選択パック	塗装選択パック			2000070								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao1			7	30100	3		
83012	サイバー家具図面パック	サイバー家具図面パック			2000071								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao2			7	30250	3		
83013	カフェ風家具図面パック	カフェ風家具図面パック			2000013								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao3			7	30350	3		
83014	カフェ風家具フルパック	カフェ風家具フルパック			2000015								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao4			7	30300	3		
83015	Lv25応援パック	Lv25応援パック			2000030						8000		2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao5			6	11100	3		
83016	Lv35応援パック	Lv35応援パック			2000019					83015	8001		2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao6			6	11300	3		
83017	Lv45応援パック	Lv45応援パック			2000021					83016	8002		2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao7			6	11500	3		
83018	Lv55応援パック	Lv55応援パック			2000023					83017	8003		2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao8			6	11700	3		
83019	週間カードA	1日1セット支給×7日間				13000050	7						2019/1/1 5:00	2020/1/1 9:59				2	7	Jp_WeeksCardA	1		13		2		
83020	週間カードB	1日1セット支給×7日間				13000060	7						2019/1/1 5:00	2020/1/1 9:59				2	7	Jp_WeeksCardB	1		13		2		
83021	初心者武器開発パック	1日1枚支給×10日間			2000024	13000070	10						2019/1/1 5:00	2020/1/1 9:59			1	0		UioWDrew		2	5	10000	3		
83022	月間星6意識パック	月間星6意識パック			2000025								2019/1/1 5:00	2020/1/1 9:59			3	1	10004	UiLieche05	1		5	10200	3		
83023	初心者開発パック	初心者開発パック			2000026								2019/1/1 5:00	2020/1/1 9:59			2	0		Jp_Libao9			5	10100	3		
83024	初心者5日パス	1日1セット支給×5日間				13000080	5						2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_DaysCard5			14	13000	3		
83025	初心者お得パック	初心者お得パック			2000027								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao10			5	11000	3		
83026	限定武器開発パック	限定武器開発パック			2000028								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao11			5	10650	3		
83027	週間お得パック	週間お得パック			2000029								2019/1/1 5:00	2020/1/1 9:59			1	1	10001	Jp_Libao12	1		5	12000	3		
83028	Monthly Pass A	Sign-in daily to get a total of <color=#ff8338>100</color> Black Cards	5	30	2000058			2000102	30				2021/7/15 7:00					3	30	Card	1	1	2		2		90032
83029	Monthly Pass B	1 per day for 30 days	5	69	2000032	13000100	30						2021/7/15 7:00					2	30	Jp_MonthsCardA	1	1	2		2		
83030	時計仕掛けのメイドA	時計仕掛けのメイドA			2000033								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao13			7	130400	3		
83031	灰羽·重力A	灰羽·重力A			2000034								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao14			7	130500	3		
83032	灰羽·夜刃A	灰羽·夜刃A			2000035								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao14			7	130600	3		
83033	灰羽·爆裂A	灰羽·爆裂A			2000036								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao14			7	130700	3		
83034	灰羽·異火A	灰羽·異火A			2000037								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao14			7	130800	3		
83035	灰羽·狂風A	灰羽·狂風A			2000039								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao14			7	130900	3		
83036	灰羽·乱数A	灰羽·乱数A			2000040								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao14			7	131000	3		
83037	灰羽·黎明A	灰羽·黎明A			2000045								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao14			7	131100	3		
83038	綺羅星A	綺羅星A			2000046								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao13			7	130410	3		
83039	ゴシック兵A	ゴシック兵A			2000047								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao13			7	130420	3		
83040	終焉の灰燼A	終焉の灰燼A			2000048								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao13			7	130430	3		
83041	3日パス	1日1セット支給×3日間				13000090	3						2019/1/1 5:00	2020/1/1 9:59				2	3	Jp_DaysCard3	1		14	30100	3		
83042	週間無料補給パック	週間無料補給パック			2000049								2019/1/1 5:00	2020/1/1 9:59			1	1	10001	UioWeek	1	10	6	5000	3		
83043	月間特別武器開発パック	月間武器開発券			2000054								2019/1/1 5:00	2020/1/1 9:59			1	1	10004	UioWDMouth	1	1	5	10700	3		
83044	月間特別構造体開発パック	月間特別構造体開発パック			2000055								2019/1/1 5:00	2020/1/1 9:59			1	1	10004	UioCDMouth2	1	1	5	10600	3		
83045	塗装設計図パック	塗装設計図パック			2000056								2019/1/1 5:00	2020/1/1 9:59						UioSkinD	0		7	30500	3		
83046	ネジパック	ネジパック			2000057								2019/1/1 5:00	2020/1/1 9:59						UioFCoin	0		7	50500	3		
83047	週間育成パック	週間育成パック			2000059								2019/1/1 5:00	2020/1/1 9:59			1	1	10001	UioXingjia	1		6	10800	3		
83048	月間塗装設計図パック	月間塗装設計図パック			2000060								2019/1/1 5:00	2020/1/1 9:59			1	1	10004	UioPifuM	1		7	30500	3		
83049	塗装パック-銀庭の花冠	塗装パック-銀庭の花冠			2000061								2019/1/1 5:00	2020/1/1 9:59			1	0		UioLifu		1	7	30000	3		
83050	サイバー家具フルパック	サイバー家具フルパック			2000062								2019/1/1 5:00	2020/1/1 9:59			1	0		UioNF			7	30200	3		
83051	塗装設計図パックA	塗装設計図パックA			2000090								2019/1/1 5:00	2020/1/1 9:59						UioSkinD	0		7	150400	3		
83052	初心者開発パックA	初心者開発パックA			2000091								2019/1/1 5:00	2020/1/1 9:59			2	0		Jp_Libao9			5	110100	3		
83053	週間お得パックA	週間お得パックA			2000092								2019/1/1 5:00	2020/1/1 9:59			1	1	10001	Jp_Libao12	1		5	112000	3		
83054	ネジパックA	ネジパックA			2000093								2019/1/1 5:00	2020/1/1 9:59						UioFCoin	0		7	150500	3		
83055	月間特別構造体開発パックA	月間特別構造体開発パックA			2000094								2019/1/1 5:00	2020/1/1 9:59			1	1	10004	UioCDMouth2	1	1	5	110600	3		
83056	週間補給パックA	週間補給パックA			2000095								2019/1/1 5:00	2020/1/1 9:59			1	1	10001	UioWeek	1	1	6	15000	3		
83057	週間強化パックA	週間強化パックA			2000067								2019/1/1 5:00	2020/1/1 9:59			1	1	10001	UioWeek	1	1	6	16000	3		
83058	カフェ風家具図面パックA	カフェ風家具図面パックA			2000096								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao3			7	130350	3		
83059	カフェ風家具フルパックA	カフェ風家具フルパックA			2000098								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao4			7	130300	3		
83060	アザミA	アザミA			2000080								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao13			7	130440	3		
83061	灰羽·来光A	灰羽·来光A			2000081								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao14			7	130490	3		
83062	Lv25応援パックA	Lv25応援パックA			2000082						8000		2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao5			6	111100	3		
83063	Lv35応援パックA	Lv35応援パックA			2000083					83062	8001		2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao6			6	111300	3		
83064	Lv45応援パックA	Lv45応援パックA			2000084					83063	8002		2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao7			6	111500	3		
83065	Lv55応援パックA	Lv55応援パックA			2000085					83064	8003		2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao8			6	111700	3		
83066	週間育成パックA	週間育成パックA			2000086								2019/1/1 5:00	2020/1/1 9:59			1	1	10001	UioXingjia	1		6	110800	3		
83067	限定武器開発パックB	限定武器開発パックB			2000087								2019/1/1 5:00	2020/1/1 9:59			1	0		Jp_Libao11			5	110650	3		
83068	月間特別構造体開発パックB	月間特別構造体開発パックB			2000088								2019/1/1 5:00	2020/1/1 9:59			1	1	10004	UioCDMouth2	1	1	5	110600	3		
83069	月間特別武器開発パックA	月間特別武器開発パックA			2000089								2019/1/1 5:00	2020/1/1 9:59			1	1	10004	UioWDMouth	1	1	5	110700	3		
85900	新年賽銭パック-1回				2000197								2021/1/1 0:00	2021/1/7 23:59						Jp_Libao32			7	1006	3		
85901	新年賽銭パック-5回				2000198								2021/1/1 0:00	2021/1/7 23:59						Jp_Libao33			7	1005	3		
90000	Gray Feather Series Pick	Gray Feather Series Pick	5	126	5000033								2019/1/1 5:00	2020/1/1 9:59			3	0		UioZhixuan			7	30100	3		
90001	Special Coating Pick	Special Coating Pick	5	154	5000034								2019/1/1 5:00	2020/1/1 9:59			3	0		UioZhixuan			7	30101	3		
90002	Release Value Pack	1 per day for 5 days	5	129	5000035	14000001	5						2021/7/17 7:00	2021/8/8 23:59			1	0		En_Libao02			5	10500	3		
90003	Gray Feather Series Pick	Gray Feather Series Pick	5	126	5000036								2021/7/17 7:00	2021/8/8 23:59			3	0		En_Libao01			7	30100	3		
90004	Special Coating Pick	Special Coating Pick	5	154	5000037								2021/7/17 7:00	2021/8/8 23:59			3	0		En_Libao01			7	30101	3		
90005	Release Focus Weapon R&D Pack	Release Focus Weapon R&D Pack	5	119	5000038								2021/7/17 7:00	2021/8/8 23:59			1	0		En_Libao03	1	1	5	10700	3		
90006	Release Event Construct R&D Pack	Release Event Construct R&D Pack	5	99	5000039								2021/7/17 7:00	2021/8/8 23:59			1	0		En_Libao04	1	1	5	10600	3		
90007	Overclock Material Pack	Overclock Material Pack	5	99	5000040								2021/7/17 7:00	2021/8/8 23:59			2	0		En_Libao05	1		5	10800	3		
90008	6★ Memory Shard Pack	6★ Memory Shard Pack	5	59	5000041								2021/7/17 7:00	2021/8/8 23:59			1	0		En_Libao07			6	11001	3		
90009	Advanced Research Pack	Advanced Research Pack	5	299	5000043								2021/7/17 7:00	2021/8/8 23:59			1	0		En_Libao08		1	5	30102	3		
90010	[Frozen] R&D Medium Pack		5	119	5000044								2021/8/3 7:00	2021/9/8 6:59			1	0		En_Libao09		14	5	2000	3		
90012	[Frozen] Weapon R&D Pack		5	59	5000046								2021/8/3 7:00	2021/9/8 6:59			2	0		En_Libao11		14	5	2002	3		
90013	[Frozen] Basic R&D Bundle		5	119	5000047								2021/8/3 7:00	2021/9/8 6:59			1	0		En_Libao12		14	5	2003	3		
90015	Terminal Code - 10x Bundle	Terminal Code - 10x Bundle	5	99	5000049								2021/9/10 8:00	2021/9/23 23:59			2	0		En_Libao24		14	7	2000	3		
90016	Terminal Code - 5x Bundle	Terminal Code - 5x Bundle	5	82	5000050								2021/9/10 8:00	2021/9/23 23:59			8	0		ItKrYunying003		14	7	2001	3		
90017	Terminal Code - 1 Pull Bundle	Terminal Code - 1 Pull Bundle	5	20	5000051								2021/9/10 8:00	2021/9/23 23:59						ItKrYunying002		14	7	2002	3		
90018	Shrine Visit Welfare		3	180	5000052								2020/8/4 8:00	2020/8/18 7:59			5	0		Jp_Libao33		14	7	2003	3		
90019	Target Weapon R&D Pack - 7d	1 per day for 7 days	5	59		14000002	7						2021/8/23 7:00	2021/9/6 6:59			1	0		En_Libao15		14	6	20000	3		
90020	Battle Power Supply		5	28	5000053								2021/8/23 7:00	2021/9/6 6:59			1	1	10001	En_Libao16		14	5	2004	3		
90021	Gray Feather: Crimson Abyss		5	126	5000054								2021/8/4 8:00	2021/9/8 6:59			1	0		UioPifu43	1	14	7	2009	3		
90022	Gray Feather: Bastion		5	126	5000055								2021/8/3 7:00	2021/9/8 6:59			1	0		Jp_UioPifu2	1	14	7	2010	3		
90023	End Messenger		5	98	5000056								2021/8/3 7:00	2021/9/8 6:59			1	0		Jp_UioPifu1	1	14	7	2012	3		
90024	Final Journey		5	154	5000064								2021/8/4 8:00	2021/9/8 6:59			1	0		UioPifu44	1	14	7	2011	3		
90025	[Eternal] Event R&D Pack	[Eternal] Event R&D Pack	5	119	5000075								2021/10/12 2:00	2021/11/16 7:59			1	0		En_Libao17		14	5	5400	3		
90026	[Eternal] Target Weapon Pack	[Eternal] Target Weapon Pack	5	59	5000076								2021/10/12 2:00	2021/11/16 7:59			2	0		En_Libao18		14	5	5600	3		
90027	[Fallen] Basic R&D Pack	[Fallen] Basic R&D Pack	5	119	5000077								2021/9/9 2:00	2021/10/11 7:59			1	0		En_Libao19		14	5	2003	3		
90028	[Fallen] Construct R&D Pack	[Fallen] Construct R&D Pack	5	119	5000078								2021/9/9 2:00	2021/10/11 7:59			1	0		En_Libao20		14	5	2004	3		
90029	[Fallen] Serum Weekly Pass	1 per day for 7 days	5	28		14000003	7						2021/9/9 2:00	2021/10/11 6:59			1	1	10001	En_Libao21		14	5	2005	3		
90030	A-Rank Male Construct Pack	A-Rank Male Construct Pack	5	34	5000079								2021/9/24 8:00	2021/10/11 7:59			1	0		UiQingrenjie02		1	5	10110	3		
90031	A-Rank Female Construct Pack	A-Rank Female Construct Pack	5	34	5000080								2021/9/24 8:00	2021/10/11 7:59			1	0		UiQingrenjie01		1	5	10120	3		
90032	Monthly Pass C	Sign-in daily to get a total of <color=#ff8338>90</color> Black Cards	5	28	2000058			5000084	30				2021/7/15 7:00					3	30	CardC	1	1	2		2		83028
90033	[Eternal] Weapon Reso. Bundle	[Eternal] Weapon Reso. Bundle	5	229	5000085								2021/10/12 2:00	2021/11/16 7:59			1	0		En_Libao25		14	5	5700	3		
90034	[Eternal] Basic R&D Pack	[Eternal] Basic R&D Pack	5	119	5000086								2021/10/12 2:00	2021/11/16 7:59			1	0		En_Libao26		14	5	5500	3		
90035	[Eternal] Tactical Support Bundle	[Eternal] Tactical Support Bundle	5	28	5000087								2021/10/12 2:00	2021/11/16 7:59			2	0		En_Libao27		14	5	5800	3		
90036	Weekly Good Value Pack	Weekly Good Value Pack	5	28	5000088								2021/10/12 2:00	2021/11/16 7:59			1	1	10001	En_Libao28	1	14	5	5900	3		
90037	[100 days] Basic R&D Supply	[100 days] Basic R&D Supply	5	59	5000089								2021/10/24 8:00	2021/11/7 7:59			1	0		En_Libao29		14	5	5200	3		
90038	[100 days] Special Gifts	[100 days] Special Gifts	5	34	5000090								2021/10/24 8:00	2021/11/7 7:59			3	0		Jp_Libao63		14	5	6000	3		
90039	Fate Arrival Construct R&D Pack	Fate Arrival Construct R&D Pack	5	119	5000091								2021/11/5 8:00	2021/11/12 7:59			1	0		En_Libao32		14	5	5100	3		
90040	[100 days] Weapon R&D Bundle	[100 days] Weapon R&D Bundle	5	59	5000092								2021/10/24 8:00	2021/11/7 7:59			1	0		En_Libao31		14	5	5300	3		
90041	[Snowy] Set Bundle	[Snowy] Set Bundle	5	68	90046								2021/10/12 2:00	2021/11/16 7:59			1	0		UiLieche03		14	7	30100	3		
90042	[Snowy] Blueprint Bundle	[Snowy] Blueprint Bundle	5	20	90044								2021/10/12 2:00	2021/11/16 7:59			1	0		UiLieche04		14	7	30200	3		
90043	Pact of Zero - Veritas	Pact of Zero - Veritas	5	98	6410304								2021/10/13 8:00	2021/11/16 7:59			1	0		UioPifu53		14	7	2001	3		
90044	Starry Desert - Silverfang	Starry Desert - Silverfang	5	98	6000105								2021/10/20 8:00	2021/11/16 7:59			1	0		UioPifu55		14	7	2002	3		
90045	Chief Mechanic - Silverfang	Chief Mechanic - Silverfang	5	98	6000104								2021/10/20 8:00	2021/11/16 7:59			1	0		UioPifu54		14	7	2003	3		
90046	Spectral Parade Coating Bundle	Spectral Parade Coating Bundle	5	168	5000093								2021/10/29 8:00	2021/11/16 7:59			1	0		UioPifu57		14	7	2004	3		
90050	[Nona] Event R&D Pack	[Nona] Event R&D Pack	5	119	5000160								2021/11/17 2:00	2021/12/21 7:59			1	0		En_Libao17		14	5	5700	3		
90051	[Nona] Basic R&D Pack	[Nona] Basic R&D Pack	5	119	5000161								2021/11/17 2:00	2021/12/21 7:59			1	0		En_Libao26		14	5	5800	3		
90052	[Nona] Weapon Reso. Bundle	[Nona] Weapon Reso. Bundle	5	229	5000162								2021/11/17 2:00	2021/12/21 7:59			1	0		En_Libao33		14	5	6000	3		
