Id	HeadImageName	OnlinePortrait	EnergyBar	SPPrefab	AttackIconImage	DodgeIconImage	ExSkillIconImage
102301	Assets/Product/Texture/Image/Role/RoleHeadLifu3SS.png	Assets/Product/Texture/Image/Role/RoleHeadLifuSS.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR3Lifu.prefab		Assets/Product/Texture/Image/UiFight/FightIconFloat.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Lifu51.png
101601	Assets/Product/Texture/Image/Role/RoleHeadShenwei3SS.png	Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR3Shenwei.prefab		Assets/Product/Texture/Image/UiFight/FightIconClaymore.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei51.png
101101	Assets/Product/Texture/Image/Role/RoleHeadLi3SS.png	Assets/Product/Texture/Image/Role/RoleHeadLiSS.png			Assets/Product/Texture/Image/UiFight/FightIconGun.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Liang51.png
101701	Assets/Product/Texture/Image/Role/RoleHeadKalie3SS.png	Assets/Product/Texture/Image/Role/RoleHeadKalieSS.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR3Kalienina.prefab		Assets/Product/Texture/Image/UiFight/FightIconSleeve.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Kalienina51.png
101501	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SS.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechaoSS.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR3Yongyechao.prefab	Assets/Product/Ui/UiFightPrefab/SP/SPR3Yongyechao.prefab	Assets/Product/Texture/Image/UiFight/FightIconSaw.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Yongyechao51.png
102201	Assets/Product/Texture/Image/Role/RoleHeadLuxiyaaerfa3SS.png	Assets/Product/Texture/Image/Role/RoleHeadLuxiyaaerfaSS.png			Assets/Product/Texture/Image/UiFight/FightIconSword.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Luxiya51.png
101801	Assets/Product/Texture/Image/Role/RoleHeadDubian3SS.png		Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR3Dubian.prefab		Assets/Product/Texture/Image/UiFight/FightIconDagger.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Dubian51.png
100901	Assets/Product/Texture/Image/Role/RoleHeadAila3.png				Assets/Product/Texture/Image/UiFight/FightIconScythe.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Aila51.png
101401	Assets/Product/Texture/Image/Role/RoleHeadAolisuo3.png		Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR3Bianka.prefab		Assets/Product/Texture/Image/UiFight/FightIconFightIconbow.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Bianka51.png
110101	Assets/Product/Texture/Image/Role/RoleHeadSufeiya3.png	Assets/Product/Texture/Image/Role/RoleHeadSufeiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR2Sufeiya.prefab		Assets/Product/Texture/Image/UiFight/FightIconGun.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Sufeiya51.png
110201	Assets/Product/Texture/Image/Role/RoleHeadKuluomu3.png	Assets/Product/Texture/Image/Role/RoleHeadKuluomu.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR2Kuluomu.prefab		Assets/Product/Texture/Image/UiFight/FightIconScythe.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Kuluomu51.png
110202	Assets/Product/Texture/Image/Role/RoleHeadKuluomu3.png	Assets/Product/Texture/Image/Role/RoleHeadKuluomu.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR2Kuluomu.prefab		Assets/Product/Texture/Image/UiFight/FightIconAssassinate.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Kuluomu51.png
103201	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR4Luxiya1.prefab	Assets/Product/Ui/UiFightPrefab/SP/SPR4Luxiya.prefab	Assets/Product/Texture/Image/UiFight/FightIconSword.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Luxiya51.png
103202	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR4Luxiya2.prefab	Assets/Product/Ui/UiFightPrefab/SP/SPR4Luxiya.prefab	Assets/Product/Texture/Image/UiFight/FightIconSword.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Luxiya51B.png
103203	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR4Luxiya1.prefab	Assets/Product/Ui/UiFightPrefab/SP/SPR4Luxiya.prefab	Assets/Product/Texture/Image/UiFight/FightIconAssassinate.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Luxiya51.png
103204	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR4Luxiya1.prefab	Assets/Product/Ui/UiFightPrefab/SP/SPR4Luxiya.prefab	Assets/Product/Texture/Image/UiFight/FightSkillIconLure4.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Luxiya51.png
103205	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergySignal.prefab	Assets/Product/Ui/UiFightPrefab/SP/SPR4Luxiya.prefab	Assets/Product/Texture/Image/UiFight/FightSkillIconLure4.png	Assets/Product/Texture/Image/UiFight/FightSkillIconLure3.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Luxiya51.png
123201	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR1Luxiya.prefab		Assets/Product/Texture/Image/UiFight/FightIconSword.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Luxiya51.png
123202	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR1Luxiya.prefab		Assets/Product/Texture/Image/UiFight/FightIconAssassinate.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Luxiya51.png
123203	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR1Luxiya.prefab		Assets/Product/Texture/Image/UiFight/FightSkillIconLure4.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Luxiya51.png
123204	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR4Luxiya1.prefab		Assets/Product/Texture/Image/UiFight/FightSkillIconLure4.png	Assets/Product/Texture/Image/UiFight/FightSkillIconLure3.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Luxiya51.png
900000			Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR2Sufeiya.prefab		Assets/Product/Texture/Image/UiFight/FightIconGun.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Sufeiya51.png
