Id	Tier	Group	NodeId[1]	FatherNode[1]	NodeId[2]	FatherNode[2]	NodeId[3]	FatherNode[3]	NodeId[4]	FatherNode[4]	NodeId[5]	FatherNode[5]	NodeId[6]	FatherNode[6]	NodeId[7]	FatherNode[7]
124	124	8	108281	108271|108272	108282	108273|108274	108283	108274								
125	125	8	108291	108281	108292	108281	108293	108282	108294	108282|108283						
126	126	8	108301	108291|108292	108302	108292|108293	108303	108294								
127	127	8	108311	108301	108312	108302	108313	108303								
128	128	8	108321	108311|108312|108313												
129	129	9	109171		109172											
130	130	9	109181	109171	109182	109172										
131	131	9	109191	109181	109192	109182	109193	109182								
132	132	9	109201	109191|109192	109202	109193	109203	109193								
133	133	9	109211	109201	109212	109201	109213	109202|109203								
134	134	9	109221	109211	109222	109212	109223	109213								
135	135	9	109231	109221	109232	109222|109223	109233	109223								
136	136	9	109241	109231	109242	109232	109243	109232	109244	109232|109233						
137	137	9	109251	109241	109252	109242	109253	109243	109254	109244						
138	138	9	109261	109251|109252	109262	109252|109253|109254										
139	139	9	109271	109261	109272	109261|109262	109273	109262	109274	109262						
140	140	9	109281	109271	109282	109272	109283	109273	109284	109274						
141	141	9	109291	109281	109292	109282|109283	109293	109284	109294	109284						
142	142	9	109301	109291	109302	109292	109303	109292|109293	109304	109294						
143	143	9	109311	109301|109302	109312	109303	109313	109304								
144	144	9	109321	109311|109312|109313												
145	145	10	110651													
146	146	10	110661	110651												
147	147	10	110671	110661												
148	148	10	110681	110671	110682	110671										
149	149	10	110691	110681|110682												
150	150	10	110701	110691	110702	110691										
151	151	10	110711	110701|110702												
152	152	10	110721	110711	110722	110711	110723	110711								
153	153	10	110731	110721|110722|110723												
154	154	10	110741	110731	110742	110731	110743	110731								
155	155	10	110751	110741|110742|110743												
156	156	10	110761	110751												
157	157	10	110771	110761												
158	158	10	110781	110771	110782	110771										
159	159	10	110791	110781	110792	110782										
160	160	10	110801	110791|110792												
161	161	18	118651													
162	162	18	118661	118651												
163	163	18	118671	118661												
164	164	18	118681	118671												
165	165	18	118691	118681												
166	166	18	118701	118691												
167	167	18	118711	118701												
168	168	18	118721	118711												
169	169	18	118731	118721												
170	170	18	118741	118731												
171	171	18	118751	118741												
172	172	18	118761	118751												
173	173	18	118771	118761												
174	174	18	118781	118771												
175	175	18	118791	118781												
176	176	18	118801	118791												
177	177	19	119651													
178	178	19	119661	119651												
179	179	19	119671	119661												
180	180	19	119681	119671												
181	181	19	119691	119681												
182	182	19	119701	119691												
183	183	19	119711	119701												
184	184	19	119721	119711												
185	185	19	119731	119721												
186	186	19	119741	119731												
187	187	19	119751	119741												
188	188	19	119761	119751												
189	189	19	119771	119761												
190	190	19	119781	119771												
191	191	19	119791	119781												
192	192	19	119801	119791												
193	193	20	120651													
194	194	20	120661	120651												
195	195	20	120671	120661												
196	196	20	120681	120671												
197	197	20	120691	120681												
198	198	20	120701	120691												
199	199	20	120711	120701												
200	200	20	120721	120711												
201	201	20	120731	120721												
202	202	20	120741	120731												
203	203	20	120751	120741												
204	204	20	120761	120751												
205	205	20	120771	120761												
206	206	20	120781	120771												
207	207	20	120791	120781												
208	208	20	120801	120791												
