Id	CharacterId	Type	UnlockType	UnlockPara	Title	Content	Picture	ConditionDescript	PreviewPicture
106	1061002	1	1	4	Bastion's Secret 6	Thinks that the Gray Raven Commandant is interesting.		Affection 4	
107	1061002	1	1	5	Bastion's Secret 7	Felt that Lucia looked familiar the first time he saw her, but did not tell her that because it would look like he was hitting on her.		Affection 5	
108	1061002	1	1	5	Bastion's Secret 8	Most of Strike Hawk's members are not good at working with others, so he is often assigned the task of communicating with other teams.		Affection 5	
109	1061002	1	1	6	Bastion's Secret 9	Wants to have an Inver-Device like Chrome's that won't break stuff so easily.		Affection 6	
110	1061002	1	1	6	Bastion's Secret 10	Has destroyed a Corrupted's neural network by thrusting an Inver-Device into it.		Affection 6	
121	1071002	1	1	2	Blast's Secret 1	Mainly responsible for building demolitions at Cosmos Industries.		Affection 2	
122	1071002	1	1	2	Blast's Secret 2	Goes crazy if she hears Lucia's name.		Affection 2	
123	1071002	1	1	3	Blast's Secret 3	When she is angry, what she wants to hear the most is words of praise.		Affection 3	
124	1071002	1	1	3	Blast's Secret 4	Surprisingly open to reason, especially if it comes from Bianca.		Affection 3	
125	1071002	1	1	4	Blast's Secret 5	Does what she likes when there are no orders.		Affection 4	
126	1071002	1	1	4	Blast's Secret 6	The Three-Behavior Pattern: Yell Lucia's name. Attack Lucia. Get mad when Lucia blocks her attacks.		Affection 4	
127	1071002	1	1	5	Blast's Secret 7	Knows about Nanami's strength, and looks forward to fighting with her someday.		Affection 5	
128	1071002	1	1	5	Blast's Secret 8	Does not like it when the Commandant interferes in battle.		Affection 5	
129	1071002	1	1	6	Blast's Secret 9	Likes big Inver-Devices because they look cool.		Affection 6	
130	1071002	1	1	6	Blast's Secret 10	Which is why she made a hood that can hold a large Inver-Device.		Affection 6	
141	1081002	1	1	2	Nightblade's Secret 1	There was a time when he would tirelessly tell anyone he came across that he is not old, not their pops, nor an ol' geezer.		Affection 2	
142	1081002	1	1	2	Nightblade's Secret 2	Likes cats, but has never told anyone about it.		Affection 2	
143	1081002	1	1	3	Nightblade's Secret 3	His heterochromia is a result of a manufacturing defect.		Affection 3	
144	1081002	1	1	3	Nightblade's Secret 4	Regularly tests the limits of his frame.		Affection 3	
145	1081002	1	1	4	Nightblade's Secret 5	Often loses his hairband.		Affection 4	
146	1081002	1	1	4	Nightblade's Secret 6	Knows how to make human food. Has taken shifts at the Forsaken headquarters' kitchen.		Affection 4	
147	1081002	1	1	5	Nightblade's Secret 7	When discussing family with Forsaken humans, Liv is the first thing that comes to his mind when the word "daughter" comes up.		Affection 5	
148	1081002	1	1	5	Nightblade's Secret 8	Feels that it would be a headache to have a daughter like Nanami. Not that he is in a position to have children.		Affection 5	
149	1081002	1	1	6	Nightblade's Secret 9	Good at recycling resources. Able to recite the price of most things on the open market.		Affection 6	
150	1081002	1	1	6	Nightblade's Secret 10	Apparently has his own apron and oven mitt.		Affection 6	
161	1021002	1	1	2	Dawn's Secret 1	Has complained about her hairstyle.		Affection 2	
162	1021002	1	1	2	Dawn's Secret 2	Her weapon can be hidden in her left arm.		Affection 2	
163	1021002	1	1	3	Dawn's Secret 3	The floating weapons that appear in burst mode are 3D printed on the spot.		Affection 3	
164	1021002	1	1	3	Dawn's Secret 4	Energy consumption is twice that of the Lotus model.		Affection 3	
165	1021002	1	1	4	Dawn's Secret 5	Despite being an early model, its maintenance is the highest among the three.		Affection 4	
166	1021002	1	1	4	Dawn's Secret 6	Sometimes wants to change up the style of the Inver-Device a little.		Affection 4	
167	1021002	1	1	5	Dawn's Secret 7	Treats Liv as her own sister because of a familiar feeling that Liv gives her.		Affection 5	
168	1021002	1	1	5	Dawn's Secret 8	Did extensive research on frogs to understand why she likes frog plushies, and ended up liking frog plushies even more.		Affection 5	
169	1021002	1	1	6	Dawn's Secret 9	Has looked at her own reflection on her blade.		Affection 6	
170	1021002	1	1	6	Dawn's Secret 10	Believes that everything the Commandant says is right and has a deeper meaning behind it.		Affection 6	
181	1031002	1	1	2	Lux's Secret 1	Sometimes practices shooting poses while holding a levitator.		Affection 2	
182	1031002	1	1	2	Lux's Secret 2	The hand-waving motion when attacking is purely cosmetic.		Affection 2	
183	1031002	1	1	3	Lux's Secret 3	Wants to know how it feels to eat.		Affection 3	
184	1031002	1	1	3	Lux's Secret 4	Sometimes feels that Lee is more childish than her.		Affection 3	
185	1031002	1	1	4	Lux's Secret 5	Quietly turns on sound-cancelling when Kamui is making a ruckus.		Affection 4	
186	1031002	1	1	4	Lux's Secret 6	The levitator is equipped with a supplemental camera and sensor.		Affection 4	
187	1031002	1	1	5	Lux's Secret 7	Responsible for the team's logistics management and provision.		Affection 5	
188	1031002	1	1	5	Lux's Secret 8	Aimed her Levi-Gun at Karenina when Karenina tried to provoke Lucia.		Affection 5	
189	1031002	1	1	6	Lux's Secret 9	Admires Watanabe's mature attitude.		Affection 6	
190	1031002	1	1	6	Lux's Secret 10	Sometimes wishes she could stand alongside Lucia on the frontlines.		Affection 6	
201	1071003	1	1	2	Ember's Secret 1	Does not get along with the other members of Purifying Force.		Affection 2	
202	1071003	1	1	2	Ember's Secret 2	Her new frame's jumping ability is much improved.		Affection 2	
203	1071003	1	1	3	Ember's Secret 3	Likes to lie down on Bianca's knees.		Affection 3	
204	1071003	1	1	3	Ember's Secret 4	Likes to make Bianca's hair.		Affection 3	
205	1071003	1	1	4	Ember's Secret 5	Is happy to be assigned to the Purifying Force.		Affection 4	
206	1071003	1	1	4	Ember's Secret 6	Anything that manages to make her continuously annoyed is likely something she likes deep down.		Affection 4	
207	1071003	1	1	5	Ember's Secret 7	Spun around in circles when she gets a new frame.		Affection 5	
208	1071003	1	1	5	Ember's Secret 8	Bianca saw her spinning.		Affection 5	
209	1071003	1	1	6	Ember's Secret 9	Her weapon harms the even herself if its full power is unleashed.		Affection 6	
210	1071003	1	1	6	Ember's Secret 10	There are 32 holes in the ground in front of Gray Raven HQ, all made by Karenina. There will be a new one any day now.		Affection 6	
221	1031003	1	1	2	Luminance's Secret 1	Many Constructs have professed their love for her.		Affection 2	
222	1031003	1	1	2	Luminance's Secret 2	Sometimes loses her sense of direction when floating in battle.		Affection 2	
223	1031003	1	1	3	Luminance's Secret 3	Swings her long hair without being aware of it.		Affection 3	
224	1031003	1	1	3	Luminance's Secret 4	Has searched for information on human families.		Affection 3	
225	1031003	1	1	4	Luminance's Secret 5	Has said that Luminance is her favorite loadout.		Affection 4	
226	1031003	1	1	4	Luminance's Secret 6	Quietly cleans up the mess that others make in HQ.		Affection 4	
227	1031003	1	1	5	Luminance's Secret 7	Has gotten uneasy about talking with other squads after her frame change.		Affection 5	
228	1031003	1	1	5	Luminance's Secret 8	Adjusted her maintenance pod to help get used to her new frame.		Affection 5	
229	1031003	1	1	6	Luminance's Secret 9	Likes to take care of plants.		Affection 6	
230	1031003	1	1	6	Luminance's Secret 10	Has imagined her life after the war.		Affection 6	
241	1061003	1	1	2	Tenebrion's Secret 1	Once jumped into a pond to catch fish.		Affection 2	
242	1061003	1	1	2	Tenebrion's Secret 2	Somewhat concerned about his own change.		Affection 2	
243	1061003	1	1	3	Tenebrion's Secret 3	Considers Lee and the Commandant to be close comrades.		Affection 3	
244	1061003	1	1	3	Tenebrion's Secret 4	Has a knack for getting on Lee's nerves.		Affection 3	
245	1061003	1	1	4	Tenebrion's Secret 5	Likes anything that starts with "Every"... like "Everyone".		Affection 4	
246	1061003	1	1	4	Tenebrion's Secret 6	Cares a lot for his comrades.		Affection 4	
247	1061003	1	1	5	Tenebrion's Secret 7	Very bad at lying, shows obvious fluctuations in his M.I.N.D. when he lies.		Affection 5	
248	1061003	1	1	5	Tenebrion's Secret 8	Has wondered who he really is—Kamui or Camu?		Affection 5	
249	1061003	1	1	6	Tenebrion's Secret 9	Reaction with Tenebrion has resulted in a change in vital fluid color in his new frame.		Affection 6	
250	1061003	1	1	6	Tenebrion's Secret 10	Suspected that his memory module might be damaged, but soon forgot about the matter.		Affection 6	
261	1011003	1	1	2	Entropy's Secret 1	Very conscious of numbers.		Affection 2	
262	1011003	1	1	2	Entropy's Secret 2	Claims that there is a problem with the heat circulation system, but never got it fixed.		Affection 2	
263	1011003	1	1	3	Entropy's Secret 3	Has a 50% win rate in verbal spats with Kamui.		Affection 3	
264	1011003	1	1	3	Entropy's Secret 4	Likes the color blue, which is also the color of his vital fluid.		Affection 3	
265	1011003	1	1	4	Entropy's Secret 5	His hair is harder than the other Constructs.		Affection 4	
266	1011003	1	1	4	Entropy's Secret 6	Has had more human females than Construct females ask him for his number, but he has turned down every request.		Affection 4	
267	1011003	1	1	5	Entropy's Secret 7	Understands more about the internal workings of things than their external appearance.		Affection 5	
268	1011003	1	1	5	Entropy's Secret 8	Has had objective and logical discourses on the functionality of various Construct parts with the Commandant—including Bianca's chest cushion.		Affection 5	
269	1011003	1	1	6	Entropy's Secret 9	Has studied Kamui's vocal module and tried to shut it off.		Affection 6	
270	1011003	1	1	6	Entropy's Secret 10	Developed a mini Inver-Device for his botlets.		Affection 6	
271	1051003	1	1	2	Pulse's Secret 1	Able to perform a perfect three-and-a-half axel.		Affection 2	
272	1051003	1	1	2	Pulse's Secret 2	Her digital diary holds the secrets of the world.		Affection 2	
273	1051003	1	1	3	Pulse's Secret 3	Her Corrupted friends recorded and numbered in her digital diary are in the triple digits.		Affection 3	
274	1051003	1	1	3	Pulse's Secret 4	However, the friend numbers are not assigned in order.		Affection 3	
275	1051003	1	1	4	Pulse's Secret 5	Able to run on walls with her propulsion wheels.		Affection 4	
276	1051003	1	1	4	Pulse's Secret 6	As good with her hands as Lee is.		Affection 4	
277	1051003	1	1	5	Pulse's Secret 7	Her favorite human festival is Halloween.		Affection 5	
278	1051003	1	1	5	Pulse's Secret 8	Thinks that older Constructs suffer from hair loss. Once tried to pull Watanabe's hair to confirm her theory.		Affection 5	
279	1051003	1	1	6	Pulse's Secret 9	Curious about the concept of dating.		Affection 6	
280	1051003	1	1	6	Pulse's Secret 10	Has thought about kidnapping the Commandant.		Affection 6	
281	1021003	1	1	2	Crimson Abyss' Secret 1	Wants to travel around the world to see the sights.		Affection 2	
282	1021003	1	1	2	Crimson Abyss' Secret 2	Likes to collect powerful pets and challenge powerful opponents.		Affection 2	
283	1021003	1	1	3	Crimson Abyss' Secret 3	Some patches on her jacket are cosmetic.		Affection 3	
284	1021003	1	1	3	Crimson Abyss' Secret 4	Obsessed with modifying motorcycles.		Affection 3	
285	1021003	1	1	4	Crimson Abyss' Secret 5	The way she ties her shoes changes with her mood.		Affection 4	
286	1021003	1	1	4	Crimson Abyss' Secret 6	Likes to read standing up.		Affection 4	
287	1021003	1	1	5	Crimson Abyss' Secret 7	Does not want people to see her left eye.		Affection 5	
288	1021003	1	1	5	Crimson Abyss' Secret 8	Has some fishing bait in her belt pocket.		Affection 5	
289	1021003	1	1	6	Crimson Abyss' Secret 9	Luna is the only one that is allowed to maintain her frame.		Affection 6	
290	1021003	1	1	6	Crimson Abyss' Secret 10	Quieter than she used to be, but she smiles more now.		Affection 6	
291	1081003	1	1	2	Astral's Secret 1	Watanabe can assess Babylonia from an objective perspective, but when it comes to an emotional perspective...		Affection 2	
292	1081003	1	1	2	Astral's Secret 2	He regards the Commandant of Gray Raven as the only person from Babylonia he can communicate with.		Affection 2	
293	1081003	1	1	3	Astral's Secret 3	Bianca ranks No.1 among the Constructs he is unwilling to deal with. Nanami takes 2nd place, but sometimes the ranking will be reversed.		Affection 3	
294	1081003	1	1	3	Astral's Secret 4	From time to time, he will put on a coat outside the frame when he feels chilly for no reason.		Affection 3	
295	1081003	1	1	4	Astral's Secret 5	He is skilled at price negotiation.		Affection 4	
296	1081003	1	1	4	Astral's Secret 6	There are many spare hair ties in his waist bag.		Affection 4	
297	1081003	1	1	5	Astral's Secret 7	He once cut food with knife hand, and he cut through it perfectly.		Affection 5	
298	1081003	1	1	5	Astral's Secret 8	This frame can be customized to store different items, including but not limited to shoulder-fired weapons and cooking utensils.		Affection 5	
299	1081003	1	1	6	Astral's Secret 9	He believes it is unfair to use this frame against Bianca. But, in fact, no one can predict the result of their clash.		Affection 6	
300	1081003	1	1	6	Astral's Secret 10	The frame is equipped with a sound suppressor and stealth technology, which enable him to sneak into Commandant's room at midnight without being noticed.		Affection 6	
301	1091002	1	1	2	Brilliance's Secret 1	She has paid attention to any news about Gray Raven from the very beginning.		Affection 2	
302	1091002	1	1	2	Brilliance's Secret 2	The beret is an additional piece of equipment requested by Ayla. There are a total of 103 styles available for her selection.		Affection 2	
303	1091002	1	1	3	Brilliance's Secret 3	She believes scythe is a weapon that represents a form of art. When she wields it, she has to create an artistic work that is comparable to it.		Affection 3	
304	1091002	1	1	3	Brilliance's Secret 4	"No one can hide a secret from Ayla". She is good at seeing through people's intentions.		Affection 3	
305	1091002	1	1	4	Brilliance's Secret 5	She has a big fan club in Babylonia.		Affection 4	
306	1091002	1	1	4	Brilliance's Secret 6	Her painting was once purchased by an anonymous person with a surprising amount of Black Card points.		Affection 4	
307	1091002	1	1	5	Brilliance's Secret 7	This frame has the highest cost compared with the frames from the same batch. It was fully paid by Ayla alone.		Affection 5	
308	1091002	1	1	5	Brilliance's Secret 8	She will give female Constructs a hug as a warm welcome.		Affection 5	
309	1091002	1	1	6	Brilliance's Secret 9	She painted a portrait of the Commandant of Gray Raven and has treasured it as one of her valuable collections.		Affection 6	
310	1091002	1	1	6	Brilliance's Secret 10	She has built an incredibly extensive social network in Babylonia.		Affection 6	
