Id	CharacterId	Name	Icon	StoryId	UnlockLv	ConditionDescript	SectionNumber
17	1031001	Liv: Eclipse V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1150215	5	Affection 5	5
18	1031001	Liv: Eclipse VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1150216	6	Affection 6	6
19	1041002	Bianca: Zero I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1150421	1	Affection 1	1
20	1041002	Bianca: Zero II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1150422	2	Affection 2	2
21	1041002	Bianca: Zero III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1150423	3	Affection 3	3
22	1041002	Bianca: Zero IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1150424	4	Affection 4	4
23	1041002	Bianca: Zero V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1150425	5	Affection 5	5
24	1041002	Bianca: Zero VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1150426	6	Affection 6	6
25	1051001	Nanami: Storm I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1150311	1	Affection 1	1
26	1051001	Nanami: Storm II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1150312	2	Affection 2	2
27	1051001	Nanami: Storm III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1150313	3	Affection 3	3
28	1051001	Nanami: Storm IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1150314	4	Affection 4	4
29	1051001	Nanami: Storm V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1150315	5	Affection 5	5
30	1051001	Nanami: Storm VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1150316	6	Affection 6	6
31	1061002	Kamui: Bastion I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1150711	1	Affection 1	1
32	1061002	Kamui: Bastion II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1150712	2	Affection 2	2
33	1061002	Kamui: Bastion III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1150713	3	Affection 3	3
34	1061002	Kamui: Bastion IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1150714	4	Affection 4	4
35	1061002	Kamui: Bastion V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1150715	5	Affection 5	5
36	1061002	Kamui: Bastion VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1150716	6	Affection 6	6
37	1071002	Karenina: Blast I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1140521	1	Affection 1	1
38	1071002	Karenina: Blast II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1140522	2	Affection 2	2
39	1071002	Karenina: Blast III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1140523	3	Affection 3	3
40	1071002	Karenina: Blast IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1140524	4	Affection 4	4
41	1071002	Karenina: Blast V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1140525	5	Affection 5	5
42	1071002	Karenina: Blast VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1140526	6	Affection 6	6
43	1081002	Watanabe: Nightblade I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1140711	1	Affection 1	1
44	1081002	Watanabe: Nightblade II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1140712	2	Affection 2	2
45	1081002	Watanabe: Nightblade III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1140713	3	Affection 3	3
46	1081002	Watanabe: Nightblade IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1140714	4	Affection 4	4
47	1081002	Watanabe: Nightblade V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1140715	5	Affection 5	5
48	1081002	Watanabe: Nightblade VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1140716	6	Affection 6	6
49	1021002	Lucia: Dawn I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1150121	1	Affection 1	1
50	1021002	Lucia: Dawn II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1150122	2	Affection 2	2
51	1021002	Lucia: Dawn III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1150123	3	Affection 3	3
52	1021002	Lucia: Dawn IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1150124	4	Affection 4	4
53	1021002	Lucia: Dawn V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1150125	5	Affection 5	5
54	1021002	Lucia: Dawn VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1150126	6	Affection 6	6
55	1031002	Liv: Lux I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1150221	1	Affection 1	1
56	1031002	Liv: Lux II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1150222	2	Affection 2	2
57	1031002	Liv: Lux III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1150223	3	Affection 3	3
58	1031002	Liv: Lux IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1150224	4	Affection 4	4
59	1031002	Liv: Lux V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1150225	5	Affection 5	5
60	1031002	Liv: Lux VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1150226	6	Affection 6	6
61	1071003	Karenina: Ember I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1150531	1	Affection 1	1
62	1071003	Karenina: Ember II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1150532	2	Affection 2	2
63	1071003	Karenina: Ember III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1150533	3	Affection 3	3
64	1071003	Karenina: Ember IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1150534	4	Affection 4	4
65	1071003	Karenina: Ember V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1150535	5	Affection 5	5
66	1071003	Karenina: Ember VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1150536	6	Affection 6	6
67	1031003	Liv: Luminance I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1150231	1	Affection 1	1
68	1031003	Liv: Luminance II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1150232	2	Affection 2	2
69	1031003	Liv: Luminance III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1150233	3	Affection 3	3
70	1031003	Liv: Luminance IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1150234	4	Affection 4	4
71	1031003	Liv: Luminance V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1150235	5	Affection 5	5
72	1031003	Liv: Luminance VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1150236	6	Affection 6	6
73	1061003	Kamui: Tenebrion I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1150721	1	Affection 1	1
74	1061003	Kamui: Tenebrion II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1150722	2	Affection 2	2
75	1061003	Kamui: Tenebrion III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1150723	3	Affection 3	3
76	1061003	Kamui: Tenebrion IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1150724	4	Affection 4	4
77	1061003	Kamui: Tenebrion V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1150725	5	Affection 5	5
78	1061003	Kamui: Tenebrion VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1150726	6	Affection 6	6
79	1011003	Lee: Entropy I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1150821	1	Affection 1	1
80	1011003	Lee: Entropy II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1150822	2	Affection 2	2
81	1011003	Lee: Entropy III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1150823	3	Affection 3	3
82	1011003	Lee: Entropy IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1150824	4	Affection 4	4
83	1011003	Lee: Entropy V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1150825	5	Affection 5	5
84	1011003	Lee: Entropy VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1150826	6	Affection 6	6
85	1051003	Nanami: Pulse I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150321	1	Affection 1	1
86	1051003	Nanami: Pulse II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150322	2	Affection 2	2
87	1051003	Nanami: Pulse III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150323	3	Affection 3	3
88	1051003	Nanami: Pulse IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150324	4	Affection 4	4
89	1051003	Nanami: Pulse V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150325	5	Affection 5	5
90	1051003	Nanami: Pulse VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150326	6	Affection 6	6
91	1021003	Lucia: Crimson Abyss I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	1150131	1	Affection 1	1
92	1021003	Lucia: Crimson Abyss II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	1150132	2	Affection 2	2
93	1021003	Lucia: Crimson Abyss III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	1150133	3	Affection 3	3
94	1021003	Lucia: Crimson Abyss IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	1150134	4	Affection 4	4
95	1021003	Lucia: Crimson Abyss V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	1150135	5	Affection 5	5
96	1021003	Lucia: Crimson Abyss VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	1150136	6	Affection 6	6
97	1081003	Watanabe: Astral I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1SS.png	1150621	1	Affection 1	1
98	1081003	Watanabe: Astral II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1SS.png	1150622	2	Affection 2	2
99	1081003	Watanabe: Astral III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1SS.png	1150623	3	Affection 3	3
100	1081003	Watanabe: Astral IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1SS.png	1150624	4	Affection 4	4
101	1081003	Watanabe: Astral V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1SS.png	1150625	5	Affection 5	5
102	1081003	Watanabe: Astral VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1SS.png	1150626	6	Affection 6	6
103	1091002	Ayla: Brilliance I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	1150911	1	Affection 1	1
104	1091002	Ayla: Brilliance II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	1150912	2	Affection 2	2
105	1091002	Ayla: Brilliance III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	1150913	3	Affection 3	3
106	1091002	Ayla: Brilliance IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	1150914	4	Affection 4	4
107	1091002	Ayla: Brilliance V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	1150915	5	Affection 5	5
108	1091002	Ayla: Brilliance VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	1150916	6	Affection 6	6
109	1041003	Bianca: Veritas I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	1150411	1	Affection 1	1
110	1041003	Bianca: Veritas II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	1150412	2	Affection 2	2
111	1041003	Bianca: Veritas III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	1150413	3	Affection 3	3
112	1041003	Bianca: Veritas IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	1150414	4	Affection 4	4
113	1041003	Bianca: Veritas V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	1150415	5	Affection 5	5
114	1041003	Bianca: Veritas VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	1150416	6	Affection 6	6
115	1111002	Sophia: Silverfang I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	1151011	1	Affection 1	1
116	1111002	Sophia: Silverfang II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	1151012	2	Affection 2	2
117	1111002	Sophia: Silverfang III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	1151013	3	Affection 3	3
118	1111002	Sophia: Silverfang IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	1151014	4	Affection 4	4
119	1111002	Sophia: Silverfang V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	1151015	5	Affection 5	5
120	1111002	Sophia: Silverfang VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	1151016	6	Affection 6	6
121	1121002	Chrome: Arclight I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	HG11201BA	1	Affection 1	1
122	1121002	Chrome: Arclight II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	HG11202BA	2	Affection 2	2
123	1121002	Chrome: Arclight III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	HG11203BA	3	Affection 3	3
124	1121002	Chrome: Arclight IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	HG11204BA	4	Affection 4	4
125	1121002	Chrome: Arclight V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	HG11205BA	5	Affection 5	5
126	1121002	Chrome: Arclight VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	HG11206BA	6	Affection 6	6
127	1021004	Lucia: Plume I	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	HG10201BS	1	Affection 1	1
128	1021004	Lucia: Plume II	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	HG10202BS	2	Affection 2	2
129	1021004	Lucia: Plume III	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	HG10203BS	3	Affection 3	3
130	1021004	Lucia: Plume IV	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	HG10204BS	4	Affection 4	4
131	1021004	Lucia: Plume V	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	HG10205BS	5	Affection 5	5
132	1021004	Lucia: Plume VI	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	HG10206BS	6	Affection 6	6
